Gene = APOBEC4
index = 91
Annotated 5SS: [242]
Annotated 3SS: [4501]
SMsplice 5SS: [242]
SMsplice 3SS: [4501]
top_k =  100
Partition function (log Z): -9.715995973222192

Sorted 5' Splice Sites (High to Low Probability):
Position 242: 0.714443648170773
Position 670: 0.34178393192529777
Position 4291: 0.28214064128166816
Position 4644: 0.18120875723757066
Position 110: 0.13664739559816091
Position 1897: 0.018444678742581308
Position 1005: 0.01439311850529613
Position 4424: 0.009397577088429428
Position 909: 0.004662884835563164
Position 1276: 0.004233614159185007
Position 13: 0.004045465443884358
Position 692: 0.004026063038694904
Position 647: 0.0020115383553491436
Position 1013: 0.0008820604922615847
Position 600: 0.000573659254467607
Position 1143: 0.0005728785972856019
Position 214: 0.00041927851210465055
Position 366: 0.00021723435857944618
Position 349: 5.051899614530107e-05
Position 661: 4.225727559023242e-05
Position 398: 2.4262212399478413e-05
Position 552: 1.3394527492327522e-05
Position 674: 1.299640326433423e-05
Position 543: 1.8375831089118425e-06
Position 338: 5.5961681298968533e-08
Position 56: 1.5594043540082406e-08
Position 83: 1.85114133287266e-09
Position 91: 1.2712543560692472e-09
Position 3: 2.2864352503680701e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 4501: 0.6145080360098798
Position 4139: 0.3190591917346102
Position 838: 0.26184206967469836
Position 448: 0.1477039684403932
Position 4999: 0.059769292126732446
Position 5515: 0.05562496542365068
Position 6258: 0.032337605708713184
Position 2777: 0.030235849001411214
Position 525: 0.028443370127352395
Position 6436: 0.02225227498080407
Position 5862: 0.02141801800974984
Position 1797: 0.019405501200810783
Position 4338: 0.017368423604656822
Position 4761: 0.012542385412874254
Position 3652: 0.011360005610908618
Position 5717: 0.011202932269931347
Position 541: 0.009066046363010716
Position 5266: 0.00851708113992828
Position 453: 0.0067195133593262995
Position 5033: 0.006540328490726192
Position 568: 0.004390886770482566
Position 329: 0.004296845002826408
Position 466: 0.0040903759605443735
Position 563: 0.003558267034731471
Position 349: 0.0031941912008461152
Position 1001: 0.0018041595860617053
Position 428: 0.0010239765117625774
Position 271: 0.0007763432116537462
Position 1141: 0.0006682580318559579
Position 470: 0.0002790025448710377
Position 366: 0.00021686580508531098
Position 476: 2.5861121583542898e-05
Position 109: 3.248503903520793e-06
Position 154: 2.2483589059588886e-06
Position 123: 1.803028371607454e-06
Position 141: 5.761382623612272e-07
