Gene = EQTN
index = 503
Annotated 5SS: [  160   527  2824  4739  6121  7468 10931]
Annotated 3SS: [  400  2736  4651  6075  7407 10776 12166]
SMsplice 5SS: [  280   527  2824  4917  6121  7468 10931]
SMsplice 3SS: [  400  2736  4651  6075  7407 10776 12166]
top_k =  100
Partition function (log Z): -1.7320212201998257

Sorted 5' Splice Sites (High to Low Probability):
Position 10931: 0.9370655742319504
Position 7468: 0.8977536899296548
Position 2824: 0.747844381423723
Position 527: 0.7287101665209408
Position 6121: 0.7246737708433258
Position 4917: 0.4950290823116547
Position 280: 0.45725069312308014
Position 4739: 0.2616518146008954
Position 160: 0.18295087773015445
Position 196: 0.09913746554508324
Position 229: 0.08012072620259791
Position 5360: 0.07877544355292637
Position 6274: 0.07223730199038217
Position 7932: 0.037214624953701377
Position 5884: 0.034925389115327506
Position 6139: 0.03223802860049474
Position 8652: 0.030149920261063938
Position 11537: 0.022973358344212078
Position 4891: 0.009168242649109285
Position 192: 0.0055741332575143035
Position 4905: 0.005321347725859973
Position 2681: 0.005285343836625685
Position 4758: 0.004840286459042105
Position 3672: 0.0044761775092322965
Position 1919: 0.003661605682320416
Position 3269: 0.003454402878156817
Position 42: 0.0008977844242448223
Position 380: 0.0001221992674284224
Position 1568: 7.773759330664123e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 10776: 0.9560774874149505
Position 7407: 0.8980602268075943
Position 12166: 0.8447340082912914
Position 6075: 0.8293199445278557
Position 4651: 0.7765358602233582
Position 2736: 0.643031727810333
Position 400: 0.4049342764195063
Position 430: 0.11855074946859744
Position 5273: 0.07877544355292637
Position 2598: 0.06053835396682083
Position 2643: 0.04955964348319476
Position 11401: 0.03854002031168697
Position 5764: 0.034925389115327506
Position 7773: 0.032045879380077455
Position 11000: 0.030244349811118624
Position 8581: 0.030149920261063938
Position 11003: 0.028500188559363922
Position 444: 0.01580900531151335
Position 290: 0.01343870017673263
Position 11268: 0.013162641882774896
Position 12369: 0.00992645447278171
Position 12204: 0.009649888112550253
Position 12237: 0.007964331249793323
Position 11436: 0.007919077859884958
Position 7861: 0.005168745573623921
Position 10778: 0.004198266324498489
Position 11731: 0.0040979671295438246
Position 11233: 0.004021784707534922
Position 3502: 0.0034698366234010504
Position 3212: 0.0034544028781568177
Position 1794: 0.0025684701981714617
Position 332: 0.0019027985693009731
Position 1877: 0.0010931354841489539
Position 3579: 0.0010063408858312468
Position 441: 0.00012851612539007375
Position 1310: 7.773759330664125e-06
