Gene = KLF18
index = 748
Annotated 5SS: [2968]
Annotated 3SS: [3619]
SMsplice 5SS: [ 324 2700 2968]
SMsplice 3SS: [2582 2787 3447]
top_k =  100
Partition function (log Z): -7.242394278512721

Sorted 5' Splice Sites (High to Low Probability):
Position 2968: 0.7155370018869311
Position 811: 0.6213032811771926
Position 324: 0.4986725747419141
Position 555: 0.3810366971719819
Position 1147: 0.24704527341094173
Position 769: 0.11804555158052298
Position 607: 0.07220968373933552
Position 112: 0.025405054643318686
Position 1105: 0.02141364632913696
Position 1425: 0.014465020071540957
Position 3653: 0.011758123170756928
Position 1189: 0.009894387522110732
Position 280: 0.0073454958455721475
Position 2391: 0.0022205215574217954
Position 185: 0.0020078511738174506
Position 937: 0.000701682445797719
Position 439: 8.960971529621804e-05
Position 979: 3.8525985937288505e-05
Position 306: 7.819697906309317e-06
Position 152: 2.9321790768128204e-06
Position 228: 4.383730130052626e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2787: 0.7155370018869311
Position 710: 0.4271520059655442
Position 3447: 0.35094204377792865
Position 3619: 0.3289278752146856
Position 692: 0.2660252381499753
Position 3255: 0.15386335238339505
Position 3427: 0.1536563457207916
Position 1028: 0.07708503976671846
Position 1070: 0.06385127367247921
Position 1046: 0.05999393746152264
Position 1004: 0.032241173158106595
Position 986: 0.02601242699679696
Position 724: 0.023063005741391817
Position 962: 0.01916945620656548
Position 1238: 0.01446119648301265
Position 3740: 0.01175812317075693
Position 3594: 0.011708429176066466
Position 2246: 0.0022205215574217954
Position 734: 0.002043552834251212
Position 398: 0.0020212486515168012
Position 395: 0.0018244096404493862
Position 597: 0.0014796422640614662
Position 554: 0.001191716149865927
Position 442: 0.0006573810719720985
Position 439: 0.0003728843122060254
Position 323: 0.0003526738040598495
Position 374: 0.00034147520521057465
Position 463: 0.00021854629033624817
Position 512: 0.00020414654867688137
Position 460: 0.00019088493516540605
Position 752: 0.00015794758570867288
Position 776: 0.00013191427793603019
Position 415: 0.0001059198202465208
Position 794: 5.5641894408148975e-05
Position 878: 4.831986533565649e-05
Position 818: 3.917163154633315e-05
Position 610: 2.590001602248601e-05
Position 651: 1.981869394284925e-05
Position 446: 1.1417999472062373e-05
Position 264: 1.0378901265726029e-05
Position 470: 7.397518017048538e-06
Position 507: 5.6856420591684245e-06
Position 484: 5.2578587547577304e-06
Position 1214: 3.8235885283227585e-06
Position 302: 1.6618518011722843e-06
Position 228: 1.4385637121601322e-06
Position 339: 1.2609184764047858e-06
Position 354: 1.207594426100303e-06
