Gene = SETD9
index = 1249
Annotated 5SS: [ 484 2277 3875 4730 5707]
Annotated 3SS: [1908 3750 4613 5600 7554]
SMsplice 5SS: [ 201 3875 4730 5707]
SMsplice 3SS: [3750 4613 5600 7554]
top_k =  100
Partition function (log Z): -2.3056143370657365

Sorted 5' Splice Sites (High to Low Probability):
Position 3875: 0.9540306151960589
Position 5707: 0.9346584425511429
Position 201: 0.9054188374158437
Position 4730: 0.8524892243495165
Position 2277: 0.25614597288705915
Position 605: 0.06444870444847157
Position 621: 0.04700164826382451
Position 484: 0.04283948223241825
Position 206: 0.04218177012063688
Position 5092: 0.030611134962781023
Position 2220: 0.024882353458774903
Position 2261: 0.0247694407397005
Position 2269: 0.024074389728100207
Position 4707: 0.01936649428922215
Position 6473: 0.01236792435168318
Position 5268: 0.008854730934653244
Position 925: 0.005017052805099495
Position 1852: 0.004909709452671318
Position 1135: 0.003507651746386658
Position 919: 0.0024446421329838717
Position 4267: 0.0023205180492800546
Position 5792: 0.002012104266630574
Position 749: 0.0019327659016074915
Position 1663: 0.0016621937294125043
Position 1985: 0.0008992787766529984
Position 436: 0.0005172971106202916
Position 1118: 0.0004270208750981896
Position 4751: 0.0004218439040409367
Position 872: 0.0003506926247745877
Position 698: 0.00022320787462076913
Position 634: 0.00017652629648838103
Position 58: 0.0001074050164974542
Position 1220: 0.0001063421360125733
Position 27: 2.8453667323123545e-05
Position 76: 1.821942759540149e-05
Position 245: 1.2624809661612344e-05
Position 152: 6.629456129129207e-06
Position 111: 5.8148173490403475e-06
Position 253: 5.1810728553005905e-06
Position 364: 9.180905149283717e-07
Position 155: 8.491193369899227e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 3750: 0.9168189199364885
Position 4613: 0.8425270131370053
Position 7554: 0.7862805130978988
Position 5600: 0.7481968084737621
Position 2048: 0.2136656441155346
Position 1908: 0.11365822697062555
Position 532: 0.0990290531712387
Position 5645: 0.09440028674053912
Position 7219: 0.08304327720899427
Position 5626: 0.0578434282697388
Position 7587: 0.047561244010196194
Position 4954: 0.03342568229532215
Position 5604: 0.027391589399912885
Position 4562: 0.02717245667984011
Position 3788: 0.020948034718481324
Position 5657: 0.01697577301094111
Position 3814: 0.016263660541088933
Position 6374: 0.01360044890037831
Position 6205: 0.009947272534832921
Position 7955: 0.009735662323896128
Position 5896: 0.009588393181001017
Position 7373: 0.009570681120277957
Position 6350: 0.009253915527009611
Position 777: 0.00841882928796926
Position 5136: 0.005489399811882592
Position 5118: 0.005058565623275458
Position 7286: 0.004780471833197547
Position 418: 0.0046048194658971295
Position 1781: 0.004512796336486466
Position 6057: 0.004121136025246681
Position 1928: 0.0036966698437027757
Position 6885: 0.003480498809819546
Position 4547: 0.0031599268133507678
Position 6250: 0.0028862553691691344
Position 947: 0.0027256147358087407
Position 4148: 0.002320518049280056
Position 1530: 0.001970465552431049
Position 6852: 0.001391034784737336
Position 383: 0.0012453940940532612
Position 5000: 0.0011168105929294679
Position 4522: 0.001096185551534572
Position 6121: 0.0007024700204947565
Position 5861: 0.0007017973623543222
Position 1005: 0.00035926571112198443
Position 667: 0.00021188749501900638
Position 1548: 8.864129316630817e-05
Position 1058: 7.122795817765778e-05
Position 1158: 5.086670967803369e-05
Position 976: 3.506746157948291e-05
Position 5691: 3.3795760557094535e-05
Position 333: 2.7711371608307564e-05
