Gene = TRH
index = 1482
Annotated 5SS: [ 519 1723]
Annotated 3SS: [1503 2393]
SMsplice 5SS: [ 519 1723]
SMsplice 3SS: [1503 2393]
top_k =  100
Partition function (log Z): -3.242334248937749

Sorted 5' Splice Sites (High to Low Probability):
Position 519: 0.9934480061602039
Position 1723: 0.9098691602694369
Position 2557: 0.5877920102722103
Position 1324: 0.0936119849376621
Position 1711: 0.06893038384486774
Position 1317: 0.03605850850261229
Position 2099: 0.03584691530312932
Position 1412: 0.02952583179368898
Position 2263: 0.011190516712377935
Position 2235: 0.006700020412739122
Position 747: 0.006151296645779459
Position 1656: 0.006109406870895287
Position 2567: 0.005791546932093763
Position 1419: 0.002831299994606509
Position 2245: 0.0021182650431151627
Position 2888: 0.001453849147189138
Position 3283: 0.0013508112678145496
Position 770: 0.001264277506059752
Position 184: 0.0008056058950717764
Position 111: 0.0008046910456680678
Position 819: 0.0007383612141292541
Position 896: 0.0006884960199409235
Position 22: 0.0006436732035451996
Position 250: 0.000516543182878155
Position 2165: 0.0004018952979736621
Position 2239: 0.00037573849242388506
Position 93: 0.00035260791538501026
Position 1893: 0.00028910308834032765
Position 1949: 0.00027907546177753423
Position 66: 0.00021870991367398668
Position 20: 5.798679821193662e-05
Position 48: 5.5231075618462494e-05
Position 72: 4.566346961033693e-05
Position 297: 3.727027827106109e-05
Position 187: 2.6724158468554783e-05
Position 56: 3.2066092207550705e-06
Position 9: 2.529242602245741e-06
Position 26: 2.3508870797552222e-06
Position 24: 2.257136546855383e-06
Position 552: 1.5002228925089076e-06
Position 54: 1.3761498402079347e-06
Position 554: 6.888405356267103e-07
Position 101: 6.777062613989327e-07
Position 602: 4.1149820250008745e-07
Position 430: 2.6222471455691473e-08
Position 475: 8.402554219429046e-09
Position 317: 8.13073590921088e-09
Position 228: 6.672802962006601e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1503: 0.9139907774749118
Position 2393: 0.8926275265974566
Position 3086: 0.23371991578938053
Position 3349: 0.12132018013482744
Position 1194: 0.11149355582647721
Position 3378: 0.11031678024573649
Position 3190: 0.07095792567153829
Position 2782: 0.04785252011926095
Position 1267: 0.031817381144614576
Position 1997: 0.031461375656444544
Position 1655: 0.0289181612562181
Position 2401: 0.024783518749314035
Position 1480: 0.02123522903855307
Position 3137: 0.020014673292020675
Position 1586: 0.016068175633271658
Position 2998: 0.013773163393412544
Position 2094: 0.012134307119448963
Position 2017: 0.011153575606994542
Position 3595: 0.0100162073937191
Position 2632: 0.009138574003401926
Position 2434: 0.00840183703059815
Position 1212: 0.007927158940051748
Position 3323: 0.006399049677551738
Position 683: 0.006202698485181621
Position 2123: 0.005083469703287939
Position 3207: 0.004268252002370776
Position 1604: 0.0026883873835960494
Position 2126: 0.0024348867270922126
Position 1835: 0.0020716648777885666
Position 3037: 0.0019628367092394917
Position 1590: 0.0019202133946548878
Position 1007: 0.0018333800610864561
Position 2524: 0.0017700669260562558
Position 3424: 0.0017414077420486573
Position 2882: 0.0017382743441535335
Position 1264: 0.0017366506536693705
Position 3242: 0.001684066335133879
Position 2638: 0.001272444686289818
Position 2835: 0.0012173517678406806
Position 173: 0.0012100025197911645
Position 3543: 0.001169211928259379
Position 384: 0.0011002872287404957
Position 2441: 0.0010086022987454886
Position 628: 0.0009294823993368488
Position 979: 0.0006763799107368131
Position 1173: 0.0006151091439246395
Position 271: 0.0006041701828391418
Position 437: 0.0004885061231198521
Position 1863: 0.00047960334318127067
Position 641: 0.0004628920354658993
Position 1897: 0.0003911476820589217
Position 1971: 0.0003673636843472099
Position 993: 0.00034451240126961064
Position 611: 0.00033486923287865875
Position 1169: 0.000283036808366375
Position 678: 0.0002447917815920895
Position 1013: 0.0002111252003933277
Position 746: 0.00014839473977638307
Position 368: 9.259806913846166e-05
Position 445: 7.54404250568644e-05
Position 1793: 6.622775145494053e-06
Position 613: 1.5015759290909959e-06
Position 420: 1.3439577608000347e-06
Position 548: 1.2541713394832131e-06
Position 321: 6.446353277931672e-07
