Gene = BSND
index = 146
Annotated 5SS: [ 431 6184 8340]
Annotated 3SS: [6088 8063 9280]
SMsplice 5SS: [ 431 1387 6184 8340]
SMsplice 3SS: [1302 6088 8063 9299]
top_k =  100
Partition function (log Z): -0.09606033683466242

Sorted 5' Splice Sites (High to Low Probability):
Position 6184: 0.9931763808200772
Position 431: 0.8819700045238027
Position 8340: 0.8685317403443418
Position 1387: 0.7167301103073682
Position 9428: 0.41506293500033503
Position 965: 0.3436876653846257
Position 9583: 0.24770599331901624
Position 6506: 0.19495743007423694
Position 5782: 0.12723270952184468
Position 687: 0.12546298644488524
Position 318: 0.11405907908888127
Position 2977: 0.059734903552407695
Position 9: 0.053627484382911865
Position 7511: 0.03809273184397238
Position 7644: 0.03248420852831487
Position 2983: 0.02306032814397292
Position 7570: 0.01857125676572384
Position 2238: 0.01023718078608184
Position 172: 0.009740281193426029
Position 2826: 0.0084153443746847
Position 2000: 0.006700792181636773
Position 6215: 0.005702675448597631
Position 82: 0.005126310811201204
Position 8165: 0.004453782582690544
Position 2004: 0.003999480176917607
Position 3156: 0.003638139698429427
Position 2024: 0.0035461770447905564
Position 30: 0.0018478547405461122
Position 44: 0.0018220523666763586
Position 461: 0.0016998290336028173
Position 6188: 0.0009627102213741302
Position 8237: 0.0005963367747863389
Position 386: 0.0003332244377532315
Position 224: 0.00029382018386922814
Position 38: 0.0002259055250422069
Position 6252: 0.00015823350995259345
Position 438: 0.00010449369422530756
Position 40: 7.819731194109219e-05
Position 435: 7.812451009019686e-05
Position 24: 3.5884916026535126e-05
Position 350: 3.4039685298531725e-05
Position 451: 1.1084275967895572e-05
Position 155: 5.959339561327411e-08
Position 186: 1.1775032625859476e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 6088: 1.0000000000000024
Position 8063: 0.8735818597018188
Position 9299: 0.722020232466931
Position 1302: 0.4589375110042704
Position 817: 0.30219680967860546
Position 11476: 0.22754934835200358
Position 9280: 0.2013007107534786
Position 6369: 0.18575523137925243
Position 9536: 0.13814268288694742
Position 525: 0.13634974295463625
Position 1260: 0.13415669525967752
Position 5656: 0.12723270952184468
Position 9885: 0.10313814176531676
Position 10319: 0.09405116774389354
Position 1180: 0.09380478908701884
Position 2758: 0.09121057607106531
Position 10229: 0.05532886901842392
Position 7435: 0.05531206580057013
Position 11755: 0.05119342502250043
Position 9327: 0.041893007364156916
Position 7401: 0.03383613133744087
Position 349: 0.030853016520744927
Position 1247: 0.029827035833178243
Position 231: 0.027972974474598785
Position 9410: 0.024088606606646943
Position 632: 0.02096076612994098
Position 1900: 0.014246449403344925
Position 6406: 0.01316808236732251
Position 2113: 0.010237180786081846
Position 193: 0.009185631084027363
Position 847: 0.0038370361198005474
Position 3055: 0.003638139698429427
Position 756: 0.0019436219575722565
Position 772: 0.0012929260309884674
Position 577: 0.0011093833668291522
Position 945: 0.0010533838726494026
Position 268: 0.0010318794762956072
Position 133: 0.0010190144810026723
Position 378: 0.0004315200591231878
Position 731: 0.0004069817184883245
Position 176: 0.0003148401568393276
Position 333: 0.00011136102127238596
Position 6346: 9.685266671495871e-05
Position 236: 8.354967898648675e-05
Position 91: 3.9539623298770584e-05
Position 247: 2.6159849299149815e-05
Position 251: 1.0334481865672474e-05
Position 205: 7.460287511142695e-06
Position 1048: 4.079123223248237e-06
Position 146: 2.73624125352345e-07
Position 418: 1.734477881628066e-07
Position 140: 1.3782910454138415e-08
