Gene = DESI2
index = 440
Annotated 5SS: [  421 33735 36408 39086]
Annotated 3SS: [33661 36313 38943 52620]
SMsplice 5SS: [  421  2759  5026 33735 39086 46256]
SMsplice 3SS: [ 2619  4910 33661 38943 46056 46372]
top_k =  100
Partition function (log Z): -30.23252835398007

Sorted 5' Splice Sites (High to Low Probability):
Position 421: 0.9031088678487679
Position 5026: 0.740159356293331
Position 2759: 0.6400736855076183
Position 6734: 0.1452902636959173
Position 4993: 0.14340487795841933
Position 6418: 0.11004139956089692
Position 1739: 0.0587172193053658
Position 2308: 0.048398219723792206
Position 1103: 0.025854314160343974
Position 1244: 0.022754678855373182
Position 310: 0.02165992318524892
Position 1091: 0.019425666212586623
Position 938: 0.019156495275742324
Position 15: 0.011759287195491635
Position 266: 0.009635495939025173
Position 411: 0.00672230887898842
Position 173: 0.003191851950334069
Position 5037: 0.0029924858208577147
Position 646: 7.189358333766487e-05
Position 7: 6.779181743303114e-05
Position 393: 4.954986311902403e-05
Position 51: 7.782203858698595e-06
Position 125: 6.618521310662864e-06
Position 145: 3.5933592536363425e-06
Position 607: 2.370525839177758e-06
Position 555: 1.932887143353909e-06
Position 425: 1.796336598989328e-06
Position 127: 1.5914239331287094e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 4910: 0.8954834448314473
Position 2619: 0.6588417687718702
Position 6337: 0.4497593381313329
Position 6573: 0.22103140769514873
Position 11872: 0.2187015683390181
Position 8643: 0.13076097701193867
Position 6255: 0.09577619842378711
Position 7264: 0.04543062085937878
Position 2138: 0.03435812187535389
Position 1599: 0.02570727568082179
Position 977: 0.023333416427461805
Position 6543: 0.022224604453238917
Position 3360: 0.015333332643540056
Position 1961: 0.010622638729855341
Position 817: 0.009380585338069672
Position 1090: 0.008637787616961915
Position 6836: 0.008329568298753675
Position 1078: 0.006897726991609365
Position 3316: 0.006501783370257594
Position 1570: 0.005021576401593368
Position 192: 0.004454546483429645
Position 1573: 0.004265028382037867
Position 5355: 0.004152887039068542
Position 3162: 0.004116997102042467
Position 2102: 0.003850472411252002
Position 1532: 0.003813704280222994
Position 674: 0.0028255438963423014
Position 1512: 0.002569824825601181
Position 2122: 0.002176363353160095
Position 1102: 0.0018895212596375846
Position 3198: 0.001746200164156779
Position 139: 0.0014755498031379793
Position 1370: 0.0011514819311911758
Position 1325: 0.0009713631721104371
Position 1305: 0.0008413458961361691
Position 2627: 0.00012674599895752257
