Gene = CORT
index = 398
Annotated 5SS: [604]
Annotated 3SS: [1657]
SMsplice 5SS: [604]
SMsplice 3SS: [1537]
top_k =  100
Partition function (log Z): -9.638774535867034

Sorted 5' Splice Sites (High to Low Probability):
Position 604: 0.9899182528593639
Position 1253: 0.03222543813074199
Position 758: 0.026209830185675048
Position 1438: 0.021436820126173994
Position 1380: 0.004502707347180255
Position 357: 0.0038833888160352287
Position 1021: 0.0029048099500252216
Position 1363: 0.0028064344485465745
Position 674: 0.0013767565999194076
Position 858: 0.0010705297678614304
Position 971: 0.0008111587519752676
Position 1568: 0.0008025605035554141
Position 348: 0.0004954250261937241
Position 1067: 2.387405938041804e-05
Position 3: 1.905538628175577e-05
Position 259: 1.668927366721296e-05
Position 285: 1.401916257960864e-05
Position 475: 1.3688875696879461e-05
Position 608: 1.1291135698822856e-05
Position 34: 4.723621493213185e-06
Position 312: 1.7276353775871345e-06
Position 13: 8.483983119820482e-07
Position 40: 3.7955085450095493e-07
Position 578: 3.6532287039235045e-07
Position 613: 3.5602426573239857e-07
Position 105: 2.485985087133444e-07
Position 424: 2.304782728045432e-07
Position 690: 1.6173208563351098e-07
Position 492: 9.384300038336175e-08
Position 676: 8.186215971495886e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1537: 0.57843506281889
Position 707: 0.1892099712747256
Position 1202: 0.057239148270193975
Position 1657: 0.05683476416481819
Position 1424: 0.04538192784221599
Position 1114: 0.027677625163689948
Position 1757: 0.021576781035349026
Position 898: 0.021559203065054995
Position 1967: 0.012227732564470982
Position 1350: 0.012102371914426792
Position 738: 0.010408421656061725
Position 1437: 0.0069643403200813775
Position 1613: 0.0061814107988693075
Position 1298: 0.004866774346863259
Position 445: 0.004413723862726877
Position 1183: 0.004268750570842721
Position 815: 0.004095804957167928
Position 1144: 0.003095330697242054
Position 1568: 0.0030761578424846094
Position 1238: 0.0030638583724079647
Position 1054: 0.002873466108462145
Position 1666: 0.0019766354814725086
Position 778: 0.0015484044784216525
Position 1216: 0.0015112287646071624
Position 835: 0.001499602949960131
Position 1827: 0.001158159856897566
Position 2062: 0.001019727754739439
Position 903: 0.0008809063612619717
Position 2168: 0.0008669096650949685
Position 757: 0.0008453503247689427
Position 793: 0.0007270862407851576
Position 2044: 0.0006588438316420173
Position 1158: 0.0002277917368752567
Position 1141: 2.0539541288634887e-05
Position 1125: 1.5799406371222346e-05
Position 454: 1.1141498215636734e-05
Position 1050: 5.411058009265734e-06
Position 1129: 4.881756712865811e-06
Position 1167: 4.819412741233832e-06
Position 1155: 4.254444514776552e-06
Position 576: 3.5388054832908423e-06
Position 716: 3.4788734109448625e-06
Position 870: 2.1815128816143333e-06
Position 486: 7.296706163425002e-07
Position 599: 6.796139541093919e-07
Position 149: 2.451814013652354e-07
Position 458: 2.2845863178286065e-07
Position 467: 1.1359633080688377e-07
Position 492: 9.721234720893957e-08
Position 504: 9.474816260817225e-08
Position 473: 8.45405322569946e-08
Position 275: 6.63025520896557e-08
Position 470: 5.1035818482905794e-08
Position 304: 5.0934635114506664e-08
Position 595: 4.469377961459031e-08
Position 462: 2.7266421426211947e-08
Position 424: 2.0635989448951136e-08
Position 231: 1.85034317206106e-08
