Gene = IFNLR1
index = 677
Annotated 5SS: [   71  6531 17845 25720 27788 28210]
Annotated 3SS: [ 6406 17659 25576 27627 28078 29369]
SMsplice 5SS: [   71  6531 17845 21501 21893 25720 27788 28238 32246]
SMsplice 3SS: [ 6406 17659 21396 21709 25576 27627 28078 32082 32383]
top_k =  100
Partition function (log Z): -6.155105578043003

Sorted 5' Splice Sites (High to Low Probability):
Position 71: 0.9706925994560102
Position 6531: 0.9644412386825886
Position 27788: 0.8772793408690278
Position 17845: 0.8615247522498921
Position 25720: 0.7531867607402253
Position 21501: 0.747571207177537
Position 10451: 0.6255797710539237
Position 28238: 0.38618717685923853
Position 25324: 0.3731675466458612
Position 21893: 0.3444157383547265
Position 7723: 0.27783050469170706
Position 25680: 0.24458219551494456
Position 6763: 0.23144149740641828
Position 25172: 0.1745052802682756
Position 28210: 0.14126856001994925
Position 17857: 0.13847512435051365
Position 29116: 0.10609438630739956
Position 955: 0.05105500289379058
Position 21561: 0.041776061509547394
Position 18838: 0.040324419052146926
Position 187: 0.029244426831529533
Position 704: 0.028030591738179973
Position 875: 0.023229617614479652
Position 1700: 0.0214119088246612
Position 10011: 0.016212943846579137
Position 1707: 0.01587473629320414
Position 488: 0.011720001481139206
Position 628: 0.011167227156006732
Position 767: 0.008884822770699378
Position 6740: 0.00603888907905874
Position 363: 0.00504954064095181
Position 166: 2.9726614105073122e-05
Position 249: 4.547577312182477e-07
Position 48: 5.294412183271249e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 25576: 0.9999291905019192
Position 27627: 0.8956012905618076
Position 6406: 0.8943408335173673
Position 17659: 0.7929570065443488
Position 21396: 0.6734775233370132
Position 28078: 0.6185828089641355
Position 25111: 0.5476728269141369
Position 10296: 0.5129975571010357
Position 30411: 0.3452013681646453
Position 21709: 0.3444157383547265
Position 7580: 0.2778305046917072
Position 17674: 0.20704287005605745
Position 29369: 0.20373099529058378
Position 6607: 0.20192174856766007
Position 29456: 0.1614954457774693
Position 28919: 0.14531563592287064
Position 21445: 0.11586974535007141
Position 10341: 0.11258221395288812
Position 6432: 0.09361109792746557
Position 31433: 0.060756602644418733
Position 648: 0.04707235097391909
Position 829: 0.045884123542659486
Position 25821: 0.039822846015207865
Position 18693: 0.03437985888058957
Position 480: 0.023307226159606804
Position 29513: 0.023171280817475177
Position 1537: 0.022923884822876623
Position 272: 0.01858393974149115
Position 9933: 0.016212943846579137
Position 1591: 0.01274258949152773
Position 25778: 0.012706691771509657
Position 6453: 0.012047945155573081
Position 18673: 0.005944560171557371
Position 812: 0.002455142920060114
Position 25745: 0.002213454380661245
Position 385: 0.0018013573108923149
Position 1508: 0.0016201708034609553
Position 17955: 7.068609848673908e-05
