Gene = PDAP1
index = 1006
Annotated 5SS: [  294  3968  5432  8527 10968]
Annotated 3SS: [ 3875  5323  8404 10815 12088]
SMsplice 5SS: [  294  3968  5432  8527 10968]
SMsplice 3SS: [ 3875  5303  8404 10815 12088]
top_k =  100
Partition function (log Z): -2.617311989876001

Sorted 5' Splice Sites (High to Low Probability):
Position 5432: 0.9998165565212771
Position 294: 0.9863726298583193
Position 10968: 0.9817788552267233
Position 8527: 0.7327021196182177
Position 3968: 0.44330604426553327
Position 2123: 0.2618870780356082
Position 3972: 0.08250791548738373
Position 7962: 0.06106371426810077
Position 7866: 0.04498056254962268
Position 1518: 0.027805098761315764
Position 11777: 0.027533768889180035
Position 1195: 0.01955103327454609
Position 1524: 0.016332329304624922
Position 6523: 0.013641296219781936
Position 11374: 0.007661270266639034
Position 11728: 0.006059966049586873
Position 4607: 0.0059348150647984075
Position 11550: 0.004948142471488304
Position 142: 0.004485813720019379
Position 10: 0.004417248383251993
Position 341: 0.0039306173524023
Position 3770: 0.0035237123469184614
Position 3219: 0.003290453816189791
Position 3394: 0.0032639322964649153
Position 11068: 0.0018912116577365539
Position 8116: 0.0005447354841904133
Position 988: 0.00041288614183807503
Position 775: 0.00014893881079351015
Position 5406: 0.00011383359900678717
Position 113: 8.468103269496205e-05
Position 764: 7.665622218880261e-05
Position 5364: 5.714365149802239e-05
Position 885: 4.3962112429223155e-05
Position 491: 2.7355387172743984e-05
Position 9096: 3.0547941038143653e-06
Position 235: 1.0978516043119904e-09
Position 227: 8.06532865760039e-10
Position 148: 1.6068719833171877e-10
Position 239: 8.5604501030544e-11
Position 233: 5.058526852478544e-11
Position 123: 4.8020742675855566e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 10815: 0.9817380328336631
Position 5303: 0.8668431091627502
Position 8404: 0.6792802661418476
Position 12088: 0.623134825858384
Position 3875: 0.516735748853664
Position 2011: 0.2251412447099418
Position 5323: 0.13314442460903167
Position 11450: 0.12196069052761595
Position 7767: 0.0947124845704408
Position 11595: 0.07179964526601916
Position 13044: 0.0652930578900675
Position 11362: 0.04877640150180368
Position 1444: 0.038762065414676555
Position 8365: 0.035280688509829156
Position 12481: 0.02135552881399687
Position 12822: 0.017921753806006458
Position 12415: 0.0171597065866975
Position 8225: 0.014388572006248275
Position 1915: 0.014028515574392258
Position 3652: 0.012601923246171312
Position 13172: 0.011975039018826975
Position 1069: 0.011466529995517323
Position 7853: 0.011446002440603786
Position 6262: 0.011402338294232093
Position 1989: 0.010140780734539633
Position 1992: 0.008844306114389189
Position 1040: 0.008084503279028763
Position 11238: 0.007890433231674399
Position 11659: 0.007144276526366173
Position 3135: 0.006554386112654712
Position 12359: 0.006245814235384953
Position 4485: 0.005934815064798411
Position 12112: 0.005726805019438412
Position 1390: 0.004611099603032937
Position 11834: 0.004543766709878745
Position 12094: 0.0043508679866292276
Position 8319: 0.004083190368308467
Position 8801: 0.0037460008786849375
Position 11145: 0.003312194557492209
Position 11056: 0.0031120345671485257
Position 2066: 0.0028131418350662092
Position 6282: 0.001676132652324564
Position 10434: 0.0011372891692823588
Position 6390: 0.0009780875813782967
Position 2087: 0.000919089067279085
Position 10564: 0.0008062446542282278
Position 1300: 0.0004607470143583452
Position 8026: 0.00043052529086920997
Position 1462: 0.00030351603387282337
Position 364: 7.91270391922961e-07
