Gene = SDCCAG3
index = 1232
Annotated 5SS: [ 282  520 2784 3465 4705 5519 5979 6555]
Annotated 3SS: [ 369 2670 3047 4630 5406 5915 6414 7721]
SMsplice 5SS: [ 282 2784 6555]
SMsplice 3SS: [2670 6414 7662]
top_k =  100
Partition function (log Z): -0.9671582663246909

Sorted 5' Splice Sites (High to Low Probability):
Position 2784: 0.9909683563178763
Position 282: 0.9720706381152753
Position 6555: 0.9593955671701367
Position 520: 0.5805304205505751
Position 3465: 0.3114015837422656
Position 6954: 0.3064583195537046
Position 4705: 0.11135718008009322
Position 5979: 0.10118404729555935
Position 736: 0.03908925027276985
Position 1728: 0.028662781036408798
Position 316: 0.023278008851757216
Position 2602: 0.009579079371005442
Position 3664: 0.008005901259814319
Position 1611: 0.00558777289558738
Position 415: 0.004786164384041397
Position 3107: 0.0023192805659153805
Position 4709: 0.0018746292027396938
Position 5492: 0.0010396776562435978
Position 3469: 6.542131740525502e-05
Position 187: 5.8382940714409295e-05
Position 342: 3.227801262004081e-05
Position 875: 1.8062747948713758e-05
Position 921: 1.4611623960245606e-05
Position 39: 1.2916138583619447e-05
Position 214: 6.907448084507227e-06
Position 302: 6.109030934964443e-06
Position 310: 1.1623682437912922e-06
Position 495: 7.907691518872543e-07
Position 397: 2.5084517053049896e-07
Position 392: 8.78850781739505e-08
Position 617: 2.4203570006572557e-08
Position 250: 8.480062229946827e-10
Position 20: 2.0675983166987638e-10
Position 190: 2.7784698705818186e-12
Position 347: 1.1371987414404883e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 2670: 0.8710666694046286
Position 6414: 0.8020027632042449
Position 7662: 0.7091497720337483
Position 407: 0.42774419194689234
Position 3381: 0.3118450248008906
Position 6759: 0.2823335646448177
Position 369: 0.1441849568307759
Position 7337: 0.13722151468987145
Position 2716: 0.11747709600499291
Position 5915: 0.10118404729555931
Position 6420: 0.08899984175197602
Position 6396: 0.06839296221391587
Position 4630: 0.061792757003686
Position 7478: 0.051987803130600176
Position 4499: 0.04343478534544407
Position 7721: 0.038533696503230214
Position 1541: 0.030217828930259354
Position 7384: 0.018495882357165802
Position 6884: 0.01848290934520813
Position 7170: 0.015773623700027734
Position 589: 0.013566086606736206
Position 490: 0.010841441169026677
Position 6731: 0.009125749440506668
Position 8313: 0.009014547658944532
Position 7122: 0.008866923905325796
Position 433: 0.008665006011094514
Position 4545: 0.008464056153648232
Position 519: 0.006630450390570833
Position 3571: 0.0066255486619987945
Position 2528: 0.005125351715918378
Position 2509: 0.004846525025563419
Position 6898: 0.004539091476407817
Position 375: 0.0045058514844169666
Position 1656: 0.004032725001736846
Position 557: 0.0037244183056445676
Position 3047: 0.0028799505586146277
Position 2638: 0.002031793537778834
Position 8029: 0.0016473306651254667
Position 5406: 0.0010396776562435984
Position 3496: 0.0006437866187232752
Position 2942: 0.0004926444904628438
Position 3150: 0.00011380581990423744
Position 854: 3.2674371908959384e-05
Position 622: 1.084650103184565e-05
Position 3271: 9.261973482238334e-06
Position 3449: 8.284744103045437e-06
Position 641: 1.2474700013792526e-07
Position 386: 7.282794059378976e-09
Position 513: 6.82678508092501e-09
Position 419: 2.7620541437812728e-09
Position 347: 2.0093035807782995e-09
