Gene = ETF1
index = 512
Annotated 5SS: [  204   468 24609 25740 29733 30537 31826 32256 32736 34632]
Annotated 3SS: [  363 24432 25599 29593 30345 31695 32099 32670 34483 34912]
SMsplice 5SS: [  204   468 13746 24609 25740 29733 32256]
SMsplice 3SS: [  363 13621 24432 25599 29593 32099 34912]
top_k =  100
Partition function (log Z): -15.570117187726794

Sorted 5' Splice Sites (High to Low Probability):
Position 468: 0.9995507846740314
Position 204: 0.9979586131309057
Position 9190: 0.2948035673766155
Position 10898: 0.2642907380883801
Position 13746: 0.17666698742546982
Position 1129: 0.1339906912218255
Position 4237: 0.07308401706270397
Position 9267: 0.04019845234835813
Position 1782: 0.020874403688032308
Position 2731: 0.017278557950788653
Position 926: 0.003958211416670683
Position 78: 0.0012506720848506226
Position 229: 0.0007423993135297824
Position 782: 0.0006446752564508038
Position 59: 2.3530807029596464e-05
Position 132: 1.4664135585174387e-05
Position 596: 1.4176175892572566e-05
Position 801: 1.2060882912588767e-05
Position 123: 9.023016823603135e-06
Position 667: 7.5693056386306965e-06
Position 760: 7.541733250780419e-06
Position 125: 5.870070572483489e-07
Position 479: 5.841379716358261e-07
Position 623: 4.0452985579577346e-07
Position 238: 9.251218451519012e-08
Position 599: 7.065384960737535e-08
Position 336: 3.185200505591354e-08
Position 328: 2.4135529761190526e-08
Position 334: 1.3335936298642068e-08
Position 64: 1.2731889863030485e-08
Position 415: 6.622978125338334e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 363: 0.9674083050462304
Position 13621: 0.9591582011960931
Position 9061: 0.3379482361070135
Position 10734: 0.2819120072507727
Position 14174: 0.14713647502833854
Position 1018: 0.08625290601442187
Position 4164: 0.07349061256550192
Position 15099: 0.029530512397131194
Position 308: 0.02294180822633923
Position 877: 0.020627683406065887
Position 1661: 0.015262041005840296
Position 2672: 0.014699725211806663
Position 1066: 0.012403493114547312
Position 410: 0.009258791916940574
Position 1033: 0.008367184573806422
Position 781: 0.006093917414459573
Position 1494: 0.005038475706868437
Position 838: 0.004814008726470807
Position 6443: 0.003990541007160318
Position 2587: 0.003496147755878506
Position 693: 0.0026539124506954506
Position 8729: 0.0019323373487615768
Position 1666: 0.0015515429396640288
Position 6800: 0.0015392674220486705
Position 1970: 0.001001412136383493
Position 1817: 0.0009609624487181255
Position 2000: 0.0009158358907296212
Position 6424: 0.000803035616495168
Position 6941: 0.0007740396689020519
Position 5985: 0.0007353961179909273
Position 2298: 0.0003921422110885337
Position 4647: 0.00030905768597429907
Position 398: 0.0002501330738004073
Position 3709: 0.00022787687143349843
Position 4456: 0.00021094828978583072
Position 3842: 0.00020087210596134972
Position 3215: 0.00019006897322567642
Position 2501: 0.00017239339625057515
Position 3376: 0.00016249040525578035
Position 717: 0.00014454280187251685
Position 754: 0.00013986417757093494
Position 1517: 9.963169355785192e-05
Position 373: 6.468820964866716e-05
Position 370: 5.314393134508585e-05
Position 367: 1.8610822419288476e-05
Position 881: 1.3090634037796937e-05
Position 1633: 1.010908427807528e-05
Position 759: 9.51972695317835e-06
Position 1587: 7.392281308639832e-06
Position 520: 2.9966047169450202e-06
Position 671: 2.3396643719162066e-06
Position 919: 7.435586332894189e-07
Position 1075: 7.034560585565611e-07
Position 935: 6.381596410955454e-07
Position 602: 2.745546880178135e-07
Position 420: 4.430362877928839e-08
Position 381: 9.33214970541048e-09
Position 266: 7.096164564980808e-09
Position 286: 4.880274676324296e-09
Position 290: 4.358313672995256e-09
Position 429: 1.699702206728604e-12
Position 435: 3.501832637633688e-14
Position 438: 1.6943379544693377e-14
