Gene = RpIIIC53
index = 1432
Annotated 5SS: [415 854 995]
Annotated 3SS: [ 473  925 1046]
SMsplice 5SS: [415 854 995]
SMsplice 3SS: [ 473  925 1046]
top_k =  100
Partition function (log Z): -0.21116965948825367

Sorted 5' Splice Sites (High to Low Probability):
Position 415: 0.9584210793464908
Position 854: 0.9221674283576368
Position 995: 0.8699517540601159
Position 1372: 0.02567479217259126
Position 1152: 0.01657091274757101
Position 261: 0.0162171376894178
Position 374: 0.014028317482558329
Position 563: 0.00952709134299495
Position 240: 0.008399962030591394
Position 1629: 0.0033450509546612043
Position 1645: 0.0029883856318190746
Position 342: 0.0025337316066812035
Position 419: 0.0018636877984501638
Position 32: 0.0011058773332399477
Position 398: 0.0007308939835105784
Position 1388: 0.0006513021750509796
Position 29: 0.0004881078348728356
Position 1637: 0.00037253407255748546
Position 858: 0.0002776180290453896
Position 554: 0.0002581134364511083
Position 686: 0.00021767420479000088
Position 17: 0.00017581077270135381
Position 156: 0.00010119903169099283
Position 3: 6.148704145690445e-05
Position 34: 5.331416699627214e-05
Position 643: 4.686723945768821e-05
Position 276: 3.2490866095181666e-05
Position 557: 2.676531314734558e-05
Position 1126: 2.2324617915425247e-05
Position 651: 1.8894116797157736e-05
Position 524: 1.8176167548337556e-05
Position 422: 9.85557851548329e-06
Position 270: 9.679876812263052e-06
Position 19: 7.644161805136043e-06
Position 696: 7.4860813940143964e-06
Position 244: 7.316578742149594e-06
Position 231: 6.636189329251055e-06
Position 265: 4.197175178595159e-06
Position 1131: 3.6018566342773938e-06
Position 694: 2.546106061830156e-06
Position 142: 9.22842681187648e-09
Position 203: 8.155287063656041e-09
Position 974: 1.498467639723359e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 473: 0.9980823115939071
Position 925: 0.9148687713145675
Position 1046: 0.8060934857302996
Position 1058: 0.0543808159805091
Position 1453: 0.028083386539131828
Position 1202: 0.018789403137125217
Position 1078: 0.006691592725161586
Position 631: 0.004973298431116975
Position 312: 0.003987789219088328
Position 1711: 0.0036137765786337403
Position 1066: 0.0032590485625027333
Position 1701: 0.0030921940804040263
Position 628: 0.0016345290476597774
Position 945: 0.0015344967323327836
Position 1126: 0.0014067356769702198
Position 95: 0.0013233146072815427
Position 609: 0.001144743372169566
Position 1564: 0.0009227625769923549
Position 625: 0.0007407533934662727
Position 658: 0.0005714967106291668
Position 108: 0.0003455767005501977
Position 65: 0.00015330829648742075
Position 292: 0.00012582380524411694
Position 483: 0.00010336419238537022
Position 650: 9.745025688547377e-05
Position 942: 8.454165588981928e-05
Position 504: 6.779780123997433e-05
Position 690: 6.43897503190072e-05
Position 1235: 3.0061691114032626e-05
Position 707: 2.9765442501539155e-05
Position 993: 1.9275513267848766e-05
Position 1170: 1.8868779113736407e-05
Position 492: 1.7235629274344547e-05
Position 693: 1.4809028960400203e-05
Position 215: 1.028827122622777e-05
Position 155: 8.616989432779677e-06
Position 126: 8.018989226735176e-06
Position 1523: 7.522509620429837e-06
Position 964: 3.839378816786391e-06
Position 133: 2.502071432580846e-06
