Gene = Aprt
index = 23
Annotated 5SS: [329 697]
Annotated 3SS: [458 770]
SMsplice 5SS: [697]
SMsplice 3SS: [770]
top_k =  100
Partition function (log Z): -3.430758605022134

Sorted 5' Splice Sites (High to Low Probability):
Position 697: 0.9521880542213984
Position 329: 0.5394173379366182
Position 416: 0.07832582414434296
Position 180: 0.06831994026358935
Position 692: 0.04332070007467454
Position 885: 0.010252081409082134
Position 349: 0.008296975451200714
Position 166: 0.005008948778113563
Position 427: 0.003270905290523599
Position 123: 0.0024752560939087236
Position 155: 0.0019053550925511244
Position 687: 0.0013121780423819187
Position 989: 0.0005127313352974224
Position 419: 0.00046222087172167233
Position 980: 0.0003065257102699967
Position 963: 0.00029725717216066885
Position 1001: 0.00020275464055400348
Position 187: 0.00012520620728187593
Position 202: 0.00010858755087898698
Position 138: 4.883795220025406e-05
Position 58: 2.2961486824429316e-05
Position 51: 2.2218050020609474e-05
Position 701: 2.7940180662848863e-06
Position 226: 1.2769077824523921e-06
Position 425: 3.808869871706542e-07
Position 118: 3.741849115380351e-07
Position 293: 3.1347761713180877e-07
Position 661: 2.0397395171543937e-07
Position 553: 3.815698547866991e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9942831633531889
Position 601: 0.37611462798716727
Position 489: 0.17684044497459042
Position 458: 0.06379844337837978
Position 250: 0.05700790775310866
Position 415: 0.02029451292337226
Position 229: 0.00745601564277978
Position 1135: 0.003904543162031522
Position 1107: 0.003462517207181857
Position 1061: 0.0025188966789584824
Position 803: 0.002330204125699386
Position 536: 0.002311834226106134
Position 226: 0.0016831806470960276
Position 840: 0.0010826355713325709
Position 1041: 0.0009944185184493
Position 846: 0.0007425931142924223
Position 311: 0.00037214476042787955
Position 1214: 0.0003519871790062071
Position 1202: 0.00028833113344607284
Position 1195: 0.00018130496409115177
Position 284: 4.049007072816859e-05
Position 103: 3.7132067700516576e-05
Position 314: 3.700534367250496e-05
Position 202: 2.9691619905328988e-05
Position 258: 1.8714434697318178e-05
Position 187: 1.1013818447276533e-05
Position 356: 7.815141271236048e-06
Position 138: 2.17949960192511e-06
Position 278: 1.6733459800984535e-06
Position 115: 1.666777633646529e-06
Position 280: 8.443483977541758e-07
Position 740: 2.0061878436992588e-07
Position 263: 3.8288422367330086e-08
Position 166: 2.8587119465992653e-08
