Gene = tral
index = 1917
Annotated 5SS: [ 514 2001 2899 3196 3609 4012]
Annotated 3SS: [1499 2356 2964 3378 3670 4084]
SMsplice 5SS: [ 514 2001 2899 3166 3609 4012]
SMsplice 3SS: [1499 2368 2964 3378 3673 4084]
top_k =  100
Partition function (log Z): 17.237413380596916

Sorted 5' Splice Sites (High to Low Probability):
Position 3609: 0.9963433929573801
Position 2001: 0.9952780818053454
Position 514: 0.9662154981157558
Position 2899: 0.9464332199171217
Position 4012: 0.8935510258943905
Position 3166: 0.7152177117408726
Position 3196: 0.23752027029322867
Position 4185: 0.06865899012919724
Position 5295: 0.04937377444082884
Position 1312: 0.04723206340584906
Position 3170: 0.042537711570641644
Position 4601: 0.030543004682913294
Position 232: 0.027505420985733615
Position 1158: 0.02728646457689955
Position 5290: 0.0181849285610962
Position 1102: 0.015740979044151688
Position 14: 0.01485913528385232
Position 5471: 0.013784371112548977
Position 2911: 0.01324713603427407
Position 4180: 0.009005327876853165
Position 755: 0.007395888504962716
Position 4732: 0.006470103268066286
Position 3178: 0.002765596510323695
Position 2639: 0.0025330561232089445
Position 3275: 0.002483525953819123
Position 2416: 0.0023770432575331867
Position 3999: 0.0022450239039446727
Position 4008: 0.0020046375545030464
Position 1096: 0.0013895725273678603
Position 2654: 0.0009923823183326738
Position 359: 0.000780723384122538
Position 705: 0.0007267827863988804
Position 82: 0.0006797706750394797
Position 2789: 0.000651763637102903
Position 578: 0.0005201647515511329
Position 477: 0.00045296143961676345
Position 518: 0.00026720807834111176
Position 555: 0.000213263258280675
Position 719: 0.00015642287608012888
Position 511: 0.00010578478817752707
Position 1027: 9.621494537839218e-05
Position 623: 5.945833580685132e-05
Position 832: 5.4746767484474425e-05
Position 4016: 5.4481125296075844e-05
Position 255: 4.6697935384362716e-05
Position 266: 2.86561426580362e-05
Position 928: 2.7031612528491303e-05
Position 210: 2.3503755775073816e-05
Position 84: 1.3879215263000728e-05
Position 208: 1.1122437730094663e-05
Position 18: 1.0365598876082243e-05
Position 383: 7.628306099103667e-06
Position 3613: 6.9979539267575944e-06
Position 675: 6.284955516442836e-06
Position 86: 6.06502930901252e-06
Position 2005: 3.865472450905562e-06
Position 3965: 3.218200814419659e-06
Position 47: 1.5308890049147515e-06
Position 679: 4.631983752214849e-07
Position 1886: 2.729172371985618e-07
Position 2232: 3.104710292859644e-08
Position 2256: 2.7198544290367283e-08
Position 3602: 6.739911910334286e-12
Position 126: 4.145306384044384e-12
Position 117: 1.6773390215567194e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1499: 0.9957187786343881
Position 2964: 0.9924147056180175
Position 3378: 0.9920110364184211
Position 3673: 0.8558245228405411
Position 4084: 0.8441925626386106
Position 2368: 0.34034046407910634
Position 2356: 0.27534360775921496
Position 2706: 0.2392755897300192
Position 3670: 0.12302056606593041
Position 5126: 0.08651113146500784
Position 5351: 0.06493280247759106
Position 2219: 0.04481632423568851
Position 732: 0.03155260163255025
Position 304: 0.02764863966813777
Position 4327: 0.023475834673794525
Position 4669: 0.023251975525008226
Position 5369: 0.022908667002252858
Position 995: 0.019970879717463565
Position 4275: 0.013937327303749376
Position 5537: 0.013784371112548977
Position 2135: 0.011191495728190502
Position 723: 0.01114606386021273
Position 2098: 0.010039407115254868
Position 2742: 0.008925423202205605
Position 882: 0.00812316300854725
Position 2256: 0.007728745887150868
Position 3346: 0.006827605253163919
Position 2408: 0.005960153317078769
Position 4235: 0.0057977878327389425
Position 801: 0.00542545489093783
Position 2141: 0.005286692232213639
Position 5767: 0.005208265581043233
Position 2979: 0.004641458556849376
Position 2232: 0.004259442729526508
Position 139: 0.00320242789778379
Position 1517: 0.0028274523938691316
Position 4658: 0.0023137404934644814
Position 3802: 0.0022343724071007113
Position 2745: 0.0022280526156497993
Position 4261: 0.0021814344076543416
Position 2675: 0.0016189658630480941
Position 2500: 0.0014753429384995415
Position 2050: 0.0014545067654420766
Position 79: 0.0012876674006105004
Position 2583: 0.001230365762322783
Position 2631: 0.0011835096894299768
Position 2628: 0.0010400234263650018
Position 3045: 0.0008891177639518099
Position 430: 0.0008548873817015825
Position 328: 0.0008238374112760983
Position 3308: 0.0007104172625029938
Position 1520: 0.0006802692073806833
Position 1031: 0.0005775115665199769
Position 3238: 0.0005588230548551546
Position 1096: 0.0004554229780145124
Position 3313: 0.0003918878945213872
Position 3738: 0.00035615061457031544
Position 443: 0.00025144046324179433
Position 370: 0.0002494522552259262
Position 91: 0.00024115374685664234
Position 1558: 0.00022327196586674754
Position 3934: 0.00022129932364369867
Position 608: 0.00019139009194968384
Position 344: 0.00018497137083104445
Position 2994: 0.00015474750981943951
Position 1540: 0.00011083268678640212
Position 392: 7.08620753205626e-05
Position 1657: 5.762013953167199e-05
Position 3747: 4.247636039104504e-05
Position 1534: 3.836297818321589e-05
Position 3887: 3.2360169742471735e-05
Position 3319: 1.681938390502644e-05
Position 3348: 1.0877181554355847e-05
Position 2269: 9.265331385928838e-06
Position 3274: 3.992316820530472e-06
Position 3258: 2.8131944453412138e-06
Position 4092: 1.6293731165609147e-06
Position 111: 1.5006122612902178e-06
Position 99: 1.1783989485803014e-06
Position 647: 1.151069325543408e-06
Position 162: 9.549227179731994e-07
Position 363: 9.253979539597344e-07
Position 220: 5.959257668389274e-07
Position 165: 5.016935947178206e-07
Position 488: 3.0549797996665163e-07
Position 149: 2.246699461414186e-07
Position 2898: 1.5980517946034477e-08
