Gene = enc
index = 1694
Annotated 5SS: [  242 11183 13865 14080 14331 14720 14992 15949 18256 18927 20683 20845]
Annotated 3SS: [10739 13041 13922 14176 14392 14776 15591 17342 18319 18982 20744 20953]
SMsplice 5SS: [  242 11183 13865 14080 14331 14720 14992 18256 18927 20683 20845]
SMsplice 3SS: [10739 13041 13922 14176 14392 14776 17342 18319 18988 20744 20953]
top_k =  100
Partition function (log Z): 35.99425603174555

Sorted 5' Splice Sites (High to Low Probability):
Position 18256: 0.9998399994297821
Position 242: 0.9998089004130029
Position 14331: 0.9981336623072591
Position 13865: 0.9960118563272905
Position 20683: 0.9917027657503238
Position 18927: 0.9868741796807787
Position 20845: 0.9840061019496398
Position 14992: 0.9806549302282787
Position 14720: 0.9775745410041823
Position 14080: 0.9639993578207149
Position 11183: 0.7366606936077816
Position 21019: 0.4579089542664116
Position 21260: 0.3158769917340671
Position 21006: 0.14637182475134775
Position 15949: 0.08328860664076353
Position 529: 0.0633405609671179
Position 18748: 0.062476963157097096
Position 1133: 0.06040035712191313
Position 11673: 0.0504132116120074
Position 21238: 0.03464597361098338
Position 21464: 0.033893802447868125
Position 14099: 0.032143019613407375
Position 14468: 0.030061510971664755
Position 18714: 0.02760058027650636
Position 18019: 0.020349548385821137
Position 19775: 0.020107308090642217
Position 691: 0.01667317606619272
Position 19765: 0.015143849788308107
Position 680: 0.012169305936921502
Position 14988: 0.011267067314243234
Position 17144: 0.011109768321765133
Position 18917: 0.010196689860625241
Position 19298: 0.010028264878161289
Position 19417: 0.008238885564249562
Position 20658: 0.005159631505654412
Position 19295: 0.004407294480868358
Position 20993: 0.003173517604945935
Position 18848: 0.002911971196127061
Position 19903: 0.002392800305100089
Position 19084: 0.0018499702144924406
Position 15007: 0.0012180616027235578
Position 14288: 0.0010910466502054123
Position 14128: 0.0010475443990072644
Position 14631: 0.001019965229052822
Position 676: 0.000736910829191425
Position 14084: 0.00042247787390522416
Position 14595: 0.00027453214759101793
Position 455: 0.00022501637967198057
Position 14472: 0.0002036699672031909
Position 18383: 0.00015305372697983392
Position 818: 0.00012804206162371387
Position 20822: 0.0001243165160057593
Position 14634: 0.00010825081318441657
Position 14292: 0.00010559479149880533
Position 14607: 9.694563706446767e-05
Position 14088: 8.754726557867634e-05
Position 459: 8.51902503763226e-05
Position 14290: 7.168451477188851e-05
Position 13715: 7.162109913125678e-05
Position 547: 6.614988935043423e-05
Position 463: 6.23103641878966e-05
Position 15298: 3.74807116581973e-05
Position 14665: 3.090816262202512e-05
Position 273: 2.790449326933508e-05
Position 19420: 2.0000126905251876e-05
Position 315: 1.8036807712771577e-05
Position 18920: 1.3616321436149768e-05
Position 19259: 1.1717691265487822e-05
Position 19771: 7.825273657336509e-06
Position 14850: 6.170111282953711e-06
Position 18028: 5.004587840069519e-06
Position 19286: 4.425231553288293e-06
Position 155: 3.53722778793291e-06
Position 18906: 3.0443862602905917e-06
Position 17974: 2.7037976015142815e-06
Position 246: 2.593403926168633e-06
Position 19103: 7.729082050912441e-07
Position 303: 7.448602769766586e-07
Position 19160: 6.462231280371475e-07
Position 301: 5.505782813165434e-07
Position 19173: 5.000751227253926e-07
