Gene = Pdk1
index = 1364
Annotated 5SS: [  439  6393  6886 13430 13768]
Annotated 3SS: [ 6007  6516 12319 13492 14064]
SMsplice 5SS: [  439  6393  6886 12242 13430 13768]
SMsplice 3SS: [ 6007  6516 12113 12319 13492 14064]
top_k =  100
Partition function (log Z): 3.497581783147364

Sorted 5' Splice Sites (High to Low Probability):
Position 13430: 0.9966425521145872
Position 6393: 0.982024355940203
Position 6886: 0.9757688609225988
Position 439: 0.8553045087809713
Position 12242: 0.7889559272130948
Position 13768: 0.7684415917033037
Position 15066: 0.7004923774658421
Position 14477: 0.28322044755930015
Position 14004: 0.19004062494477905
Position 116: 0.17200530253874113
Position 14850: 0.169896697619274
Position 7901: 0.08188357757330417
Position 8223: 0.0665900898998884
Position 3081: 0.05786453942129341
Position 16334: 0.04973496927239046
Position 13616: 0.04211556709936894
Position 459: 0.03569505944450716
Position 13596: 0.02993152653106286
Position 14459: 0.028242872636665924
Position 14596: 0.026322339340881365
Position 4628: 0.020006904155064217
Position 14620: 0.01548449569365845
Position 6423: 0.015127480328407432
Position 4632: 0.014994009414076413
Position 380: 0.012036992866751087
Position 14846: 0.01181289945246389
Position 1537: 0.01123927094782416
Position 13279: 0.011175431209576538
Position 1633: 0.010534814636770676
Position 252: 0.00846796897875614
Position 8776: 0.00696469865575952
Position 8245: 0.005835429591492343
Position 1749: 0.005813491564163083
Position 202: 0.005409355167515508
Position 12924: 0.004803329607357049
Position 14367: 0.003811289438328459
Position 7290: 0.0035932169904451337
Position 9242: 0.0034151204159175133
Position 13785: 0.003138947959784332
Position 13906: 0.0030458834283607896
Position 9730: 0.002857861865973498
Position 12388: 0.0019656928783451147
Position 6788: 0.0018976712923720756
Position 13865: 0.0018772863921170894
Position 6379: 0.0018154592336117933
Position 7872: 0.0011284972899057945
Position 3486: 0.0010128201001613948
Position 8539: 0.0006529983902630892
Position 6907: 0.00041534673141275776
Position 6083: 0.0003466217166449022
Position 6314: 0.0002982132339652758
Position 13734: 0.00014854939618055715
Position 13834: 0.00014409868617597281
Position 1403: 0.00012853095325591953
Position 12421: 0.00011870236420991241
Position 585: 0.000108232383574986
Position 14361: 6.732067478915241e-05
Position 429: 4.491364483171821e-05
Position 25: 2.2317347165477165e-05
Position 1316: 1.3934096453767649e-05
Position 78: 1.0396690368291958e-05
Position 30: 4.838648667633337e-06
Position 61: 4.0259715571818e-06
Position 33: 3.2304088306985397e-06
Position 220: 3.0444227722740245e-07
Position 168: 3.0305284928263723e-07
Position 464: 1.494970959959199e-07
Position 860: 1.4753716669708792e-07
Position 190: 1.848990177057265e-08
Position 950: 1.1657784466571992e-08
Position 596: 1.13048388430901e-08
Position 141: 7.360960550229742e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 12319: 0.9999999999999988
Position 13492: 0.9980747824316955
Position 6007: 0.9934428869318767
Position 6516: 0.9904876094437891
Position 14064: 0.9895095242655837
Position 12113: 0.7889559272130948
Position 14925: 0.2517105720353848
Position 16051: 0.22223989672796854
Position 16270: 0.1328243922440227
Position 16434: 0.12516198086508576
Position 15238: 0.12416919685815053
Position 14691: 0.09501590856757344
Position 14660: 0.0942649361323904
Position 14940: 0.09295928079898055
Position 15215: 0.09087903514856145
Position 167: 0.08911591689609526
Position 7684: 0.08646230329867535
Position 13686: 0.04197706922165695
Position 1458: 0.03533388412020102
Position 4374: 0.03500091356914063
Position 16408: 0.028189156339491345
Position 7671: 0.022756007383903907
Position 7663: 0.021042816375004613
Position 16122: 0.019359702993324516
Position 1858: 0.015796504444015504
Position 2915: 0.013920564254388194
Position 8629: 0.013237680937650528
Position 1135: 0.012728349918123402
Position 15451: 0.010422010723836419
Position 7731: 0.009958430334671219
Position 13353: 0.009850037564300482
Position 13858: 0.007523563231500936
Position 6041: 0.006250130873309367
Position 13060: 0.0039640308332121125
Position 8156: 0.003926387769424141
Position 2630: 0.003917192644126134
Position 2133: 0.002902456039364319
Position 7220: 0.002660780359886888
Position 12444: 0.0019591315154719037
Position 14560: 0.0016574172002941294
Position 1717: 0.0009762179344621451
Position 14176: 0.0007277114270668864
Position 3330: 0.00047740583514154747
Position 3359: 0.0003420397536991238
Position 6586: 0.00026386654085076014
Position 14418: 0.00023222251852980528
Position 3126: 0.00019337451132072337
Position 6604: 4.5029381493477595e-05
Position 7728: 4.357098963577642e-05
Position 7057: 2.4781740669317723e-05
Position 6668: 1.3217711324085182e-05
Position 1396: 1.2054605613671284e-05
Position 1215: 7.357659466604318e-06
Position 14098: 3.933824720794223e-06
Position 286: 6.203397539391496e-07
Position 281: 6.124634403673385e-07
Position 220: 6.02083066732405e-07
Position 225: 3.4443275805107637e-07
