Gene = verm
index = 1925
Annotated 5SS: [  96  288 2278 2996 3452]
Annotated 3SS: [ 217 2165 2882 3301 3603]
SMsplice 5SS: [ 288 2278 2540 2996 3452]
SMsplice 3SS: [2165 2408 2882 3301 3603]
top_k =  100
Partition function (log Z): 6.663286342762197

Sorted 5' Splice Sites (High to Low Probability):
Position 3452: 0.9965278036944679
Position 2278: 0.980976901408716
Position 2996: 0.9803357808766411
Position 288: 0.6748507914937534
Position 2540: 0.6700330474688245
Position 96: 0.4642087978651869
Position 1178: 0.11738448893351242
Position 941: 0.08845564446957056
Position 570: 0.08773580136761984
Position 9: 0.030202126347453315
Position 318: 0.026549974783881408
Position 314: 0.01767486219185752
Position 3194: 0.01278811837432774
Position 165: 0.012662597666871224
Position 34: 0.01013975395302136
Position 3779: 0.009510804002110013
Position 1761: 0.007631178449445755
Position 100: 0.007481622227730166
Position 1559: 0.006323967669736576
Position 156: 0.005284622361021988
Position 322: 0.005179250619531227
Position 4809: 0.003463546569395064
Position 885: 0.0034529156424622557
Position 467: 0.003333035774582272
Position 115: 0.001848943417658594
Position 3115: 0.0015531650346687247
Position 2971: 0.0014659890626132926
Position 2670: 0.0012280079608589292
Position 3857: 0.0011830664373117927
Position 1340: 0.0010482168788226885
Position 140: 0.0009877768405400905
Position 3095: 0.0009531059586794972
Position 3356: 0.0009418750108031646
Position 3720: 0.0007692220526823725
Position 2698: 0.0006427342176558305
Position 2700: 0.000570022435321128
Position 2702: 0.0004799332561298094
Position 2704: 0.00042688962988913007
Position 175: 0.0004134525263048276
Position 3000: 0.00024979435425003595
Position 147: 0.00021471188137249186
Position 84: 0.00017549475918464839
Position 23: 0.00011065289238773616
Position 105: 2.697557549834742e-05
Position 3502: 5.2340417799979296e-06
Position 43: 4.380729265286419e-06
Position 15: 4.007995754692293e-06
Position 7: 2.7996854683065466e-06
Position 3414: 1.2824097985961096e-06
Position 2706: 5.817268812318433e-07
Position 3456: 3.9416043503580997e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2165: 0.9852211512021325
Position 2882: 0.9720550209451387
Position 3301: 0.9695591199013242
Position 3603: 0.9176164245573484
Position 2408: 0.6164391575941862
Position 217: 0.43214136029755923
Position 1051: 0.06303993349577139
Position 2326: 0.03674260978289223
Position 156: 0.03395618159171513
Position 5090: 0.03238622394740179
Position 3547: 0.029399922293214645
Position 3258: 0.012579870735149866
Position 391: 0.011058161006350828
Position 2363: 0.01071788659013828
Position 3220: 0.009634354890796434
Position 1688: 0.009623066170403205
Position 3574: 0.008171645953911082
Position 69: 0.0070999383480484695
Position 2134: 0.007081872188860073
Position 991: 0.00640095926766494
Position 3255: 0.00538804789031282
Position 3650: 0.005250278704230721
Position 3060: 0.00504755522698826
Position 4876: 0.0049208213612697334
Position 2417: 0.004052583264751044
Position 1395: 0.0036388682678333683
Position 1921: 0.003211713677301169
Position 3535: 0.002967933226931176
Position 5068: 0.002949913898962782
Position 165: 0.0028479244341722285
Position 82: 0.0026733193161241012
Position 3118: 0.0026693519106166927
Position 342: 0.0022755416984257945
Position 3932: 0.0020077192344652465
Position 2913: 0.0019380272418098867
Position 4526: 0.0018993417265895317
Position 3857: 0.001848894060905352
Position 420: 0.0015502376743190944
Position 2360: 0.0014453815007257436
Position 4794: 0.0013892998826500807
Position 3571: 0.0013680210350386962
Position 2604: 0.00122357784839953
Position 3086: 0.0009398346184639214
Position 3083: 0.000921436489584023
Position 1727: 0.0007345732583351004
Position 3271: 0.0004160261798221395
Position 3719: 0.0003031665792653809
Position 3510: 0.00022640600520901702
Position 794: 0.00015039343456918564
Position 761: 0.00013604821170818814
Position 3147: 8.228784091444029e-05
Position 971: 3.876625723303616e-05
Position 182: 3.088328393919457e-05
Position 349: 2.2289540073637158e-05
Position 2949: 4.167760743113216e-06
Position 96: 2.9709665285327136e-07
