Gene = DNApol-alpha50
index = 1126
Annotated 5SS: [ 186 2821]
Annotated 3SS: [2651 2876]
SMsplice 5SS: [ 186 2821]
SMsplice 3SS: [2651 2876]
top_k =  100
Partition function (log Z): -5.2716693171987075

Sorted 5' Splice Sites (High to Low Probability):
Position 2821: 0.9935160696086
Position 186: 0.5244168955253681
Position 944: 0.47141710112157276
Position 774: 0.23634766159797269
Position 770: 0.23162650558257752
Position 3122: 0.1044311475560119
Position 968: 0.04626240016171064
Position 3149: 0.030842974605898747
Position 210: 0.021333571414615917
Position 1108: 0.0183712663625426
Position 3020: 0.014922686748534785
Position 2263: 0.0058593426366679476
Position 2268: 0.0034590439497365682
Position 2810: 0.0017012255442679005
Position 3790: 0.001170604585292531
Position 3191: 0.0011606221851234147
Position 559: 0.001012645276164307
Position 309: 0.0005642041898393734
Position 714: 0.0003772368479360271
Position 121: 0.00031876824018544806
Position 314: 0.00023987116472457817
Position 326: 0.00022441466077176116
Position 172: 0.00021926701885433561
Position 601: 0.00011412274763281438
Position 77: 7.90523765949364e-05
Position 2825: 7.744744922914847e-05
Position 4: 7.021890056515039e-05
Position 75: 6.379919202581816e-05
Position 833: 3.228628581499129e-05
Position 465: 1.1046171762308316e-05
Position 2157: 6.2177109453459215e-06
Position 1052: 6.0556268535419605e-06
Position 675: 2.0118985842838294e-06
Position 144: 8.360964015434895e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2651: 0.9062739545631255
Position 2876: 0.8811667257868738
Position 832: 0.5204309880605628
Position 3251: 0.11541737454315597
Position 2923: 0.08583412430369577
Position 2673: 0.05672976991918198
Position 3101: 0.026911536423534527
Position 769: 0.019896758243402864
Position 3839: 0.015605316827233717
Position 431: 0.015027329978724753
Position 3776: 0.010798822693596088
Position 261: 0.007534761151434099
Position 2484: 0.006739572061386428
Position 2770: 0.004515339607635827
Position 519: 0.004324305454055519
Position 3255: 0.0035862642459898626
Position 3357: 0.0032701577559249356
Position 2679: 0.003234962411486176
Position 3804: 0.003013908826322754
Position 624: 0.0025794890015455735
Position 2319: 0.0025473260978389903
Position 242: 0.0024542708961634956
Position 2325: 0.002364131155621671
Position 813: 0.002279825630644448
Position 2963: 0.0018166966088985041
Position 341: 0.0012364614994068888
Position 396: 0.001101075535857038
Position 919: 0.0009621015726042242
Position 1024: 0.0008647763751356836
Position 548: 0.0007632245761371685
Position 792: 0.000532679478828294
Position 4085: 0.0004433622607538188
Position 845: 3.997591840182064e-07
