Gene = tup
index = 1920
Annotated 5SS: [  605 15792 16869 17167 19082 19306 19580 20285]
Annotated 3SS: [15601 16737 16977 18960 19142 19363 20055 20347]
SMsplice 5SS: [  605 15792 16869 17167 19082 19306 19580 20285]
SMsplice 3SS: [15601 16737 16977 18960 19142 19363 20055 20347]
top_k =  100
Partition function (log Z): 24.934020567008975

Sorted 5' Splice Sites (High to Low Probability):
Position 19082: 0.9999603678363326
Position 19306: 0.9998624408038226
Position 16869: 0.9985861159000041
Position 19580: 0.9971235682119345
Position 15792: 0.9695600926162824
Position 17167: 0.9626961256414717
Position 605: 0.9623290223120456
Position 20285: 0.6295562589238368
Position 17866: 0.5115219475570554
Position 18501: 0.2850946696849462
Position 21034: 0.2607475451437422
Position 18074: 0.20393515285749672
Position 20533: 0.058479928067731286
Position 469: 0.05502749876943769
Position 20297: 0.03854925890512042
Position 16192: 0.03187687562092148
Position 18813: 0.028707684003546688
Position 18544: 0.025919201791371
Position 15740: 0.023174895658900067
Position 16599: 0.020216870829287584
Position 1528: 0.01974245652366888
Position 16168: 0.015014722848986238
Position 16144: 0.014748248140333249
Position 18140: 0.013250942066649313
Position 20615: 0.012787977521188876
Position 1387: 0.01137738269658562
Position 17445: 0.011288908144557736
Position 16152: 0.010778024246354897
Position 17913: 0.009048188298321526
Position 16213: 0.008611595612199508
Position 17883: 0.007338514586437219
Position 20810: 0.004986893914898203
Position 18308: 0.004196688178395589
Position 21616: 0.0014170852097898264
Position 19567: 0.0010025721285251861
Position 17473: 0.0009011836161149469
Position 129: 0.0007873214496363795
Position 112: 0.0006329132847926052
Position 17101: 0.0006006490175142327
Position 19592: 0.00041597312206473395
Position 61: 0.00041364090659534963
Position 288: 0.0003778913175352951
Position 19571: 0.0003537429347852581
Position 19675: 0.0002474189176195065
Position 17104: 0.00022682899632078723
Position 28: 0.00020452470763407946
Position 812: 0.00017330850828761488
Position 19743: 0.00014088038167985332
Position 19615: 0.00011248303653954252
Position 315: 0.0001100799550682777
Position 17072: 0.00010068463419009062
Position 19424: 9.648136133242457e-05
Position 17076: 8.857747507087083e-05
Position 19717: 6.697488729072795e-05
Position 373: 6.514971470225617e-05
Position 485: 6.355406971023487e-05
Position 1233: 6.224522930586684e-05
Position 229: 5.703807665123336e-05
Position 91: 4.834757582597934e-05
Position 36: 4.546919025407454e-05
Position 65: 3.6137970174347946e-05
Position 19089: 3.4531204771615746e-05
Position 20301: 3.4305400185260775e-05
Position 94: 2.6886788595511042e-05
Position 432: 2.4425317849116734e-05
Position 57: 1.614549034609657e-05
Position 1158: 1.485437777458291e-05
Position 19231: 1.2908233979083295e-05
Position 598: 1.03441637323713e-05
Position 453: 1.0071530131003725e-05
Position 40: 8.178809799404512e-06
Position 792: 4.579821100913543e-06
Position 19195: 1.6205932309512764e-06
Position 19236: 5.021723649244859e-08
Position 19463: 4.247630270261247e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 19142: 0.999913793660437
Position 20055: 0.9978605421021802
Position 19363: 0.9916877019009842
Position 15601: 0.9902149738020951
Position 16737: 0.9831816318722315
Position 18960: 0.9468673305978037
Position 20347: 0.664936697141256
Position 17963: 0.5670436954795345
Position 16977: 0.5597728077742076
Position 21086: 0.2702071585514021
Position 16933: 0.24776615764749893
Position 17742: 0.21989858566898537
Position 17338: 0.18322922807365538
Position 16924: 0.1717376718202883
Position 16001: 0.08603688844009176
Position 17553: 0.07476795424809182
Position 20800: 0.07131896195436359
Position 17724: 0.04301494654068139
Position 16109: 0.02686446447230518
Position 1332: 0.026561512381411172
Position 546: 0.01806723845722066
Position 17369: 0.016577274568615446
Position 17513: 0.010722129600025236
Position 19366: 0.006407986006486415
Position 18133: 0.004746119079582786
Position 17507: 0.004091239741500532
Position 16779: 0.003702626944714974
Position 17527: 0.0036538476911337123
Position 17292: 0.003042675782499137
Position 15041: 0.002913849009926408
Position 178: 0.0021489198623547436
Position 17536: 0.002096983181142844
Position 18569: 0.0018495174578978132
Position 17419: 0.0015787016019063007
Position 754: 0.001476232600548859
Position 21669: 0.0014170852097898261
Position 1022: 0.0011398763585003771
Position 986: 0.0009956043810882313
Position 19453: 0.0009955620887612533
Position 856: 0.000946613498705842
Position 19943: 0.0006883434683504366
Position 16269: 0.0004409521147284567
Position 17128: 0.00039975551307645297
Position 16454: 0.0003941372762625346
Position 18156: 0.0003370659526248911
Position 478: 0.00033347101740738066
Position 17021: 0.0002796810748184882
Position 19416: 0.00024471028730054385
Position 17146: 0.00015390793014341468
Position 19821: 0.00013046465915160293
Position 19396: 9.827766090418326e-05
Position 16019: 6.202329685128525e-05
Position 15942: 3.9573657531728916e-05
Position 19185: 3.764238449241715e-05
Position 19191: 3.29612960119431e-05
Position 19242: 9.59310106940521e-06
Position 19188: 7.519267143681913e-06
Position 19296: 6.461743667218879e-07
Position 19299: 4.583010188787395e-07
Position 19302: 1.339069635855316e-07
Position 19468: 1.6348593198884526e-08
Position 19527: 2.021647847171566e-09
