Gene = Ostgamma
index = 1350
Annotated 5SS: [ 210 1046 1287]
Annotated 3SS: [ 318 1123 1351]
SMsplice 5SS: [ 210 1046 1287]
SMsplice 3SS: [ 318 1123 1351]
top_k =  100
Partition function (log Z): 1.1979705057102268

Sorted 5' Splice Sites (High to Low Probability):
Position 1046: 0.9970946852235971
Position 1287: 0.9433908042301167
Position 210: 0.7709143943561202
Position 817: 0.09268568751882948
Position 411: 0.011834059003422109
Position 162: 0.005698108240528281
Position 214: 0.0014431962565022412
Position 66: 0.0010105228969108163
Position 1274: 0.0007033941967621385
Position 491: 0.0005529744583434495
Position 237: 0.0003882059916354733
Position 1248: 0.00028268671415995755
Position 154: 0.0002360311016399866
Position 1291: 0.00023147583381536688
Position 75: 0.00020949875588879626
Position 1057: 0.0001907243768084959
Position 91: 0.000189558651700253
Position 1064: 0.00015180145721052353
Position 1211: 0.0001311884155959791
Position 601: 0.00012508204415069535
Position 1015: 8.321954738416214e-05
Position 1259: 7.326365205080717e-05
Position 94: 5.901170234577534e-05
Position 1018: 5.642004236256233e-05
Position 170: 5.6148932468584164e-05
Position 1038: 1.8809097573610567e-05
Position 1216: 1.861626312027002e-05
Position 1252: 1.635786725794101e-05
Position 1033: 1.3901597625443646e-05
Position 1228: 1.1088314715306761e-05
Position 577: 9.04117228259347e-06
Position 7: 6.980217894071377e-06
Position 402: 6.077451936816518e-06
Position 415: 5.904989134587273e-06
Position 448: 5.65797701951501e-06
Position 226: 4.115481855028499e-06
Position 102: 2.2691057279877528e-06
Position 85: 7.749063881651058e-08
Position 165: 5.667025442511214e-08
Position 824: 3.230411777056517e-08
Position 218: 2.5922303279759563e-08
Position 301: 1.7130818350029832e-08
Position 290: 1.4401550631356006e-08
Position 343: 3.827709426731266e-09
Position 974: 1.784084725106959e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1123: 0.9996901807897725
Position 1351: 0.9358229758724879
Position 318: 0.741481635723127
Position 892: 0.11414966964478881
Position 262: 0.014304777723650713
Position 1367: 0.0073323788677966415
Position 870: 0.002528465651495868
Position 1005: 0.0018323823501916806
Position 266: 0.0014418182485126001
Position 343: 0.001354850956046944
Position 657: 0.0013501545644100958
Position 121: 0.0012227778433239254
Position 486: 0.0011714450047261354
Position 1419: 0.0010229903675383935
Position 476: 0.0008486827865745865
Position 494: 0.0008288486073068479
Position 402: 0.0004451414905600953
Position 1329: 0.0003773982944971742
Position 1379: 0.00028051142052309204
Position 286: 0.00012922654874017087
Position 375: 7.647447944496885e-05
Position 1176: 6.937877261581442e-05
Position 1390: 6.44495267021543e-05
Position 249: 4.0778966208773365e-05
Position 1266: 1.779235100258219e-05
Position 1272: 1.5455100120128232e-05
Position 1432: 5.747337783371487e-06
Position 189: 1.8138866932542948e-06
Position 140: 1.3273601301301608e-06
Position 151: 1.1651535745200007e-06
Position 274: 2.0309280028545386e-07
Position 165: 1.003229666489452e-07
Position 94: 9.384558538724253e-08
Position 91: 8.319000914900322e-08
Position 209: 1.3922971243060196e-08
Position 1193: 2.6032916027116574e-09
