Gene = Notum
index = 1327
Annotated 5SS: [ 440 6185 6764]
Annotated 3SS: [5790 6250 6827]
SMsplice 5SS: [ 440 6185 6764 6962]
SMsplice 3SS: [5790 6250 6827 8115]
top_k =  100
Partition function (log Z): 6.071548885469575

Sorted 5' Splice Sites (High to Low Probability):
Position 440: 0.9999957656017651
Position 6185: 0.9999662223689131
Position 6764: 0.9987124297004969
Position 6962: 0.656152587697673
Position 8018: 0.11426986831179167
Position 8008: 0.05215774347432706
Position 7917: 0.029668344640942923
Position 8226: 0.02020596819097284
Position 8230: 0.017135614913156974
Position 7976: 0.016732809760903966
Position 7828: 0.007471291602612576
Position 7934: 0.004809724695543375
Position 7089: 0.003982136787727851
Position 7902: 0.0024525934836369034
Position 6993: 0.0019754248272306533
Position 8196: 0.0014106154303590683
Position 6973: 0.0012213003510475938
Position 6768: 0.00100776534411662
Position 6508: 0.000953708782846715
Position 6421: 0.0005423811501191373
Position 6580: 0.0002443099990055248
Position 3068: 0.00019005461862164742
Position 7001: 0.0001893719967731337
Position 1657: 8.334024148258965e-05
Position 6971: 7.309469682922681e-05
Position 6544: 4.414474515763607e-05
Position 6593: 4.064592798985716e-05
Position 6506: 3.352331254221945e-05
Position 1255: 2.9064207518417745e-05
Position 2239: 2.544270279042996e-05
Position 7832: 2.2563999635926353e-05
Position 6649: 2.0077881165123914e-05
Position 6704: 1.8451478061172588e-05
Position 6659: 1.2642208644097754e-05
Position 3742: 7.894459296794143e-06
Position 6332: 4.396864731668448e-06
Position 6984: 3.028395810137895e-06
Position 6728: 2.4419575616851948e-06
Position 6666: 2.1408631828407693e-06
Position 6772: 1.8806835217770266e-06
Position 471: 1.748714463673483e-06
Position 6442: 1.646973686131664e-06
Position 6571: 1.593375223962437e-06
Position 6393: 1.562088254145183e-06
Position 6401: 7.084734819148425e-07
Position 6497: 6.715010830379326e-07
Position 6693: 3.85349892027671e-07
Position 6386: 2.993771317679901e-07
Position 6464: 2.889533003663114e-07
Position 7393: 2.4863867100053827e-07
Position 6584: 1.3382861479580805e-07
Position 6342: 1.211063545699605e-07
Position 6457: 1.0532781480934635e-07
Position 6597: 5.67783426677798e-08
Position 6653: 4.3586611547035824e-08
Position 6481: 4.203975352267512e-08
Position 6321: 3.285072681078998e-08
Position 876: 1.379517833672076e-08
Position 652: 1.0036814807455208e-08
Position 4333: 2.160814420985128e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6250: 0.9998621554671171
Position 6827: 0.9983140886075308
Position 5790: 0.6917997578793854
Position 8115: 0.6866064525437747
Position 5818: 0.2555496277593798
Position 7058: 0.06253412241280465
Position 8076: 0.047709785542026234
Position 5828: 0.0449602128984
Position 8137: 0.026162933295437885
Position 8782: 0.02453490784626483
Position 8813: 0.02361341744625976
Position 8652: 0.016315452320514352
Position 8317: 0.015903843562571556
Position 7033: 0.011808890177708482
Position 4737: 0.004639997932822383
Position 8379: 0.0043339894832872755
Position 8295: 0.0038717675285196615
Position 9012: 0.0032530599972276386
Position 3337: 0.002560559433182173
Position 8668: 0.0023216282768922683
Position 9056: 0.001450827099294783
Position 6608: 0.0011086039280865337
Position 9240: 0.0008786700778341303
Position 3966: 0.00046363434269529384
Position 6564: 0.0003006503971574183
Position 7167: 0.0002550147006908747
Position 6645: 9.021158858353061e-05
Position 6332: 8.873489113467366e-05
Position 1498: 8.797650550586088e-05
Position 7962: 6.524061070253755e-05
Position 6649: 6.194276828158836e-05
Position 6329: 4.9109641743309894e-05
Position 2912: 4.017902277402833e-05
Position 2220: 3.8232832314508875e-05
Position 6571: 3.4924893985217884e-05
Position 1425: 3.1678073403276686e-05
Position 6657: 2.8340973178181727e-05
Position 2597: 2.5423479298563082e-05
Position 979: 2.1520125480467655e-05
Position 6558: 1.9958099624690975e-05
Position 2972: 1.77080931456484e-05
Position 3006: 1.7290403709999277e-05
Position 2969: 1.3541556832027764e-05
Position 2900: 1.1469541024970531e-05
Position 2027: 4.479828532348383e-06
Position 2048: 4.058837584017743e-06
Position 6420: 3.999860522728661e-06
Position 701: 3.700679751348093e-06
Position 627: 1.877667821406472e-06
Position 982: 1.5683070809834266e-06
Position 1299: 9.497916525625313e-07
Position 1032: 9.472009354522642e-07
Position 603: 5.571628394480466e-07
Position 758: 5.42229090314957e-07
Position 606: 5.351440393173038e-07
Position 958: 4.6599125670444703e-07
Position 651: 4.172676926449996e-07
Position 3598: 3.287431591995318e-07
Position 582: 3.201768766107383e-07
Position 6907: 1.7995277462512593e-07
Position 6794: 4.708732818559224e-08
Position 6875: 1.3326197413159815e-08
