Gene = Pino
index = 1382
Annotated 5SS: [  150   825 11510 12513]
Annotated 3SS: [  607 11436 12262 13009]
SMsplice 5SS: [  150   825 11510 12513]
SMsplice 3SS: [  648 11436 12262 13009]
top_k =  100
Partition function (log Z): -0.7361674806876173

Sorted 5' Splice Sites (High to Low Probability):
Position 12513: 0.9766457954360189
Position 11510: 0.9565355339387556
Position 825: 0.9197115430233982
Position 150: 0.7898052996990624
Position 405: 0.07146881390867461
Position 1788: 0.0553982314979359
Position 2101: 0.04622153964413966
Position 13390: 0.017558631158825458
Position 11680: 0.017541004363764198
Position 12045: 0.01617857252144867
Position 11884: 0.009601274565003448
Position 12499: 0.008056123699330182
Position 13557: 0.0045820742542684
Position 523: 0.003737390934457376
Position 2025: 0.0037176622253102987
Position 154: 0.0028859719811427944
Position 386: 0.0015236892082136153
Position 214: 0.001101264369538202
Position 176: 0.0009846974467328665
Position 555: 0.00019624197205773554
Position 142: 0.00014519803406036588
Position 13943: 0.0001443478852771288
Position 1105: 7.44222372222789e-05
Position 1585: 5.37803746039544e-05
Position 843: 8.235288287442103e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 13009: 0.993061242150436
Position 11436: 0.9687115444490869
Position 12262: 0.881770189995709
Position 648: 0.45397108615211557
Position 645: 0.1818949888446071
Position 11573: 0.10387435495413051
Position 551: 0.09687177288968286
Position 12297: 0.026871032152028053
Position 880: 0.0268034104588258
Position 675: 0.02000358009309207
Position 1401: 0.01825089008062368
Position 340: 0.01757888062955568
Position 1890: 0.01509385980334228
Position 1219: 0.01423847446877428
Position 13445: 0.012557510576454309
Position 607: 0.011153170826096011
Position 917: 0.011057093566538596
Position 2096: 0.0071576253091811945
Position 13621: 0.006167879049179521
Position 1928: 0.004782442927491605
Position 651: 0.004421074919003672
Position 11717: 0.0042023871220998365
Position 1859: 0.0035366899395996225
Position 13023: 0.0033935925888322043
Position 13471: 0.0025492069232689596
Position 318: 0.0024681053778239656
Position 242: 0.0024238375516446513
Position 1347: 0.0022358079308240518
Position 12740: 0.0015812717200481823
Position 1822: 0.00135241717400521
Position 11796: 0.0007410408648589321
Position 13873: 0.0004959017274736983
Position 13643: 0.0003702071367173633
Position 12573: 0.00024863433244952935
Position 885: 0.00023510965240940347
Position 974: 0.0002344916097111239
Position 944: 0.0002314772284333011
Position 1179: 0.00015354299036004284
Position 14235: 0.0001443478852771288
Position 566: 0.00013238235576907203
Position 506: 0.00012691252286120818
Position 381: 0.00011485182849855598
Position 12625: 0.00010301313480225448
Position 621: 8.785723532079807e-05
Position 694: 8.496994390524875e-05
Position 923: 7.572396837611605e-05
Position 378: 5.6503957491850866e-05
Position 518: 5.373754765722304e-05
Position 251: 4.0813562584482354e-05
Position 691: 4.041426711575764e-05
Position 1680: 2.6579930555419502e-05
Position 571: 2.5218855225545e-05
Position 393: 5.025261049209645e-06
Position 419: 3.648485641333259e-06
Position 221: 1.3598234780862338e-06
