Gene = sstn
index = 1894
Annotated 5SS: [251 472]
Annotated 3SS: [ 370 1394]
SMsplice 5SS: [472]
SMsplice 3SS: [1394]
top_k =  100
Partition function (log Z): -10.475110577788657

Sorted 5' Splice Sites (High to Low Probability):
Position 472: 0.9650722001985278
Position 251: 0.3283847081733224
Position 3374: 0.04306893168946914
Position 306: 0.029979220104835867
Position 983: 0.00907415869796385
Position 144: 0.001296072912018379
Position 18: 0.0010198830782315307
Position 253: 0.00046119444806610294
Position 150: 0.00045304294239806195
Position 166: 0.00020090924530176912
Position 118: 0.00014267394717495536
Position 40: 7.443153331443891e-05
Position 198: 3.336867036231873e-05
Position 309: 2.640061928859934e-05
Position 171: 2.0720005879425078e-05
Position 90: 1.8246192353550342e-05
Position 69: 1.1485070037753886e-05
Position 580: 8.666072287927283e-06
Position 7: 6.442522555324383e-06
Position 843: 4.7002710186604e-06
Position 74: 3.4228008930547156e-06
Position 626: 2.5546343632349817e-06
Position 35: 1.4471463117189565e-06
Position 461: 1.6554251188005502e-09
Position 476: 9.460728117834456e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 370: 0.3578027233269336
Position 1394: 0.22616881917045156
Position 3434: 0.20305183644243086
Position 3168: 0.10286583532940088
Position 671: 0.10002989248537325
Position 3617: 0.08690425757282516
Position 3631: 0.05956483644904221
Position 2411: 0.03298892325400436
Position 604: 0.03249284717625974
Position 1359: 0.021933526164897826
Position 1175: 0.018462912961910143
Position 809: 0.01659128392402305
Position 1782: 0.014688633670207313
Position 1588: 0.012758269105739515
Position 676: 0.0107100108892436
Position 1591: 0.010516734580114857
Position 932: 0.009879450473998576
Position 1362: 0.008422637928474634
Position 1275: 0.006808254487825854
Position 1939: 0.006513559564670961
Position 1628: 0.006476021912982161
Position 1221: 0.004920897899963627
Position 3838: 0.0044565542266966985
Position 1070: 0.003889430352577441
Position 719: 0.003806943798101283
Position 753: 0.003485819201109182
Position 1916: 0.003125763150740693
Position 966: 0.0030083931933498993
Position 689: 0.002522749729806358
Position 616: 0.0019445712724341668
Position 1310: 0.001051860615897675
Position 1116: 0.0009181412605635904
Position 74: 0.0005934296162173702
Position 210: 6.6444479907711685e-06
Position 160: 1.1333000674797507e-06
Position 166: 5.517495475725657e-07
Position 121: 3.058786493460069e-07
Position 437: 2.2599777703964325e-07
Position 90: 1.8373475806029018e-07
Position 141: 1.728041374711864e-08
