Gene = BHD
index = 43
Annotated 5SS: [1252 1444]
Annotated 3SS: [1340 1501]
SMsplice 5SS: [1252 1444]
SMsplice 3SS: [1340 1501]
top_k =  100
Partition function (log Z): -3.9748910828395667

Sorted 5' Splice Sites (High to Low Probability):
Position 1252: 0.9796019011250611
Position 1444: 0.9528710063509985
Position 8: 0.0842917313228176
Position 373: 0.06296410239208927
Position 453: 0.017287844372130226
Position 817: 0.0036927650436616674
Position 984: 0.0022950409995241166
Position 28: 0.0020466270925220175
Position 1003: 0.0014512776178730502
Position 398: 0.001316956548430012
Position 1560: 0.0010795159275735911
Position 1421: 0.0005905068341562767
Position 1448: 0.00022732607185536207
Position 960: 0.00022621349021964616
Position 518: 0.00011238996945536086
Position 996: 8.714749736307574e-05
Position 1217: 7.010027970416579e-05
Position 1435: 3.104089373587044e-05
Position 1569: 2.118207707655354e-05
Position 19: 3.289874196790953e-06
Position 136: 1.3977554416468264e-07
Position 102: 1.3254110815137833e-07
Position 191: 8.875484845054496e-08
Position 82: 7.503227920185467e-08
Position 361: 6.361149449831959e-08
Position 1215: 3.343967248410933e-08
Position 354: 3.327805131246195e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1340: 0.9443055217166344
Position 1501: 0.9302786995178589
Position 66: 0.05563448891370265
Position 1369: 0.03905580052714293
Position 1146: 0.03229416864404551
Position 75: 0.022033866131328586
Position 1537: 0.016435758847467504
Position 1346: 0.010528947330433523
Position 539: 0.00843326085048411
Position 512: 0.007957675029713736
Position 1108: 0.007144902384705222
Position 1506: 0.005564530752137945
Position 85: 0.005408786178822064
Position 424: 0.004569984298674253
Position 1043: 0.004088408190931962
Position 1642: 0.0027421055969848217
Position 467: 0.0026715695921124033
Position 876: 0.0022322187037116083
Position 839: 0.0016787988259154218
Position 1165: 0.0012324327495448714
Position 485: 0.0010747927854855754
Position 929: 0.0010163056130692886
Position 753: 0.0009772660548844298
Position 989: 0.0008477004120145723
Position 856: 0.00045613678287890965
Position 90: 0.00041815423913145586
Position 1472: 0.00034049862293387
Position 268: 0.0003026080280274552
Position 518: 0.00013807979576914352
Position 1394: 0.00011549540878329883
Position 271: 0.00011181895097322257
Position 1414: 8.57621141204896e-05
Position 1544: 5.809983603801152e-05
Position 1574: 1.96039231649176e-05
Position 1648: 1.0794515339195746e-05
Position 161: 2.324297288164642e-06
Position 108: 6.416007399993175e-07
Position 128: 1.744965543801977e-07
Position 206: 1.6208357851020788e-07
Position 87: 7.712599610543286e-08
Position 248: 6.966241793027521e-08
Position 203: 2.792392017144021e-08
Position 301: 1.3157980884718695e-08
