Gene = fal
index = 1699
Annotated 5SS: [ 535 2649 2885 3656]
Annotated 3SS: [2481 2712 2954 3713]
SMsplice 5SS: [ 535 2649 2885 3656 3825]
SMsplice 3SS: [2481 2712 2954 3713 3886]
top_k =  100
Partition function (log Z): 6.943770982563462

Sorted 5' Splice Sites (High to Low Probability):
Position 2885: 0.9999649111415246
Position 2649: 0.996979898321515
Position 535: 0.872365302945272
Position 3656: 0.6667483182830445
Position 1996: 0.639961176322445
Position 3825: 0.5867107364197168
Position 2280: 0.3852101318358
Position 2396: 0.2980543135656702
Position 3473: 0.15219327953064676
Position 2267: 0.07780144382005177
Position 1733: 0.06407315940709062
Position 3345: 0.057651498654644986
Position 214: 0.05021901977051313
Position 2231: 0.04989518781346288
Position 3309: 0.012660925488172705
Position 3632: 0.01074311455208455
Position 1255: 0.00819078892538632
Position 2360: 0.0071551970525155165
Position 2243: 0.006714790450746451
Position 546: 0.003916701297790771
Position 2299: 0.0035945999843939873
Position 3085: 0.0031623211594216326
Position 2665: 0.0028667826031532114
Position 3582: 0.0018088065641671588
Position 917: 0.0016672064440206257
Position 3187: 0.0014392536780378586
Position 4188: 0.0011854952442861707
Position 1482: 0.0009911979433628792
Position 394: 0.0006614496921326956
Position 796: 0.0005171572345703475
Position 251: 0.0003160081274732472
Position 209: 0.00016224379620356262
Position 381: 0.00011069758271915976
Position 334: 9.561565567803626e-05
Position 28: 5.705192525188676e-05
Position 30: 4.615646934392423e-05
Position 53: 3.668323755998146e-05
Position 73: 3.521694329277179e-05
Position 184: 1.339018425743164e-05
Position 2860: 1.277475276489459e-05
Position 2864: 1.0529118475223208e-05
Position 2896: 8.447078707355533e-06
Position 354: 7.141137816660922e-06
Position 3049: 7.076465548552047e-06
Position 1200: 4.47502775447656e-06
Position 92: 4.271570944323476e-06
Position 2889: 2.8323364575902176e-06
Position 320: 2.57017681803814e-06
Position 164: 2.2567403290283413e-06
Position 98: 1.752163758625154e-06
Position 3: 1.65773610281694e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 2712: 0.9986745519171277
Position 2954: 0.9921868391093965
Position 2481: 0.9700538320430572
Position 2048: 0.8370799203517971
Position 3713: 0.7216280834114147
Position 3886: 0.5067840865904178
Position 1583: 0.1617302791248352
Position 1301: 0.14849080820166027
Position 1786: 0.11266551262865558
Position 1578: 0.08900572019093597
Position 3543: 0.08719537652958567
Position 1337: 0.05929040274308255
Position 3540: 0.05141606018134017
Position 3397: 0.04976779158034463
Position 4023: 0.041328604586508
Position 4140: 0.02799890404404656
Position 599: 0.017015580493916445
Position 868: 0.01638891868792167
Position 1717: 0.014698043721863188
Position 1671: 0.013924575628029442
Position 1061: 0.013202553258122257
Position 4079: 0.010599141198744678
Position 2562: 0.006456808893885908
Position 456: 0.004654611873315428
Position 2499: 0.004418240553599046
Position 3251: 0.0038050737005982283
Position 414: 0.0012254247578068235
Position 4259: 0.0011854952442861713
Position 2724: 0.0008500060165381729
Position 2390: 0.0005071828455781603
Position 3402: 0.0004149062168623044
Position 297: 0.00038888760896975497
Position 2776: 0.0001916110935301187
Position 498: 0.00018840037521973232
Position 301: 0.00018404187071922623
Position 146: 0.00015462715901848882
Position 2797: 0.00011880828177136125
Position 495: 7.88548766382283e-05
Position 377: 5.421034371134525e-05
Position 2731: 4.023643804696064e-05
