Gene = Piezo
index = 1380
Annotated 5SS: [  446 10137 10468 10836 11195 11396 11626 12325 13734 14001 14617 15325
 15879 16743 16957 18977 19378 19806 20491 20634 21778 22206 23183 23603
 23812 24020 25022 25603 25805]
Annotated 3SS: [ 9942 10202 10527 11067 11275 11462 12102 13499 13802 14056 14705 15385
 15937 16798 18910 19231 19553 20115 20556 21741 22052 23043 23240 23664
 23874 24087 25094 25662 25858]
SMsplice 5SS: [  446 10137 10468 10836 11195 11396 11626 13422 13734 14001 14617 15325
 15879 16743 16957 19378 20491 21778 23183 23603 23812 24020 25022 25603
 25805]
SMsplice 3SS: [ 9942 10202 10527 11067 11275 11462 12921 13499 13802 14056 14705 15385
 15937 16798 18910 20067 20556 23043 23240 23664 23874 24087 25094 25662
 25858]
top_k =  100
Partition function (log Z): 75.13752252916825

Sorted 5' Splice Sites (High to Low Probability):
Position 24020: 0.9999989171661811
Position 20491: 0.9999865083152445
Position 23603: 0.999782507959816
Position 23183: 0.9995803249720401
Position 25022: 0.9991025010611214
Position 23812: 0.9987863332918786
Position 16957: 0.9985691309790855
Position 13734: 0.997799694755908
Position 14001: 0.9924602771298929
Position 25603: 0.9922174542789562
Position 19378: 0.9833833421957345
Position 10137: 0.9795912271813303
Position 11626: 0.9703422033478009
Position 11195: 0.9700187640526629
Position 15325: 0.9644584121667416
Position 25805: 0.9609569555116162
Position 16743: 0.9526239984240329
Position 11396: 0.9421427254822358
Position 10468: 0.9325925547357462
Position 21778: 0.9210383414746934
Position 10836: 0.917652650376159
Position 14617: 0.8985827729605923
Position 446: 0.8043283568925125
Position 15879: 0.7678657284538563
Position 19806: 0.39333599844819883
Position 13347: 0.367837078543853
Position 13422: 0.3623485724918523
Position 22206: 0.34982375571456786
Position 12325: 0.3422423103192461
Position 22720: 0.24963408871565748
Position 25373: 0.19302298585333594
Position 22545: 0.1767999344411677
Position 15851: 0.1760243256370282
Position 18182: 0.1752945470716126
Position 211: 0.15019476959720188
