Gene = CIAPIN1
index = 1043
Annotated 5SS: [ 222  808 2287]
Annotated 3SS: [ 310  875 2340]
SMsplice 5SS: [222 808]
SMsplice 3SS: [310 875]
top_k =  100
Partition function (log Z): -4.118927295511229

Sorted 5' Splice Sites (High to Low Probability):
Position 808: 0.9795539006821586
Position 222: 0.5617399768208773
Position 241: 0.21960996644056677
Position 1766: 0.19306323860425947
Position 1005: 0.1886714912553405
Position 2287: 0.03948238492153151
Position 269: 0.03080278080882874
Position 245: 0.028427890701152966
Position 1466: 0.025243694792175343
Position 829: 0.016558349787343694
Position 943: 0.015252953549002872
Position 1074: 0.014926495625217197
Position 1706: 0.011417962204070549
Position 243: 0.007993424594657643
Position 236: 0.006103534594437093
Position 951: 0.0052921650042855335
Position 247: 0.0013490540997811342
Position 226: 0.0006461304429731887
Position 249: 0.0003206096390254019
Position 231: 0.0003125721308297238
Position 1033: 0.0002679269564050026
Position 203: 0.0001586784575933302
Position 47: 3.303028465350028e-05
Position 792: 2.2287489134182433e-05
Position 21: 1.8865401712413164e-05
Position 552: 2.2629533182908864e-06
Position 800: 7.010040919142262e-08
Position 833: 5.936095147598681e-08
Position 273: 5.427353423749313e-10
Position 254: 3.8782418968845446e-11
Position 102: 2.147729586646254e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 875: 0.9837894632594716
Position 310: 0.8045449119483233
Position 1834: 0.18019229934605954
Position 1519: 0.11322371044774569
Position 2340: 0.08347709374482366
Position 1107: 0.05160212898001593
Position 329: 0.04548128501203434
Position 1129: 0.036562040991831364
Position 1882: 0.009980657193015087
Position 994: 0.007193415156724591
Position 1324: 0.0065393286242094156
Position 1672: 0.005538281677894019
Position 1397: 0.004242986263951519
Position 1193: 0.003445898119452937
Position 1368: 0.0019351550439504863
Position 2483: 0.0013556460930263402
Position 360: 0.0011855375641887675
Position 522: 0.001046916398459848
Position 280: 0.0009859860683797308
Position 446: 0.0009819492964655621
Position 265: 0.0009012231273279551
Position 1558: 0.0006685921428493265
Position 502: 0.0005798321043650669
Position 371: 0.0004100067181610056
Position 570: 0.0003820402516617856
Position 291: 0.00017813311090320591
Position 567: 0.00014200876885161407
Position 597: 0.0001241757922615553
Position 456: 0.00011060568969878016
Position 765: 0.00010587586295216777
Position 938: 9.452342515594917e-05
Position 547: 9.073501526741006e-05
Position 459: 5.343834564456389e-05
Position 351: 5.282263346752187e-05
Position 269: 5.171338883417734e-05
Position 72: 1.8865401712413164e-05
Position 950: 2.475296549298329e-06
