Gene = UK114
index = 1579
Annotated 5SS: [170 472]
Annotated 3SS: [241 700]
SMsplice 5SS: [170 472]
SMsplice 3SS: [241 700]
top_k =  100
Partition function (log Z): -0.1066405604293677

Sorted 5' Splice Sites (High to Low Probability):
Position 472: 0.9863654309736846
Position 170: 0.9739025772298107
Position 625: 0.01192919066702613
Position 190: 0.003916033817466229
Position 843: 0.0019991531598686184
Position 184: 0.0018229885801718157
Position 459: 0.0008992845484368344
Position 618: 0.0007094074230294925
Position 16: 0.000501637588270457
Position 831: 0.0003161852905108707
Position 593: 0.0001663723701723061
Position 476: 0.00011351120261543232
Position 402: 7.421317183339807e-05
Position 494: 5.8557700234568384e-05
Position 117: 5.5626778393507215e-05
Position 33: 3.863655993394393e-05
Position 5: 1.043677924933027e-05
Position 814: 4.095836902367528e-06
Position 156: 4.063448213848336e-06
Position 269: 2.532246176048347e-06
Position 89: 9.56463374665703e-07
Position 315: 5.96199553642373e-07
Position 393: 3.5058325531314385e-07
Position 66: 3.054915991851634e-07
Position 84: 7.818006224425617e-08
Position 450: 2.8574730650083863e-08
Position 419: 2.7144176942419135e-08
Position 417: 2.0885730926416226e-08
Position 107: 8.768691067660621e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 700: 0.9385468990227831
Position 241: 0.880536706674499
Position 245: 0.09699065319086275
Position 728: 0.04022494867979314
Position 738: 0.014270623368257542
Position 518: 0.006914568299923624
Position 891: 0.002005141642192281
Position 642: 0.0009156967214288552
Position 711: 0.0008567192590136769
Position 84: 0.000545804254423722
Position 886: 0.000400165267081179
Position 580: 0.0003136024883728604
Position 597: 0.00010136126113694968
Position 299: 0.00010001810609949489
Position 897: 3.286026487195655e-05
Position 324: 3.141190002483955e-05
Position 747: 3.0764937608746826e-05
Position 377: 2.8423830321983294e-05
Position 344: 1.7448614159666936e-05
Position 450: 1.5259771946193116e-05
Position 347: 6.506933838651376e-06
Position 428: 2.435286559977879e-06
Position 98: 1.4756066417721738e-06
Position 417: 1.4160827665896421e-06
Position 133: 7.546626608409389e-07
Position 402: 5.488745792689079e-07
Position 47: 3.431847363289307e-08
Position 121: 2.8328399937165325e-08
Position 156: 1.4187609971252313e-08
Position 152: 6.6657688578146415e-09
Position 174: 4.4273908009617003e-10
Position 170: 3.733151443963682e-11
