Gene = bark
index = 1622
Annotated 5SS: [  152  3979  5608  9720 11988 12262 12687 12871 13065 13221 13655 13938]
Annotated 3SS: [ 3370  5428  5665  9781 12049 12330 12744 13040 13122 13283 13712 14040]
SMsplice 5SS: [  152  5608  5923  9720 11988 12262 12687 13065 13221 13655 13938]
SMsplice 3SS: [ 5428  5665  9570  9781 12049 12330 12744 13122 13283 13712 14040]
top_k =  100
Partition function (log Z): 15.40012059596149

Sorted 5' Splice Sites (High to Low Probability):
Position 13221: 0.9976289431468716
Position 12687: 0.9975811345085355
Position 5608: 0.9954018742386807
Position 12262: 0.9804597633167542
Position 11988: 0.9786922722089935
Position 9720: 0.9077813162099538
Position 13065: 0.9025597398400032
Position 13655: 0.8712623410756415
Position 13938: 0.7095674766418476
Position 5923: 0.6835322225219336
Position 152: 0.6101018470745364
Position 12871: 0.28443827904269126
Position 3979: 0.21624558196859262
Position 12456: 0.18776422283442062
Position 464: 0.12982005019991955
Position 7978: 0.1134129618238998
Position 34: 0.0763508383851155
Position 5854: 0.05912498363106753
Position 8259: 0.054710763237201775
Position 71: 0.046659204479844056
Position 74: 0.03339999241656119
Position 1066: 0.032467765926446235
Position 94: 0.019390886732082238
Position 12267: 0.017076400326073143
Position 13350: 0.016172016276849974
Position 340: 0.014191879165669618
Position 12544: 0.013448318279054712
Position 13365: 0.01278079172212587
Position 1452: 0.010728887797505311
Position 533: 0.009207910713647481
Position 13541: 0.007934743577631024
Position 643: 0.0069951878777694656
Position 377: 0.006773472258762316
Position 14375: 0.006516296832044558
Position 5794: 0.006299143479127911
Position 7104: 0.004729517141346438
Position 13691: 0.0041313465254162775
Position 7461: 0.004090535141438117
Position 522: 0.003220403788504304
Position 5612: 0.003148848471986984
Position 131: 0.003116664679367514
Position 1379: 0.0018340901705174164
Position 12640: 0.001645263197073385
Position 13498: 0.0014563657595708897
Position 5848: 0.001401302048333478
Position 5588: 0.0011689607543089004
Position 13216: 0.0010508919665922194
Position 881: 0.0009198926410001594
Position 12483: 0.0008931352300940728
Position 1955: 0.0008278208983302089
Position 12857: 0.0005572670305068955
Position 1239: 0.0003756333144962048
Position 1193: 0.0003742955769093469
Position 12677: 0.0002756547022104755
Position 5574: 0.00027021211943456487
Position 885: 0.00018555233180468688
Position 947: 0.0001761696196676469
Position 12939: 0.00016793120134491886
Position 683: 0.0001483891710537386
Position 12622: 0.000122407600891748
Position 13037: 8.678195333437843e-05
Position 1128: 3.939435647155363e-05
Position 136: 3.172537856840699e-05
Position 12189: 3.153565208254402e-05
Position 12128: 3.060040787752205e-05
Position 13203: 5.823718495721226e-06
Position 125: 5.362918716628252e-06
Position 1081: 5.351630395342881e-06
Position 12565: 1.7047469279504278e-06
Position 13193: 4.3218936957844933e-07
Position 12460: 3.039413218927136e-07
Position 12562: 2.2734776149737905e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5665: 0.9987054822600687
Position 12744: 0.9985860013661444
Position 12330: 0.9970803891027998
Position 13283: 0.9963662792210823
Position 5428: 0.9852406872955444
Position 13122: 0.98318545968789
Position 9781: 0.9809418241844033
Position 12049: 0.9417993477695231
Position 13712: 0.8520786133884956
Position 8360: 0.7954863756982913
Position 14040: 0.5137943425413033
Position 3370: 0.1684510273745412
Position 12522: 0.15257593182858042
Position 12975: 0.14316217302277856
Position 15180: 0.07359266980373136
Position 13040: 0.06084044380105893
Position 14683: 0.05424109377486379
Position 12076: 0.047590521414119014
Position 12578: 0.032780514563704344
Position 13743: 0.03184689373840348
Position 7536: 0.030612744284117758
Position 2101: 0.026063988019652186
Position 15267: 0.026000380353615203
Position 13427: 0.020792229756592763
Position 1283: 0.020261788250193476
Position 12596: 0.016176747711803934
Position 5464: 0.01474920828886797
Position 14070: 0.013102354430621238
Position 14076: 0.011616854897649196
Position 14051: 0.011425468883969676
Position 14443: 0.011281894726990977
Position 7819: 0.010278142991825718
Position 12091: 0.008322951507176535
Position 14574: 0.006133038671968979
Position 2820: 0.004541952261632203
Position 942: 0.0035900812562962977
Position 13507: 0.002723952897857411
Position 13263: 0.0023234686131547422
Position 13064: 0.0013923925039673838
Position 13568: 0.0008284843400271525
Position 946: 0.0006854143099385335
Position 13092: 0.0005542162668379924
Position 12346: 0.0005523473955526047
Position 13433: 0.00036310620503698335
Position 12651: 0.0002772605969079045
Position 12771: 1.0538757514419188e-05
