Gene = rols
index = 1860
Annotated 5SS: [  298  3879 36164 37838 51929 52432 55981]
Annotated 3SS: [ 2949 35980 37697 51450 52128 52627 56043]
SMsplice 5SS: [  298  3879 36164 37838 51929 55981]
SMsplice 3SS: [ 2949 35980 37697 51450 55845 56043]
top_k =  100
Partition function (log Z): -4.910227370174108

Sorted 5' Splice Sites (High to Low Probability):
Position 3879: 0.9999999999999959
Position 36164: 0.9999999999999956
Position 37838: 0.9994330781109556
Position 51929: 0.954467201924449
Position 298: 0.8414756148753045
Position 94: 0.11680317217013364
Position 52242: 0.031751553629548686
Position 100: 0.015698253716053934
Position 1216: 0.009115955154467897
Position 36483: 0.008885191012107697
Position 45970: 0.006772561631171075
Position 39668: 0.0064860411942187874
Position 45364: 0.0054439054039808095
Position 86: 0.003535501053642475
Position 1135: 0.003037839605435887
Position 1302: 0.002750984388586304
Position 3: 0.002333572499996488
Position 148: 0.002293188146267262
Position 1830: 0.001717502300753799
Position 302: 0.0012384160893531841
Position 37760: 0.0005824000560611405
Position 37842: 1.6348855209703124e-05
Position 38795: 2.054189229737173e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 35980: 0.9999999999999956
Position 37697: 0.9938150476715366
Position 2949: 0.9245489508149406
Position 51450: 0.9013274219311553
Position 56043: 0.8092957421746352
Position 56062: 0.08620119118839746
Position 2965: 0.07428618933220495
Position 52627: 0.06156881848623356
Position 51453: 0.052452084465163105
Position 52113: 0.022672778392745188
Position 52128: 0.017260847041621334
Position 36232: 0.009911212725493914
Position 45309: 0.008448159789099768
Position 39035: 0.0064860427038045025
Position 54371: 0.006341187082760696
Position 50339: 0.00454716267710285
Position 56630: 0.004437643049631442
Position 52163: 0.004366261332931413
Position 53773: 0.004179820801135795
Position 45558: 0.0037683072460521056
Position 37427: 0.0034529465482831694
Position 52099: 0.0029482018703634954
Position 54173: 0.00271677273672439
Position 54480: 0.001603460740906399
Position 37389: 0.0011878884397129711
Position 1902: 0.0011648598528497488
Position 53920: 0.000826430460661863
Position 52075: 0.0007264414696640012
Position 52142: 0.0007057986733452645
Position 51995: 0.0006489253863717719
Position 37817: 0.0005491271388755282
Position 52631: 0.00041573911573956353
Position 52169: 0.00021916942960308955
Position 52070: 0.00021098013793714642
Position 52544: 0.0002073148027632807
Position 52405: 0.00020423124016384734
Position 51983: 0.00013212818201265654
Position 47972: 1.2178627389391628e-06
Position 36629: 7.955215936630717e-07
Position 47899: 6.780270216331943e-07
Position 47085: 2.8940607170101234e-07
Position 44396: 6.504560164514835e-09
Position 43376: 5.2376444719612626e-09
Position 43624: 2.3498930996065075e-09
Position 42736: 1.185262668590638e-09
Position 40380: 9.092596235663259e-11
Position 40713: 7.22554419968826e-11
Position 39834: 5.383434287868544e-11
Position 40319: 4.579066559302547e-11
Position 38854: 4.479357238503354e-11
Position 38446: 4.055654815055508e-11
Position 39067: 3.889403754266451e-11
Position 39721: 3.388845039272584e-11
Position 39816: 3.11747628960453e-11
Position 37882: 2.561214633771345e-11
Position 38924: 2.2136613272680897e-11
Position 38839: 1.9948480321647066e-11
Position 38097: 1.939916542818639e-11
Position 38834: 1.7933948874847058e-11
Position 38412: 1.633825349600861e-11
Position 38632: 9.436181152855483e-12
Position 38033: 6.396099124398564e-12
Position 38134: 6.102523438291942e-12
Position 38056: 5.720323484599673e-12
Position 38443: 4.16939770866355e-12
Position 37982: 2.9609696347164717e-12
Position 37902: 2.5381992446182262e-12
Position 36239: 2.3375580855330222e-14
Position 4226: 1.4381263385807162e-30
Position 362: 2.13775003470104e-32
Position 2409: 7.303909594240875e-34
Position 2116: 5.353465487556501e-34
Position 2582: 5.347880511830361e-34
Position 1829: 2.860438762066915e-34
