Gene = comm3
index = 1654
Annotated 5SS: [13581 15865]
Annotated 3SS: [14957 33739]
SMsplice 5SS: [563]
SMsplice 3SS: [33739]
top_k =  100
Partition function (log Z): -12.638813473024824

Sorted 5' Splice Sites (High to Low Probability):
Position 563: 0.9999999999999983
Position 8835: 9.373020846750201e-13
Position 8981: 1.7938567090673287e-13
Position 792: 5.493545276403695e-15
Position 5193: 3.746431909187696e-15
Position 6423: 3.4333303869286518e-15
Position 1868: 3.019240347794211e-15
Position 57: 4.383929958481404e-17
Position 1330: 2.6219972909564986e-17
Position 2423: 2.477386403772059e-17
Position 95: 1.7812899773089956e-17
Position 1872: 1.7534895584277504e-17
Position 128: 1.0475702546780945e-17
Position 163: 9.038726874573603e-18
Position 80: 6.8309599775749436e-18
Position 100: 5.512891184699989e-18
Position 132: 5.863891869312952e-19
Position 518: 2.908013535058814e-19
Position 322: 1.897368472195931e-19
Position 576: 1.1846344899549212e-19
Position 30: 6.618511647308186e-20
Position 448: 6.576252240139164e-20
Position 3: 6.00448995655851e-20
Position 178: 4.7144115227516077e-20
Position 61: 2.390976853447886e-20
Position 49: 1.9168075037007178e-20
Position 567: 1.2391055799486275e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 33739: 0.99999999854351
Position 16215: 1.3218906114166391e-09
Position 14553: 1.260981817163006e-10
Position 12637: 4.683299126562973e-12
Position 8718: 1.2020147159449701e-12
Position 10047: 1.0161481512437117e-12
Position 10778: 9.071786121943323e-13
Position 10899: 7.851881812902726e-13
Position 8899: 3.6928607454118945e-13
Position 8964: 1.8494755544649934e-13
Position 9032: 1.7938567090673287e-13
Position 9867: 1.4187044499482603e-13
Position 9113: 6.165303368777603e-14
Position 6748: 4.851892695865562e-14
Position 6089: 1.4566898417725327e-14
Position 628: 1.2617354121482231e-14
Position 6778: 6.739316041277304e-15
Position 5323: 4.714998041198643e-15
Position 5369: 4.1077608527936745e-15
Position 4933: 2.725336277823199e-15
Position 5437: 2.6323364062792306e-15
Position 4897: 1.1190007894624811e-15
Position 5452: 1.07273939391524e-15
Position 5064: 6.702574912930188e-16
Position 5104: 6.371545894842191e-16
Position 5167: 4.634898742753278e-16
Position 2495: 3.6562911809713694e-16
Position 4640: 3.081754806204512e-16
Position 4762: 2.263828650641467e-16
Position 2622: 1.8916109523758718e-16
Position 1468: 1.6531206857119624e-16
Position 1233: 8.441052412575157e-17
Position 2539: 7.312678720990745e-17
Position 160: 5.93646353489571e-17
Position 2137: 3.17099978484593e-17
Position 2595: 2.998509282670469e-17
Position 2562: 1.429924659395651e-17
Position 376: 1.2049528771989079e-17
Position 1441: 1.0383816353745109e-17
Position 236: 7.451664977248158e-18
Position 223: 4.427154532693739e-18
Position 178: 3.50093930201005e-18
Position 100: 3.38967094619926e-18
Position 899: 3.2371852033730118e-18
Position 206: 1.293274835592923e-18
Position 507: 1.048781927709121e-18
Position 217: 8.003288023797054e-19
Position 320: 1.2011469947703048e-19
Position 80: 7.441907990093857e-20
Position 132: 2.4420948525560235e-20
Position 128: 2.2292004712939513e-20
