Gene = mus312
index = 1808
Annotated 5SS: [ 232  506 1108 2100 2205]
Annotated 3SS: [ 296  583 1166 2159 2260]
SMsplice 5SS: [ 232  506 1108 2100 2205]
SMsplice 3SS: [ 296  583 1166 2159 2260]
top_k =  100
Partition function (log Z): 6.3051239649196935

Sorted 5' Splice Sites (High to Low Probability):
Position 1108: 0.9995411867403396
Position 506: 0.989320054776103
Position 232: 0.9770066132891079
Position 2100: 0.9516547411815782
Position 2205: 0.9441494127090109
Position 2422: 0.3831109349094044
Position 1407: 0.01757798107927178
Position 2308: 0.012088186310256242
Position 65: 0.006386535257880557
Position 3676: 0.004973576448536055
Position 35: 0.004603293210427052
Position 4158: 0.0037543123006053792
Position 4171: 0.003027360316483303
Position 1624: 0.0029077089003587083
Position 1487: 0.0027187943691448146
Position 1212: 0.002491966474800508
Position 1658: 0.001953987529052628
Position 2074: 0.0012267472259221942
Position 255: 0.0007745163965207254
Position 1645: 0.0004075252124175174
Position 2209: 0.00029887124818692775
Position 2223: 0.00024225104342196174
Position 1560: 0.00018826547662925352
Position 45: 0.00018150431415379017
Position 1928: 0.00014800122615322902
Position 811: 0.00012645415538612375
Position 72: 0.0001206389509122873
Position 263: 7.295519473424931e-05
Position 1134: 6.843649191162651e-05
Position 1079: 5.936431889427726e-05
Position 806: 4.2239045707137694e-05
Position 169: 3.0086073576993144e-05
Position 1017: 1.9105196060329407e-05
Position 663: 1.851135621260328e-05
Position 212: 1.4307503222497867e-05
Position 266: 4.670986365217409e-06
Position 1112: 4.641937359929843e-07
Position 973: 1.885944723221266e-07
Position 894: 2.614407473755345e-09
Position 1063: 1.658177800892872e-09
Position 387: 2.00580422396345e-11
Position 411: 1.1840015863710096e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1166: 0.9944398450565849
Position 583: 0.9827479441776643
Position 2159: 0.949090724566398
Position 296: 0.8911410986393643
Position 2260: 0.7807749460044502
Position 3993: 0.26950744455732367
Position 312: 0.08234623295154667
Position 2284: 0.07729424089085041
Position 2494: 0.06406439216152973
Position 2272: 0.03502288364698986
Position 2404: 0.02687730294920164
Position 2763: 0.025595290066241783
Position 2949: 0.017962701454322588
Position 3117: 0.0137633159646698
Position 1257: 0.0069009110028861705
Position 4227: 0.006781672617088682
Position 3101: 0.00641736589261129
Position 1487: 0.006051261167660595
Position 2164: 0.005043214713651134
Position 130: 0.005007883545687325
Position 3294: 0.00481694055473981
Position 2612: 0.004698368765125844
Position 2411: 0.004651573921956195
Position 1870: 0.0045347630004046804
Position 2365: 0.004151631928290293
Position 3447: 0.004047834615745269
Position 1724: 0.003908503077494556
Position 92: 0.002672835349620582
Position 695: 0.0025027688214951773
Position 2531: 0.0022545252591813997
Position 104: 0.00211041233466304
Position 1642: 0.0019690081465462473
Position 2497: 0.0018544779510737395
Position 1491: 0.0016738519325759395
Position 595: 0.0015197436034955656
Position 1519: 0.0015054408404793914
Position 360: 0.001281161400204294
Position 2333: 0.001269527145606803
Position 330: 0.0012661646135380914
Position 736: 0.0011074410601445155
Position 1556: 0.00101123496641055
Position 2377: 0.001004923006584859
Position 1587: 0.0010016803032659313
Position 612: 0.0009767371387880792
Position 881: 0.0009147526887911286
Position 141: 0.0008169193999318524
Position 1697: 0.0006587339785613118
Position 928: 0.0005326776218164025
Position 2185: 0.0004602570371692896
Position 2033: 0.000435017947759472
Position 1767: 0.0003912413201812607
Position 363: 0.00038561940843395806
Position 2065: 0.00037694435425902943
Position 1764: 0.0002635237242424851
Position 764: 0.00024028379112563187
Position 773: 0.000231159323853098
Position 136: 0.00020172343724285713
Position 663: 0.00015370340737723984
Position 339: 0.00014198106579946094
Position 606: 0.00010103477205267987
Position 905: 7.95904082792455e-05
Position 603: 7.331974037122754e-05
Position 401: 5.346752671730115e-05
Position 2328: 3.8477806914005656e-05
Position 1076: 3.524169509335032e-05
Position 411: 2.683759372095431e-05
Position 660: 2.3940333776345858e-05
Position 2311: 2.3662616469857182e-05
Position 419: 1.4630016649191398e-05
Position 371: 4.950874009334138e-06
Position 376: 2.304129300410819e-06
Position 432: 1.9534438521857446e-06
Position 387: 1.6085471184654585e-06
Position 500: 1.213273186982403e-06
Position 327: 1.1289196999665153e-06
Position 1203: 6.28600213905212e-07
Position 470: 5.108648241099549e-07
Position 1236: 4.920039899195038e-07
Position 231: 7.680556563883102e-10
Position 239: 1.0645111149293971e-10
