Gene = Gug
index = 1204
Annotated 5SS: [  536  2207 12182 13316 18153 18337 18562 18783 19002 19572 19761 20266
 20458 20562]
Annotated 3SS: [ 1852 12049 13081 13378 18212 18416 18621 18944 19487 19642 20165 20362
 20508 21229]
SMsplice 5SS: [  536 18153 18337 18562 18783 19572 19770 20266 20608 21118]
SMsplice 3SS: [16402 18212 18416 18621 19487 19642 20165 20362 20832 21229]
top_k =  100
Partition function (log Z): 16.124735000645202

Sorted 5' Splice Sites (High to Low Probability):
Position 536: 1.0
Position 18562: 0.9998890635347387
Position 18783: 0.9959616086109623
Position 19572: 0.9940607776146969
Position 20266: 0.9413472045880071
Position 20608: 0.5414965254768987
Position 21118: 0.5128384544477389
Position 19761: 0.4952120658424795
Position 19770: 0.4813693402800232
Position 20562: 0.44881173421411985
Position 21122: 0.2026271712969115
Position 19002: 0.15287506156980327
Position 22371: 0.05278578731284472
Position 20458: 0.0400105364359013
Position 21111: 0.03009832514156734
Position 21671: 0.023260000403481265
Position 19328: 0.021899979331909302
Position 20288: 0.010509997382916636
Position 21083: 0.009703669606158722
Position 21430: 0.009270454409900888
Position 20911: 0.007157539683068482
Position 19576: 0.0026896906423677126
Position 19586: 0.0024025310784084966
Position 19739: 0.0023413279865384753
Position 21039: 0.002261924482683844
Position 21150: 0.002126580525587368
Position 19765: 0.0019412660530993002
Position 20928: 0.0019083909847077449
Position 19223: 0.0017821768841506398
Position 19335: 0.0015533273768391894
Position 18990: 0.0014482925473797486
Position 18720: 0.0010398086635209445
Position 20926: 0.0009122421390579284
Position 18916: 0.000891875923223248
Position 20612: 0.0006705805877895202
Position 20270: 0.0006466336184654597
Position 20947: 0.0005188010409250826
Position 19734: 0.0005100506809521235
Position 20074: 0.00047276320214487746
Position 20274: 0.00044190388533368646
Position 18756: 0.00043192325556978925
Position 20593: 0.00040879663386345837
Position 19007: 0.00034072170130909326
Position 20690: 0.00024439116032657683
Position 19250: 0.00015943643770126927
Position 19822: 0.00013921726885047402
Position 20631: 0.00012005812063051841
Position 18832: 0.0001019941856610864
Position 18900: 8.798717477383663e-05
Position 18961: 5.7968679709958814e-05
Position 18750: 2.5734907933458303e-05
Position 21103: 1.41383292680189e-05
Position 21222: 3.5614708578733077e-06
Position 18863: 3.30164672576878e-06
Position 18845: 3.0749747153601453e-06
Position 18787: 1.4487729603556655e-06
Position 20508: 1.1619406688204092e-06
Position 18905: 9.295488419858044e-07
Position 18820: 8.828287752375321e-07
Position 19460: 7.016062730945027e-07
Position 19833: 8.051231742690568e-08
Position 18772: 7.2361312302702864e-09
Position 18743: 2.912866646608034e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 18416: 0.9998890635347387
Position 19642: 0.9876619853716774
Position 18621: 0.9683904875856906
Position 20832: 0.967770246795043
Position 19487: 0.9635633010602591
Position 20362: 0.9485652363900952
Position 21229: 0.6428096523646276
Position 20165: 0.528359702622915
Position 19883: 0.24514611826049929
Position 18944: 0.1930872083709241
Position 20231: 0.11346640633907516
Position 21188: 0.10624488772069053
Position 22441: 0.07407223791740296
Position 20517: 0.043352001019281876
Position 20405: 0.030928825525686127
Position 18624: 0.029193930532993295
Position 21025: 0.02742428041210496
Position 20074: 0.027161071277894612
Position 19838: 0.01386882978714389
Position 19899: 0.010003857795862202
Position 21894: 0.009553246565059818
Position 19618: 0.009519352489254397
Position 21841: 0.0074268973916778195
Position 18957: 0.007389365256960672
Position 21153: 0.005637614769899036
Position 19312: 0.004851932935074718
Position 18850: 0.003724511650092884
Position 21952: 0.0035358524697406495
Position 18838: 0.003102011934861307
Position 20508: 0.003042708697933073
Position 21282: 0.002744655907477004
Position 21608: 0.002297585471639681
Position 18627: 0.0021923502412325366
Position 19923: 0.0019600664583665738
Position 21367: 0.001855984525815241
Position 19904: 0.0017820612540940478
Position 19661: 0.0015864631584862018
Position 20121: 0.0014126888750272926
Position 18995: 0.001162105518414201
Position 20307: 0.0007598851936374384
Position 20645: 0.0007335069854204773
Position 19459: 0.0006839551282301585
Position 20457: 0.00043375868700105263
Position 19452: 0.0003561944474407981
Position 19440: 0.00028988651958481186
Position 19694: 0.00019415240483482452
Position 18630: 0.00017352084380923183
Position 19247: 0.00015803359419424458
Position 19263: 0.00012189675730938733
Position 20376: 0.0001044537490718374
Position 19424: 6.838286534923037e-05
Position 19321: 5.3231603680194055e-05
Position 19044: 1.0902347771530583e-05
Position 19274: 7.646692772201409e-06
Position 19007: 6.790096633597681e-06
