Gene = toc
index = 1913
Annotated 5SS: [  448 19685 20772 36062 46865 50570 63793 64136 73218 73964]
Annotated 3SS: [16995 19828 35924 46720 50410 63517 63898 73021 73281 74054]
SMsplice 5SS: [  448 17993 19685 20772 36062 46865 50570 63793 64136 73218 73964]
SMsplice 3SS: [16995 19089 19828 35924 46720 50410 63517 63898 73021 73281 74054]
top_k =  100
Partition function (log Z): -80.22033454943242

Sorted 5' Splice Sites (High to Low Probability):
Position 448: 0.9697779964246597
Position 1525: 0.6858081092975296
Position 1837: 0.38580654860414704
Position 831: 0.23828699555937427
Position 1751: 0.1393207498956422
Position 5843: 0.041414059758756255
Position 860: 0.005572182747852758
Position 935: 0.0035152829367657208
Position 930: 0.0032925197823321095
Position 989: 0.0029940849367688835
Position 3: 0.0024882868669548947
Position 570: 0.001753080432166476
Position 851: 0.001524248414251163
Position 249: 0.0008942765481946478
Position 194: 0.0005919247873592364
Position 202: 0.0004819378380750653
Position 173: 0.00042014914002288384
Position 247: 0.00014503502079541808
Position 25: 0.00011659742691348794
Position 307: 0.00010244865007376072
Position 282: 9.37454479211846e-05
Position 198: 6.817745743116475e-05
Position 220: 3.127669532551856e-05
Position 188: 2.5951581006476856e-05
Position 256: 1.647073548582203e-05
Position 357: 1.2725396841310102e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 16995: 0.9999997430206456
Position 1129: 0.41119133669313407
Position 501: 0.308591813956428
Position 1596: 0.3069338911581474
Position 1622: 0.1966017319438766
Position 1283: 0.04469483334141647
Position 5583: 0.04141408477108767
Position 1064: 0.04097668156218724
Position 1081: 0.03347308227551234
Position 720: 0.02728012123724995
Position 619: 0.02276462789361559
Position 902: 0.01309187853108147
Position 987: 0.006504443095637971
Position 1023: 0.005138246561928269
Position 744: 0.003598456408974214
Position 1382: 0.0035840091742170605
Position 1225: 0.0034593499966083163
Position 1151: 0.0021450122569031524
Position 1774: 0.0019591590782213337
Position 963: 0.0018741859978661957
Position 350: 0.0014409312242818298
Position 1262: 0.0012990767967267622
Position 58: 0.0011457381446174587
Position 984: 0.0011016172521398167
Position 328: 0.0010504142430253541
Position 1179: 0.000962594233173991
Position 61: 0.0009092437016485921
Position 356: 0.0006168909049571884
Position 667: 0.0004258741546943857
Position 247: 0.00023273097331977537
Position 282: 6.137887580765996e-05
Position 183: 1.1393605811421482e-05
Position 426: 4.899531285176336e-06
Position 118: 1.486231880913139e-06
Position 256: 1.4028762380721254e-06
Position 188: 8.22914043514764e-07
Position 7391: 2.1330974822035783e-07
Position 2093: 6.295791396717483e-09
Position 2012: 1.4084228994679798e-09
Position 2226: 1.2596510963142141e-09
Position 2710: 1.0738996702741975e-09
Position 1988: 9.294861182353289e-10
Position 2350: 2.222468487896787e-10
Position 1832: 2.083215762285257e-10
Position 2265: 1.9952776173840418e-10
