Gene = heix
index = 1724
Annotated 5SS: [987]
Annotated 3SS: [1664]
SMsplice 5SS: [ 987 1457]
SMsplice 3SS: [1348 1664]
top_k =  100
Partition function (log Z): -9.636049225514322

Sorted 5' Splice Sites (High to Low Probability):
Position 987: 0.767833443532396
Position 1457: 0.5698309253423908
Position 655: 0.2007426011493266
Position 1817: 0.08442636961151266
Position 616: 0.06612692800804257
Position 1839: 0.052197749532304896
Position 3212: 0.04649472692749844
Position 1073: 0.031218916312937342
Position 2561: 0.029562444222134537
Position 1089: 0.019728256152615416
Position 624: 0.01795882294539104
Position 224: 0.00835070030318845
Position 1442: 0.007026898321589728
Position 247: 0.006387967121170708
Position 451: 0.002798877292410432
Position 460: 0.0026074034900574862
Position 1220: 0.0024959412645653247
Position 1492: 0.001877696854388196
Position 1330: 0.0013623854473007757
Position 1025: 0.001143614916554021
Position 429: 0.001053389111546891
Position 894: 0.0009681379511215775
Position 669: 0.0009267403659756761
Position 257: 0.0003273919023683741
Position 646: 0.00010754892241407075
Position 520: 9.774242199690351e-05
Position 40: 6.86813024236911e-05
Position 867: 5.33785057004297e-05
Position 34: 3.555366141197683e-05
Position 69: 3.194921869266334e-05
Position 48: 3.089316559039488e-05
Position 260: 2.258709553019035e-05
Position 29: 9.139613033381298e-06
Position 526: 1.2303194869959435e-07
Position 347: 3.0313563302646367e-08
Position 15: 2.6030132795895568e-08
Position 633: 1.9085913094786893e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1664: 0.9362125543641634
Position 1348: 0.4879807078256975
Position 744: 0.21239547532183511
Position 1896: 0.15004266272218983
Position 3292: 0.046494726927498384
Position 2641: 0.029562444222134544
Position 1542: 0.01983097197088976
Position 1153: 0.018580532177718954
Position 1384: 0.008933256671002003
Position 1328: 0.002861797356544807
Position 693: 0.0024082342785165496
Position 339: 0.0017473776756910025
Position 923: 0.0015833925623324984
Position 520: 0.001486199914884166
Position 1368: 0.0012329553177854947
Position 1356: 0.0008926108372031853
Position 818: 0.0006759930518259592
Position 772: 0.0005368100353514771
Position 116: 0.0001757860316246241
Position 589: 0.0001005671359800986
Position 798: 9.049381258698787e-05
Position 360: 7.47986473760005e-05
Position 497: 2.7057543095150356e-06
Position 376: 1.2337299498841955e-06
Position 938: 1.1038891154490525e-06
Position 556: 6.082129310518051e-07
