Gene = FRG1
index = 1161
Annotated 5SS: [130 365 628 887]
Annotated 3SS: [181 428 686 978]
SMsplice 5SS: [130 365 628 887]
SMsplice 3SS: [181 428 686 978]
top_k =  100
Partition function (log Z): 6.558893393244212

Sorted 5' Splice Sites (High to Low Probability):
Position 628: 0.9988005226020051
Position 887: 0.959619123524639
Position 365: 0.94794597889239
Position 130: 0.9444406091971296
Position 774: 0.026213863157269028
Position 310: 0.0065472663662218995
Position 371: 0.005924178637569565
Position 134: 0.005839797831291328
Position 274: 0.0046745572806530244
Position 928: 0.004493194159471474
Position 14: 0.00284098588839278
Position 107: 0.0015302156413509948
Position 891: 0.0014786474960503022
Position 278: 0.0010899220552382863
Position 326: 0.00040878332386950404
Position 30: 0.00035536137379848853
Position 240: 0.0002826848538882123
Position 870: 0.0001895297721185057
Position 1114: 0.0001594225579611837
Position 517: 0.00013935116760837793
Position 1095: 9.461416803291512e-05
Position 619: 9.12712677660877e-05
Position 632: 6.308832427687197e-05
Position 885: 5.57085353836216e-05
Position 73: 4.80045467599978e-05
Position 778: 4.128176170114257e-05
Position 805: 3.6471347076861334e-05
Position 793: 3.4327303631683034e-05
Position 25: 3.142663941739205e-05
Position 340: 3.0165891494943483e-05
Position 609: 2.4560230828413806e-05
Position 798: 2.075730442396509e-05
Position 27: 1.9790922561969275e-05
Position 18: 1.741441853278124e-05
Position 677: 1.6856489095479868e-05
Position 5: 1.4842118232299603e-05
Position 65: 6.70131796534136e-06
Position 178: 7.786824749768712e-09
Position 317: 1.5626706871109025e-09
Position 315: 1.5235247024878613e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 978: 0.987075961407462
Position 428: 0.9663855902149957
Position 181: 0.9492449901276182
Position 686: 0.9463998564018345
Position 744: 0.047624766892216494
Position 1000: 0.006665982065538576
Position 77: 0.0023107916267074615
Position 994: 0.0019468488319035135
Position 233: 0.001415303491275423
Position 185: 0.0007268358897779349
Position 516: 0.0007091342491980105
Position 200: 0.0005272613610208736
Position 773: 0.00038653372987042283
Position 845: 0.00028626347120607886
Position 1161: 0.00026556212390982246
Position 817: 0.0002614885484680984
Position 798: 0.00019992157833511101
Position 187: 0.0001819366682256275
Position 203: 0.00017806492387881036
Position 239: 0.00010865272743073593
Position 561: 9.137924921135272e-05
Position 520: 7.898008147316958e-05
Position 916: 7.323731563666075e-05
Position 1037: 5.541200300587729e-05
Position 1048: 5.453234625151995e-05
Position 839: 5.3695509696601514e-05
Position 1089: 5.364477156976964e-05
Position 209: 5.004471582277098e-05
Position 337: 4.9775602263992675e-05
Position 472: 3.8512377481570246e-05
Position 770: 3.767227668010977e-05
Position 1006: 3.516071260393641e-05
Position 1009: 1.659176668734994e-05
Position 371: 1.376317678442007e-05
Position 155: 8.299961944274466e-06
Position 100: 5.286897458302119e-06
Position 116: 3.5538896664713166e-06
Position 130: 2.2088061602780946e-10
Position 121: 3.3128152387941645e-11
