Gene = ninaA
index = 1817
Annotated 5SS: [570]
Annotated 3SS: [667]
SMsplice 5SS: [570]
SMsplice 3SS: [667]
top_k =  100
Partition function (log Z): -4.247304180596649

Sorted 5' Splice Sites (High to Low Probability):
Position 570: 0.9963782638445208
Position 48: 0.0216384982556211
Position 28: 0.004042589208052415
Position 21: 0.002845388441551674
Position 26: 0.0016323537532608639
Position 531: 0.001612299641426976
Position 177: 0.0006959012900757359
Position 795: 0.0004010115031168619
Position 601: 0.000338885947822113
Position 15: 0.00030054613612774916
Position 52: 0.00029528097028448826
Position 574: 0.00022625924729863646
Position 43: 0.00021742816076386336
Position 424: 0.0001622286325417341
Position 156: 6.377795602959567e-05
Position 200: 3.931654783162763e-05
Position 405: 3.5986163363116184e-05
Position 333: 2.977462871621091e-05
Position 4: 2.9101578579579884e-05
Position 297: 2.116897874922512e-05
Position 497: 1.7924223578618042e-05
Position 276: 1.618284280271011e-05
Position 9: 1.5901526492708733e-05
Position 118: 1.3467878102719848e-05
Position 862: 1.2641509075520365e-05
Position 300: 1.2290533284558783e-05
Position 225: 1.1626785776782338e-05
Position 486: 1.0292506175410086e-05
Position 803: 9.31172875568182e-06
Position 519: 9.196672769543359e-06
Position 137: 3.577587147860218e-06
Position 633: 2.163865639916963e-06
Position 65: 4.0160146284491156e-07
Position 132: 1.024213161075774e-09
Position 477: 3.0502589927332314e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 667: 0.9982059686158746
Position 94: 0.030746677121390918
Position 628: 0.0013539662896977825
Position 853: 0.00045993596632631873
Position 115: 0.0001892518177704357
Position 321: 5.3634810646851344e-05
Position 617: 4.237097843869569e-05
Position 637: 2.1240480019444427e-05
Position 742: 1.4976672454579925e-05
Position 361: 1.1419591373382759e-05
Position 907: 1.1146616041014431e-05
Position 497: 4.72182036103093e-06
Position 913: 3.8432175253411136e-06
Position 470: 3.592330592096117e-06
Position 395: 2.9670548668910777e-06
Position 810: 2.2835113439757887e-06
Position 184: 2.255794018819195e-06
Position 209: 2.0622133583743597e-06
Position 530: 2.0045574725205917e-06
Position 872: 1.7127212646664415e-06
Position 221: 1.2958528349707446e-06
Position 65: 1.2035977095397667e-06
Position 271: 9.794346327672847e-07
Position 916: 9.21949267350388e-07
Position 173: 6.077806263764794e-07
Position 161: 6.801289580307523e-10
