Gene = drpr
index = 1677
Annotated 5SS: [  583  7116  7338  7528 11185 12402 13161 13729 14105 14311 14433]
Annotated 3SS: [ 6881  7173  7401 10937 11361 12953 13227 13798 14163 14399 14550]
SMsplice 5SS: [  583  7116  7338  7528 13161 13729 14105 14311]
SMsplice 3SS: [ 6881  7173  7401 12789 13227 13798 14163 14550]
top_k =  100
Partition function (log Z): 12.96641177813862

Sorted 5' Splice Sites (High to Low Probability):
Position 7116: 0.9990672575438425
Position 14105: 0.9988667907050378
Position 7338: 0.9960459176277822
Position 13729: 0.9592802259322637
Position 14311: 0.9541341821232372
Position 11185: 0.8910014258320722
Position 13161: 0.8910014258320719
Position 583: 0.8789311333293577
Position 7528: 0.37977291134071295
Position 7462: 0.3367323401632299
Position 14881: 0.19880785818342614
Position 14903: 0.1587481180398863
Position 8395: 0.1107794947123049
Position 7490: 0.10871542098446546
Position 31: 0.1032659453244944
Position 14804: 0.07198583109628427
Position 7552: 0.06442070452605188
Position 14836: 0.0416347062859798
Position 14433: 0.03562623080186819
Position 14899: 0.03357075597624768
Position 13513: 0.028885061859380393
Position 15094: 0.027363557265214097
Position 372: 0.017837052362766986
Position 15309: 0.016305355528615454
Position 13886: 0.0066602866553471555
Position 13705: 0.0038175400527818088
Position 14872: 0.003414029084320426
Position 13560: 0.002735629144551615
Position 7322: 0.002441195799952733
Position 13494: 0.0021647051953204485
Position 7332: 0.001140115110475345
Position 7054: 0.0006510912037281917
Position 14344: 0.00032133862890569066
Position 7024: 0.00025331449747919535
Position 7317: 0.00017385588534597068
Position 14133: 0.0001468456046131204
Position 7234: 8.643645787223436e-05
Position 14471: 4.6223884333946635e-05
Position 7335: 4.4834570771317645e-05
Position 14461: 4.4482519995841334e-05
Position 14833: 4.0149123562036096e-05
Position 7761: 3.518013408282632e-05
Position 8165: 3.4309814660591915e-05
Position 7342: 3.354320538528349e-05
Position 1835: 3.0148425152887027e-05
Position 7255: 1.7330454267364686e-05
Position 7501: 1.1322070658313394e-05
Position 243: 1.0351415353901993e-05
Position 7351: 5.607310080152384e-06
Position 7359: 5.1635974511481056e-06
Position 2345: 5.073613456409503e-06
Position 7972: 4.327971976909499e-06
Position 263: 4.298866663980477e-06
Position 7679: 3.507460061944292e-06
Position 211: 2.8528033606035173e-06
Position 7484: 2.5205902418585417e-06
Position 7693: 2.4639556289062283e-06
Position 7723: 2.127584710580344e-06
Position 7286: 2.045889918956757e-06
Position 7789: 1.6237734347753494e-06
Position 425: 1.2991383256211307e-06
Position 224: 1.1744365753267812e-06
Position 380: 7.832968211811839e-07
Position 123: 2.3894554972067094e-07
Position 35: 1.623431172260602e-07
Position 7283: 1.308629126811515e-07
Position 215: 9.520059485043718e-08
Position 237: 6.48654344002871e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 7401: 0.9999999962623448
Position 13227: 0.9979901461560324
Position 13798: 0.9966615926848589
Position 14163: 0.9939102248385636
Position 7173: 0.9780595852520757
Position 6881: 0.9051817919588745
Position 11361: 0.8910014258320719
Position 14550: 0.7628170089142384
Position 10722: 0.6276023350098432
Position 10937: 0.2633990908222292
Position 14959: 0.19198111457658348
Position 15006: 0.18842214256286355
Position 15058: 0.08004999518307757
Position 15146: 0.07992855492847536
Position 15216: 0.06780231502490841
Position 14584: 0.06259362413987542
Position 6653: 0.06022225185475591
Position 14879: 0.029382734537538473
Position 14513: 0.02548975552392486
Position 6942: 0.021493758250174296
Position 15366: 0.01630535552861546
Position 14464: 0.013146936012485183
Position 6993: 0.013102197936197983
Position 14995: 0.010991379819820287
Position 7184: 0.009659143484080911
Position 7216: 0.00697866846221323
Position 7199: 0.005270436966639522
Position 13949: 0.005086860680283092
Position 14594: 0.0033120661243914644
Position 14597: 0.003240708353538191
Position 14207: 0.00304920816319123
Position 14412: 0.0029072387829302253
Position 13995: 0.0027968944728271683
Position 15342: 0.0024707866410598168
Position 14170: 0.0016409665573785025
Position 14642: 0.001177483567264521
Position 13864: 0.0010079548456437292
Position 14259: 0.00028185224117146574
Position 8049: 0.0002297004303831853
Position 8238: 0.0001738883718100018
Position 14147: 0.0001313611050351446
Position 8080: 6.278031463819464e-05
Position 7859: 3.4762339173372416e-05
Position 308: 2.8737579064362717e-05
Position 14399: 1.8293255194221683e-05
Position 7606: 1.3994671642182593e-05
Position 429: 1.0831387711917144e-05
Position 1424: 9.976987322730675e-06
Position 1025: 7.67224048589987e-06
Position 282: 6.308714264497309e-06
Position 1680: 5.7698974463314235e-06
Position 14416: 5.325065089810495e-06
Position 2048: 5.073613456409505e-06
Position 1353: 3.281579951958644e-06
Position 465: 3.0401147556604568e-06
Position 1531: 2.3873702546713804e-06
Position 284: 1.6150420840485163e-06
Position 409: 1.5393195877104699e-06
Position 481: 1.4562722880757321e-06
Position 313: 1.1563901075481488e-06
Position 7589: 1.121452270684014e-06
Position 8023: 1.034712017908547e-06
Position 1404: 1.0256443519318042e-06
Position 7881: 9.727902860369312e-07
Position 542: 8.022138883552556e-07
Position 14261: 2.340431341009221e-08
Position 7300: 6.001388976901412e-09
Position 7457: 3.2673880988497223e-09
Position 7422: 3.2113296337043055e-10
