Gene = Dhc62B
index = 1133
Annotated 5SS: [ 2177  2427  5158  5531  5833  6978 10818 11201]
Annotated 3SS: [ 2245  2487  5215  5589  5888  7039 10880 11269]
SMsplice 5SS: [  357  2177  2427  5158  5531  5833  9480 10818 11201]
SMsplice 3SS: [ 2033  2245  2487  5215  5589  9262  9601 10880 11269]
top_k =  100
Partition function (log Z): 2.9447485720839133

Sorted 5' Splice Sites (High to Low Probability):
Position 2427: 0.9999329566320675
Position 11201: 0.9986458850344563
Position 2177: 0.9928252804541716
Position 5158: 0.9629162076098949
Position 5531: 0.8659952529971069
Position 5833: 0.7261623638950242
Position 6978: 0.5375464891712854
Position 6157: 0.46997216529051106
Position 357: 0.32980003100976996
Position 161: 0.16396129054509923
Position 7157: 0.08027905518939643
Position 846: 0.07239828884027293
Position 1323: 0.07151443278255808
Position 2967: 0.05467874357514582
Position 270: 0.04299608067354204
Position 1194: 0.042214028723810436
Position 891: 0.03964257941301035
Position 821: 0.032178159140146996
Position 6055: 0.03212320455836113
Position 5154: 0.031003264130337972
Position 5348: 0.024780653429497968
Position 604: 0.021185509357000937
Position 1220: 0.015782466260043183
Position 216: 0.014864540980765652
Position 3238: 0.010201640109764912
Position 1230: 0.009359353903322643
Position 3574: 0.004645739707438178
Position 2956: 0.00423391066395223
Position 1161: 0.004075470867031488
Position 2147: 0.003909883617927295
Position 5776: 0.00299974104664687
Position 3016: 0.002398500934388999
Position 787: 0.0022722179835149847
Position 11666: 0.001994353713923644
Position 440: 0.0017733530632743576
Position 5839: 0.0014391571688454306
Position 5498: 0.0012305336771637266
Position 1073: 0.0010417068495499197
Position 11891: 0.0008523498233700901
Position 504: 0.0008246551027909333
Position 3863: 0.0005964042127477885
Position 2964: 0.00045810586677577094
Position 6965: 0.00017670381850683426
Position 1016: 0.00010555379534561006
Position 5811: 1.9580265337085266e-05
Position 1070: 1.486248454557488e-05
Position 872: 1.4521007179462944e-05
Position 863: 1.077498879155003e-05
Position 2369: 4.565509558246364e-06
Position 1025: 4.177834976798722e-06
Position 2412: 3.924516766649222e-06
Position 2603: 3.3456564764627854e-06
Position 809: 2.457926654251853e-06
Position 453: 2.1902520301604025e-06
Position 2379: 2.060261504009793e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 10880: 0.9999128830163054
Position 2487: 0.9991158635570426
Position 11269: 0.9817565416448989
Position 5215: 0.9777929780413434
Position 2245: 0.9587727150045404
Position 5589: 0.7781199336285791
Position 2033: 0.6403823468972738
Position 5888: 0.3360820135231145
Position 5952: 0.24639749141194223
Position 6571: 0.2386765581574501
Position 1319: 0.1368167223405161
Position 7039: 0.08036425824305111
Position 3060: 0.05520506312256114
Position 5595: 0.0433238752335746
Position 1379: 0.03964220445814779
Position 2264: 0.037499956351803386
Position 5237: 0.02143814487267631
Position 1137: 0.020670687721511642
Position 1886: 0.01458203592560911
Position 6257: 0.010180339130122687
Position 11325: 0.008263090684451121
Position 5990: 0.00680799772527503
Position 3322: 0.0059479815207958316
Position 1883: 0.00576074056983738
Position 3633: 0.004645739707438178
Position 11284: 0.0042620684203304535
Position 3459: 0.004130626655522135
Position 11329: 0.003954766176141225
Position 1274: 0.003396882861861291
Position 3573: 0.0026988405286985677
Position 890: 0.0025903957758377167
Position 12070: 0.001994353713923644
Position 5618: 0.0013893754337804514
Position 503: 0.0012797446038678806
Position 11959: 0.0008523498233700901
Position 5745: 0.000806162045012219
Position 5445: 0.0006444326941372862
Position 2208: 0.0005816634065112611
Position 2315: 0.0004675340426471325
Position 11433: 0.00040941810863478974
Position 2196: 0.00019915192387370047
Position 1087: 0.00012237360443438788
Position 2677: 3.6662229470304414e-05
Position 2730: 3.191055314626145e-05
Position 5873: 1.9580265337085266e-05
Position 3114: 1.473064777713431e-05
Position 3021: 1.2380057872122176e-05
Position 2556: 6.081778371203233e-06
Position 2787: 5.52763629723406e-06
Position 2744: 3.5111877706579856e-06
