Gene = Uggt
index = 1583
Annotated 5SS: [432]
Annotated 3SS: [614]
SMsplice 5SS: [432 800]
SMsplice 3SS: [ 614 4828]
top_k =  100
Partition function (log Z): -9.294000124088564

Sorted 5' Splice Sites (High to Low Probability):
Position 432: 0.7394018688278575
Position 800: 0.6698364959409214
Position 665: 0.1657349528014211
Position 515: 0.10094153908817262
Position 109: 0.03784901589416997
Position 490: 0.0345626137431551
Position 166: 0.03154100629227827
Position 561: 0.014788256543122553
Position 521: 0.010797831143321323
Position 398: 0.009428813715382265
Position 102: 0.008496967898043491
Position 416: 0.007578125905104185
Position 161: 0.003590383681932356
Position 406: 0.003110437759721482
Position 225: 0.00229297649130146
Position 1466: 0.001964930822257983
Position 223: 0.0017839789207248647
Position 229: 0.0008878519378300669
Position 446: 0.0008338329399935368
Position 436: 0.0004348571636374994
Position 349: 0.0002796053466218693
Position 155: 0.0002783080949926771
Position 173: 0.0002647100239256537
Position 31: 0.00023298704047277694
Position 4: 0.00021539547724452277
Position 170: 0.00014121027092056526
Position 276: 0.00011843602581574542
Position 194: 0.00011338316038083693
Position 438: 9.005905011704676e-05
Position 579: 6.455197529859514e-05
Position 184: 1.7632204814059897e-05
Position 205: 1.0240413210254377e-05
Position 233: 7.174375252935753e-06
Position 138: 7.12831758734137e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 614: 0.9803534449601449
Position 4828: 0.5168924138985518
Position 3406: 0.15024895332579677
Position 5152: 0.08403351337672504
Position 3954: 0.019815154161855347
Position 577: 0.019048703617660145
Position 1985: 0.016047753618394507
Position 3411: 0.0071255432009980245
Position 897: 0.0070383872902531315
Position 3268: 0.006855375958354161
Position 3438: 0.006794689507967374
Position 245: 0.006097202398979218
Position 921: 0.005105495784459859
Position 799: 0.004018222373673059
Position 1517: 0.003002679775487214
Position 155: 0.0027582373882041222
Position 714: 0.002106099791643467
Position 745: 0.0014847971123550028
Position 1422: 0.0011204464348507628
Position 1759: 0.0010882907242975772
Position 276: 0.0010786468530076013
Position 1925: 0.0009988732274984083
Position 1003: 0.0008343896902442827
Position 1213: 0.0007281509028677436
Position 1198: 0.000710702795718243
Position 733: 0.0006513924599460977
Position 693: 0.0005742765681783322
Position 865: 0.0004783366478720847
Position 1007: 0.0003567175047888628
Position 280: 0.00017115891874149727
Position 194: 6.253864165242901e-05
Position 551: 9.503153540503107e-06
Position 631: 6.690855251336512e-06
Position 515: 7.730117349622918e-07
Position 322: 3.3553063439858057e-09
