Gene = Scox
index = 1476
Annotated 5SS: [504]
Annotated 3SS: [566]
SMsplice 5SS: [504]
SMsplice 3SS: [566]
top_k =  100
Partition function (log Z): -1.7556197905470206

Sorted 5' Splice Sites (High to Low Probability):
Position 504: 0.9973890039679041
Position 105: 0.1709695053985186
Position 76: 0.015797481786118797
Position 134: 0.0032197997733484996
Position 653: 0.002057400077031219
Position 500: 0.0012782847098279035
Position 508: 0.0011465962464737667
Position 638: 0.0005793744008259379
Position 280: 0.00043999990237248826
Position 321: 0.0002585611134446711
Position 973: 0.00017171892156523532
Position 10: 8.482491284629877e-05
Position 820: 7.597241717618566e-05
Position 624: 3.9900114169294625e-05
Position 949: 3.358511949060641e-05
Position 990: 3.2428043632969866e-05
Position 859: 2.7067773228162437e-05
Position 957: 2.3872746329572634e-05
Position 144: 1.8967536714981577e-05
Position 147: 1.3249445669060173e-05
Position 1003: 1.1512035678807704e-05
Position 213: 1.1050056531687534e-05
Position 284: 1.0003151919680473e-05
Position 174: 7.651431769251466e-06
Position 357: 4.491933337285641e-06
Position 491: 2.4011533780687752e-08
Position 695: 8.43319066557268e-09
Position 641: 5.851002049492835e-09
Position 661: 5.705691211821956e-09
Position 368: 2.6523053278997305e-09
Position 488: 2.5486166460679957e-09
Position 415: 1.5721710506247435e-09
Position 266: 8.126796135562533e-10
Position 112: 6.83369990508516e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 566: 0.9986550041352712
Position 194: 0.18197784453255506
Position 134: 0.004277537069867839
Position 741: 0.0024983598098810237
Position 206: 0.0016545575630895328
Position 231: 0.0008366381595876366
Position 379: 0.0008159252999032701
Position 713: 0.0005210788097106003
Position 228: 0.0004888188828543327
Position 163: 0.0004290604917801394
Position 571: 0.0004113528651200446
Position 590: 0.00019001081450801974
Position 587: 0.0001549693357609433
Position 1053: 0.00013849283100578102
Position 729: 0.00011661979764668147
Position 1059: 0.00010423394309939443
Position 141: 8.316555169179025e-05
Position 887: 7.597241717618566e-05
Position 1012: 5.7457865820179104e-05
Position 410: 4.815099979757637e-05
Position 620: 3.675159478255328e-05
Position 289: 3.655251362569212e-05
Position 211: 2.7432145096377517e-05
Position 69: 2.501561264076796e-05
Position 66: 2.1234437876331602e-05
Position 344: 1.2356911693714504e-05
Position 357: 6.666218422993784e-06
Position 473: 1.0824887670346142e-06
Position 81: 1.2187452207001687e-08
