Gene = ND-B17.2
index = 1301
Annotated 5SS: [ 33 313 554 690]
Annotated 3SS: [101 375 604 745]
SMsplice 5SS: [158 313 554 690]
SMsplice 3SS: [216 375 604 745]
top_k =  100
Partition function (log Z): 16.176958356549193

Sorted 5' Splice Sites (High to Low Probability):
Position 313: 0.9997109425682774
Position 690: 0.9979020420612452
Position 554: 0.9761501585953979
Position 158: 0.9084493418917741
Position 33: 0.397972323215334
Position 532: 0.023350368066170128
Position 37: 0.0024949020993815085
Position 4: 0.0010291501556979074
Position 529: 0.0001527025650553284
Position 558: 0.0001006813298451113
Position 317: 5.710491408976851e-05
Position 643: 4.663926127908821e-05
Position 418: 2.8790938775042373e-05
Position 813: 2.663246212003552e-05
Position 649: 2.272271639447027e-05
Position 151: 1.941347490926764e-05
Position 105: 1.640558438246307e-05
Position 295: 1.601537727868892e-05
Position 850: 1.4355539597918413e-05
Position 714: 1.1690250221188084e-05
Position 887: 8.237850678177967e-06
Position 781: 7.617869347021557e-06
Position 145: 5.338096516396549e-06
Position 162: 3.9317311835445805e-06
Position 430: 2.789384222184333e-06
Position 92: 2.4524609717858088e-06
Position 404: 1.9969234933751177e-06
Position 491: 1.6394180206939638e-06
Position 816: 1.44418482211087e-06
Position 52: 1.1903622910621197e-06
Position 478: 8.521952899274724e-07
Position 445: 8.421089184198392e-07
Position 266: 2.730635020051743e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 604: 0.9997543784514039
Position 375: 0.9996449460094097
Position 745: 0.9980105182190674
Position 216: 0.9109442057090102
Position 92: 0.23357157481901408
Position 101: 0.16386230553954284
Position 71: 0.0005228886058046575
Position 158: 0.00044511874300936827
Position 135: 0.00033850024029229007
Position 226: 0.00015329120183646777
Position 391: 0.00014059468497771885
Position 262: 0.00010594492025482166
Position 923: 3.8171206709726055e-05
Position 934: 2.0840071320281736e-05
Position 850: 1.8682605201080245e-05
Position 781: 1.6401493525683355e-05
Position 253: 7.605381762152529e-06
Position 430: 5.704229768835212e-06
Position 643: 2.7457592213362698e-06
Position 944: 2.4565525407830334e-06
Position 688: 1.0720353559029326e-06
Position 418: 1.060740639907506e-06
Position 714: 9.33301608185955e-07
Position 168: 5.78043067348139e-07
Position 666: 1.9414192855282425e-07
Position 275: 9.921944578074204e-08
Position 281: 8.895414937788033e-08
Position 304: 8.783661403965752e-08
