Gene = IRSp53
index = 1223
Annotated 5SS: [  240 15509 22166 22377 22518 22778 22937 23515 23933 24678 24884]
Annotated 3SS: [14823 22089 22292 22455 22579 22870 23247 23709 23997 24731 25422]
SMsplice 5SS: [  240 15509 22166 22377 22518 22778 22937 23515 23933 24678 24884 27440]
SMsplice 3SS: [14823 22089 22292 22455 22579 22870 23179 23709 23997 24731 27366 27505]
top_k =  100
Partition function (log Z): 30.415257617542565

Sorted 5' Splice Sites (High to Low Probability):
Position 22778: 0.9999405288006044
Position 24884: 0.999556202395711
Position 24678: 0.9980049285509638
Position 240: 0.9975733091334635
Position 23933: 0.9947508180904372
Position 22166: 0.9856206544020436
Position 22377: 0.977867951563526
Position 23515: 0.937828369926873
Position 22518: 0.9261408553838539
Position 15509: 0.9099080185860569
Position 27440: 0.8145531392210282
Position 22937: 0.5669210072258549
Position 23344: 0.10052627443195407
Position 23051: 0.0446438326965124
Position 27176: 0.041825130607320564
Position 3199: 0.023199459279357695
Position 23092: 0.01092330895530521
Position 23007: 0.0059116914453614024
Position 22522: 0.0041345153224142785
Position 23911: 0.003432142434610014
Position 24178: 0.003302995864135489
Position 22210: 0.002937115880129304
Position 155: 0.0015428110453947596
Position 23060: 0.0013560588754203894
Position 2018: 0.000883879821130905
Position 23271: 0.0006966177598258345
Position 22532: 0.0006513705605451897
Position 22995: 0.0005775360188451618
Position 23111: 0.0005160939887721238
Position 27866: 0.0003890484271996974
Position 27609: 0.00029611759392810324
Position 27846: 0.0002936394105906757
Position 22400: 0.00023319806881213934
Position 24888: 0.00020244333986903294
Position 24147: 0.00016763834228356782
Position 23843: 0.00015654168992264457
Position 24639: 0.00014615564662803885
Position 22381: 0.00012685236622998698
Position 23320: 0.00010735856777624424
Position 22482: 8.525510614539378e-05
Position 24246: 3.288623850528026e-05
Position 23136: 1.973294111841729e-05
Position 22476: 1.699769610182899e-05
Position 22782: 1.3451590852839134e-05
Position 22456: 8.375169026800762e-06
Position 24072: 8.192502204871371e-06
Position 24627: 7.880109738711207e-06
Position 22685: 6.058118448660367e-06
Position 24334: 3.7843361663052813e-06
Position 22643: 1.1467499506302974e-06
Position 23795: 1.786181717657385e-07
Position 22666: 1.0531216536147924e-07
Position 22646: 9.4760954006466e-08
Position 22712: 2.1369749929855728e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 24731: 0.9994084807264091
Position 22089: 0.9993925797522212
Position 23997: 0.9971846585706752
Position 22870: 0.9966207075639416
Position 23709: 0.9917233091590356
Position 27505: 0.9917026396827121
Position 22579: 0.9908659569000684
Position 22292: 0.9871504807452536
Position 14823: 0.9099080185860569
Position 22455: 0.8979776460407978
Position 23179: 0.5345134958170625
Position 27366: 0.31608801479264004
Position 27096: 0.19383784516022118
Position 27267: 0.13098069014991687
Position 27334: 0.12696474686767495
Position 27337: 0.06633938277442941
Position 23247: 0.052821967891997376
Position 27437: 0.0259680188073355
Position 3045: 0.022512631336049575
Position 23429: 0.020775380208552494
Position 22461: 0.02050800375826812
Position 23465: 0.019235657126560148
Position 23259: 0.010533537937633137
Position 23462: 0.008307347554472776
Position 23121: 0.007880558590515367
Position 23721: 0.0054134963558376435
Position 23007: 0.00412231072086113
Position 23394: 0.0032031801567892837
Position 23420: 0.0028202102285494355
Position 23136: 0.0027425271358386574
Position 26977: 0.002502021170523498
Position 23435: 0.002366259283756411
Position 23745: 0.002158251374925325
Position 23152: 0.0012731853834667018
Position 23468: 0.0012631386774695189
Position 22988: 0.000992565786625506
Position 22245: 0.0009657466456742118
Position 24566: 0.0007134946518127964
Position 2803: 0.0006868279433080419
Position 27914: 0.0006826878377903732
Position 24011: 0.0006578611758106859
Position 23163: 0.0006540627380468957
Position 24415: 0.0005694652614463065
Position 27780: 0.0005670711145645432
Position 22325: 0.0005390744265853225
Position 23640: 0.0004420973856351139
Position 25422: 0.0004074896566227051
Position 24050: 0.0003916732630984685
Position 24243: 0.00037063172182747644
Position 24592: 0.00033445123763894833
Position 25193: 0.0003155457772754485
Position 24793: 0.00028744666453563443
Position 25002: 0.0002328683603841896
Position 24982: 0.00021380674649599559
Position 24026: 0.00018179224023274343
Position 22586: 0.00015884789600391803
Position 25096: 0.00010250960185246446
Position 24948: 8.527711359745461e-05
Position 22490: 8.039545606182739e-05
Position 25834: 5.7753240544724724e-05
Position 25506: 5.772923943113343e-05
Position 22618: 3.0078907363771045e-05
Position 22532: 3.0071423661283607e-05
Position 22551: 2.9655051844646096e-05
Position 22678: 2.714835113653492e-05
Position 24197: 2.523273975739726e-05
Position 22642: 1.9837732654068863e-05
Position 22633: 1.62447523136515e-05
Position 22651: 1.1294745088248994e-05
Position 22548: 9.973928303146188e-06
Position 25028: 9.62290163483888e-06
Position 22825: 5.848186125595223e-06
Position 22897: 5.089526435238679e-06
Position 22894: 4.5012490534941134e-06
Position 23051: 3.385172328085141e-06
Position 23054: 3.3594467677119904e-06
Position 22499: 2.7499657533689554e-06
Position 24733: 6.211850712877183e-08
Position 22924: 5.5982616324516344e-08
Position 24740: 2.4371460422303898e-08
Position 22903: 9.635819473564497e-09
Position 24776: 6.875058093590309e-09
Position 22888: 5.65793230377348e-09
Position 24790: 3.4469630046664236e-09
