Gene = dre4
index = 1676
Annotated 5SS: [ 203  661 1026 2272 3196 3513 3731 3959]
Annotated 3SS: [ 396  725 1093 2328 3249 3576 3841 4394]
SMsplice 5SS: [ 203  661 1026 2272 3196 3513 3731 3959]
SMsplice 3SS: [ 396  725 1093 2328 3249 3576 3841 4394]
top_k =  100
Partition function (log Z): 20.20541538015997

Sorted 5' Splice Sites (High to Low Probability):
Position 3513: 0.9996657263490686
Position 3196: 0.9966927188068756
Position 1026: 0.992739656845358
Position 3731: 0.9874623413949666
Position 2272: 0.9725393479014723
Position 661: 0.9350633261515686
Position 203: 0.5759166228027529
Position 3959: 0.5085106055640675
Position 339: 0.4049752075812262
Position 4337: 0.15653256951421898
Position 1379: 0.12524652044761864
Position 2080: 0.06473024313250765
Position 2940: 0.017089495852020284
Position 314: 0.012147923071313115
Position 3058: 0.008979283967782152
Position 1688: 0.006687200024103187
Position 4013: 0.004017196700389028
Position 2508: 0.0036830776045884838
Position 311: 0.00329300526286275
Position 2276: 0.002815887002770223
Position 3880: 0.0024337657691921974
Position 626: 0.002240113874451685
Position 2624: 0.0019180428853483246
Position 983: 0.001708253650339464
Position 1269: 0.0016389727661486916
Position 285: 0.0011988103692296527
Position 1479: 0.0009323028984400358
Position 3926: 0.0008820918848883216
Position 266: 0.0007689116567265371
Position 869: 0.0007648869128501592
Position 3772: 0.00043857102762958673
Position 649: 0.0003645978981771828
Position 219: 0.0003355166109271293
Position 207: 0.0003057657505391296
Position 3759: 0.00028826430627419827
Position 4066: 0.00026301714388906683
Position 3893: 0.0002281979337191885
Position 543: 0.00021877637403071635
Position 1337: 0.00021090761578045896
Position 4128: 0.0001729008318393622
Position 561: 0.0001621789136947031
Position 163: 0.0001588583806653276
Position 541: 0.00013367353172660776
Position 962: 0.00012472693372505363
Position 477: 0.00010325195211587265
Position 4530: 9.773613916459666e-05
Position 342: 8.387804454259697e-05
Position 4588: 8.32703740641508e-05
Position 665: 7.792923493730254e-05
Position 4539: 6.656909289414164e-05
Position 3718: 6.613261312104773e-05
Position 3475: 6.143684769113575e-05
Position 2844: 5.503018541606255e-05
Position 4680: 4.8024211909931964e-05
Position 2894: 3.98215743179292e-05
Position 2915: 3.7111021113042444e-05
Position 460: 2.0737624126487672e-05
Position 211: 1.872379807457443e-05
Position 830: 1.7407939844702116e-05
Position 114: 1.6294726616744197e-05
Position 167: 1.6078027718956722e-05
Position 232: 1.4799324162154034e-05
Position 176: 1.2951224541450854e-05
Position 454: 8.076340106683468e-06
Position 3457: 5.801205130598194e-06
Position 99: 4.817766730371988e-06
Position 234: 3.986637458205304e-06
Position 863: 3.7620370369740877e-06
Position 2270: 3.0906433360891733e-06
Position 926: 2.855867213195823e-06
Position 3614: 1.2700525436025227e-06
Position 559: 8.119294431754443e-07
Position 879: 7.652795755445561e-07
Position 4061: 5.604356436405537e-08
Position 78: 8.915849947223682e-09
Position 913: 4.311245938889737e-09
Position 801: 2.821592294050039e-09
Position 27: 9.919581515312302e-10
Position 146: 5.578125624944385e-10
Position 136: 1.2349917545229517e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3576: 0.9993624869559459
Position 3249: 0.997647876980844
Position 1093: 0.9975349913011253
Position 396: 0.9922469355408793
Position 4394: 0.9649194422172552
Position 2328: 0.9420189688742049
Position 725: 0.9010267202131167
Position 3841: 0.6620075168571817
Position 2143: 0.08756175453381383
Position 1762: 0.06863130689469071
Position 3121: 0.034053039210164344
Position 4256: 0.030712076057850694
Position 722: 0.023451072123740584
Position 2340: 0.01616990733111393
Position 2353: 0.008667726588926675
Position 1706: 0.008429911764926782
Position 1732: 0.005375604010672206
Position 1426: 0.005112666894527162
Position 1447: 0.004534075626741348
Position 2155: 0.004408942803808145
Position 1839: 0.0038019006716462442
Position 2571: 0.0034920478184347994
Position 785: 0.0031001505813936596
Position 249: 0.00309178304904791
Position 333: 0.0028544582388601984
Position 1634: 0.002476122115888452
Position 2500: 0.002373387481691874
Position 683: 0.0021274701954723135
Position 1097: 0.0020831623699252896
Position 3786: 0.0019409290648683632
Position 2710: 0.0018147383535847294
Position 1567: 0.0015569854502955661
Position 755: 0.0015197911758386244
Position 1503: 0.0011978520348471331
Position 3880: 0.001033437529015386
