Gene = Cand1
index = 1052
Annotated 5SS: [ 245  694 1042 1286 2705 3997 4206]
Annotated 3SS: [ 309  751 1122 1345 2768 4058 4269]
SMsplice 5SS: [ 245  694 1042 1286 1496 2705 3997 4206]
SMsplice 3SS: [ 309  751 1122 1345 2182 2768 4058 4269]
top_k =  100
Partition function (log Z): 29.014567879025822

Sorted 5' Splice Sites (High to Low Probability):
Position 1042: 0.9998225579809453
Position 4206: 0.998032277138602
Position 1286: 0.9971697943637892
Position 2705: 0.9954709119992359
Position 694: 0.9949619261942648
Position 3997: 0.9943431745850343
Position 245: 0.9801176099885535
Position 1496: 0.5530235943325936
Position 2096: 0.1314286242138068
Position 92: 0.05398207659391945
Position 1447: 0.052369427101875234
Position 1712: 0.04643863087248811
Position 2090: 0.025014928054493662
Position 3639: 0.017658703545710405
Position 2327: 0.01395907720005851
Position 249: 0.010159323193492328
Position 1458: 0.007670756423425487
Position 4383: 0.006601001545890382
Position 4366: 0.005634533870504621
Position 3987: 0.0037561629578682526
Position 1608: 0.003289656471902275
Position 2709: 0.003256809148580392
Position 3540: 0.002607218038482142
Position 3088: 0.0024484943908825154
Position 1719: 0.0019713795176533634
Position 502: 0.001883358331960045
Position 3049: 0.0018765012946789174
Position 4210: 0.001464538752823207
Position 3261: 0.001304040147920907
Position 4001: 0.0012930647403815083
Position 104: 0.001129735780084468
Position 4462: 0.0009396446048716334
Position 4413: 0.0008067312329991884
Position 517: 0.0005874138303317471
Position 2928: 0.00042783549865164043
Position 3003: 0.00039210885977002753
Position 1293: 0.00031723096137894894
Position 15: 0.00028464867919537624
Position 4396: 0.0002829790845613266
Position 2923: 0.0002781373864048004
Position 412: 0.0002622272148746899
Position 415: 0.00024202277966707788
Position 51: 0.0002274749556883404
Position 649: 0.00020819642597907033
Position 205: 0.00019884061644263515
Position 604: 0.00017251725656913499
Position 698: 0.00017113418404156712
Position 2684: 0.00014050132905379196
Position 4446: 6.607655096934387e-05
Position 1064: 5.146354197102801e-05
Position 587: 4.651994920401955e-05
Position 214: 4.413199713316539e-05
Position 4106: 2.3047349602252493e-05
Position 457: 2.2779038724247377e-05
Position 183: 1.708708050462509e-05
Position 1046: 1.4378014840658472e-05
Position 3944: 1.2944524597057387e-05
Position 1465: 1.1512742014399261e-05
Position 3747: 1.044496008382586e-05
Position 162: 9.90676612144129e-06
Position 954: 8.27343755517939e-06
Position 1024: 3.647876693885654e-06
Position 4132: 1.0745448196562302e-06
Position 2439: 1.0437908062271274e-06
Position 5: 9.660858391523257e-07
Position 897: 5.295958733581753e-07
Position 1244: 1.8982305587784264e-07
Position 1216: 9.466367823519337e-08
Position 1221: 3.1015700807931374e-08
Position 2543: 6.913352122746439e-09
Position 3675: 2.082206267997629e-10
Position 3910: 1.7845281645160544e-10
Position 2887: 1.256635562723807e-10
Position 540: 4.961228960951291e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2768: 0.9997539567480345
Position 4058: 0.9960149419759429
Position 309: 0.9930343803892729
Position 4269: 0.9929899252192017
Position 1345: 0.9565381420743186
Position 751: 0.9340533335885631
Position 1122: 0.8560600157215094
Position 2182: 0.7214185331443607
Position 1093: 0.13410368762463906
Position 837: 0.054530527556973345
Position 162: 0.05278040104385913
Position 1546: 0.04896778113340653
Position 1850: 0.04665067971934129
Position 1328: 0.021793926591766734
Position 2387: 0.013958845636752613
Position 2161: 0.013481160309272756
Position 3860: 0.010411544230743863
Position 1129: 0.009680895685421421
Position 3887: 0.006932879437895756
Position 754: 0.006521428422948584
Position 4514: 0.006115226375635582
Position 4482: 0.0047651057017886675
Position 4438: 0.0037870283193178226
Position 4078: 0.0036941991521649213
Position 3593: 0.0025946565051708824
Position 2053: 0.0025563718146397567
Position 4283: 0.0023803223932135696
Position 3137: 0.0023337444119822187
Position 3125: 0.0022402517103630396
Position 4280: 0.002226753681364484
Position 1603: 0.001810302523697403
Position 570: 0.001576791145267216
Position 1771: 0.0013091926750448304
Position 3334: 0.001281019912458978
Position 4301: 0.0008984112484673857
Position 1511: 0.0008885037253214891
Position 1808: 0.0008765161989041906
Position 1744: 0.0007286724072122288
Position 2990: 0.0007059725632180881
Position 931: 0.0005146218771727781
Position 865: 0.00047677278608159417
Position 1572: 0.00045759283765489276
Position 4502: 0.00045648191564715967
Position 1354: 0.0002423736045161221
Position 717: 0.0002276194389498971
Position 4311: 0.00020855358649310882
Position 4105: 0.00017292082860433428
Position 191: 0.00016690144828455914
Position 1399: 0.00014744315852446336
Position 659: 0.0001341735581594703
Position 775: 0.00010421109827425486
Position 124: 8.632947011899913e-05
Position 501: 8.326772361927823e-05
Position 110: 6.195134718033509e-05
Position 624: 5.781753287265656e-05
Position 477: 5.257494134768879e-05
Position 462: 4.241392986749606e-05
Position 4129: 3.908149802376054e-05
Position 567: 3.804845562888849e-05
Position 883: 3.286163023845114e-05
Position 600: 2.9301634135884756e-05
Position 4175: 2.3041009515220296e-05
Position 92: 2.2140870525755842e-05
Position 1024: 2.2089427964489982e-05
Position 604: 1.9404761794246184e-05
Position 516: 1.3494934189138508e-05
Position 1183: 9.640205301088734e-06
Position 104: 8.46348612871436e-06
Position 1188: 7.471071580395019e-06
Position 1549: 5.4700067721307604e-06
Position 1228: 5.257413316441698e-06
Position 4132: 5.110856606741305e-06
Position 214: 2.2056093575267415e-06
Position 4202: 1.0584597705856387e-06
Position 129: 8.439164263396591e-07
Position 69: 6.401037599160209e-07
Position 1259: 9.29151590692897e-09
Position 372: 5.210020159900816e-11
