Gene = Nle
index = 1323
Annotated 5SS: [1033 1442 1624]
Annotated 3SS: [1090 1496 1682]
SMsplice 5SS: [1033 1442 1624]
SMsplice 3SS: [1090 1496 1682]
top_k =  100
Partition function (log Z): 5.2806865380499355

Sorted 5' Splice Sites (High to Low Probability):
Position 1624: 0.9977390585135673
Position 1033: 0.9919309171617148
Position 1442: 0.9803210633786974
Position 1212: 0.039341786455491516
Position 369: 0.006630291370198367
Position 483: 0.0046869861578204925
Position 1305: 0.0038490992750253947
Position 311: 0.002972042980553926
Position 542: 0.00285842578132631
Position 825: 0.00272274201672062
Position 1334: 0.002442676465299755
Position 205: 0.001428721126793621
Position 1613: 0.0013352317678537436
Position 1273: 0.0012847174765155847
Position 939: 0.0012358277084512717
Position 1309: 0.0012210282103984839
Position 581: 0.00112101744399515
Position 551: 0.0009971702586562747
Position 1024: 0.000947312608453375
Position 330: 0.0005344590876010145
Position 1450: 0.0004153606558158357
Position 634: 0.00035349434370712747
Position 448: 0.0003300209574130486
Position 491: 0.00032528288176098897
Position 469: 0.0003004059810679059
Position 768: 0.00023072033897422704
Position 1389: 0.0002016383648687502
Position 532: 0.00018951746043759587
Position 20: 0.00016971570613690865
Position 1628: 0.00015331138872813334
Position 996: 0.00015300651478679914
Position 344: 0.00014241699728442748
Position 378: 0.00010374851430696272
Position 1634: 7.572967673976314e-05
Position 360: 7.010136132909812e-05
Position 1381: 5.432469684705927e-05
Position 1147: 4.930417580420435e-05
Position 463: 4.803778275102789e-05
Position 420: 4.60062826073521e-05
Position 1255: 2.829278280800805e-05
Position 1243: 2.539242606880007e-05
Position 342: 2.4992636953945843e-05
Position 1599: 1.4373947454937835e-05
Position 1246: 1.4273155870678722e-05
Position 1166: 1.1812453568543426e-05
Position 1363: 1.1287389427800712e-05
Position 1589: 8.513459477281703e-07
Position 698: 4.5494801130590427e-07
Position 658: 3.5119644300674443e-07
Position 1642: 2.771117659327336e-07
Position 1338: 1.330980263541428e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1682: 0.9991056006296328
Position 1496: 0.9961933563894407
Position 1090: 0.9532863615472449
Position 1104: 0.038945805294433124
Position 1278: 0.024150458827116725
Position 867: 0.010165225573329974
Position 439: 0.007258627966796746
Position 531: 0.005707746736000822
Position 1368: 0.005464947795578445
Position 1305: 0.0015914598740570107
Position 876: 0.001372133002874701
Position 1076: 0.0011934564093400491
Position 1128: 0.0008455174551431717
Position 1309: 0.0007430640353826281
Position 1510: 0.0005708622108344864
Position 507: 0.0005692182495308382
Position 1503: 0.0005311996011051976
Position 1119: 0.00040557749687752405
Position 1001: 0.0002242861257325361
Position 1516: 0.00019822113729878052
Position 1721: 0.00018959294983980483
Position 74: 0.0001697136947237351
Position 356: 0.00011113784034425842
Position 1528: 0.0001085698292254933
Position 1732: 2.4893229399120837e-05
Position 1467: 1.4826247155059175e-05
Position 1740: 1.996983751805867e-06
Position 1095: 7.874171384694337e-07
Position 1662: 4.4331616430935426e-07
Position 378: 2.153719720569966e-09
Position 83: 2.0114131733634194e-09
