Gene = ush
index = 1923
Annotated 5SS: [47840 49217 60747 61212 61530 63030 63233]
Annotated 3SS: [49171 59802 60816 61328 61642 63089 63297]
SMsplice 5SS: [  112 25456 60747 61212 61530 63030 63233]
SMsplice 3SS: [25258 59802 60816 61328 61642 63089 63297]
top_k =  100
Partition function (log Z): -72.7065899675784

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.999999942224365
Position 12516: 0.6916969559322877
Position 12798: 0.3362111463120276
Position 11984: 0.025926590334465562
Position 6564: 9.146279041873487e-06
Position 442: 7.866692630711436e-06
Position 5486: 6.85381719781185e-06
Position 5108: 5.303056065156695e-06
Position 5104: 4.9702898405192965e-06
Position 3081: 1.796305712649765e-06
Position 2603: 9.456604517091475e-07
Position 2011: 5.986969721683381e-07
Position 3060: 2.0583593935861796e-07
Position 239: 2.0452430275665372e-08
Position 548: 1.1277961744534944e-08
Position 1103: 9.65820010302353e-09
Position 268: 3.802432015091694e-09
Position 253: 1.2438558457233637e-09
Position 90: 1.1838585626436989e-09
Position 47: 4.2288158385290286e-10
Position 84: 3.255996727852995e-10
Position 162: 1.8341754864880142e-10
Position 374: 1.088940190813235e-10
Position 292: 6.019310127895816e-11
Position 221: 5.904804586029294e-11
Position 334: 5.543573082714566e-12
Position 389: 3.4800538502187316e-12
Position 336: 2.7617732204791854e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 11861: 0.7251368599904642
Position 12632: 0.7189242258168459
Position 13296: 0.6067982444826681
Position 9985: 0.0017308082433204613
Position 10202: 0.0010617324325912245
Position 5936: 0.0001308607933379307
Position 7186: 2.8132249596099585e-05
Position 4937: 2.150673644502681e-05
Position 6634: 9.146279041873487e-06
Position 346: 6.735244732754088e-06
Position 6433: 6.2313350236965224e-06
Position 3177: 4.141834448419174e-06
Position 5802: 3.4266525887654553e-06
Position 2901: 2.8367604499549586e-06
Position 319: 2.098525681265954e-06
Position 3210: 1.6714471185223934e-06
Position 210: 6.35216140502865e-07
Position 3953: 6.276962856134127e-07
Position 2525: 4.839571070585764e-07
Position 3378: 3.518878377285029e-07
Position 2072: 3.2278800592729907e-07
Position 1172: 3.0743187245333485e-07
Position 2481: 2.1524754798781326e-07
Position 3363: 2.0660363903225425e-07
Position 713: 1.9988543381266303e-07
Position 3354: 1.5157068458399284e-07
Position 1073: 6.622699088856975e-08
Position 442: 4.640573304462776e-08
Position 1930: 2.578431017625467e-08
Position 412: 1.824176028609532e-08
Position 458: 1.53216750877286e-08
Position 1042: 9.86121160651031e-09
Position 382: 7.97028436729122e-09
Position 174: 7.0000864078181266e-09
Position 1780: 6.186162298998088e-09
Position 162: 6.081330356362153e-09
Position 221: 3.910578221482723e-11
