Gene = Ccn
index = 1059
Annotated 5SS: [  461 21129 26048 26171 31874 33271 39859 40327 48912]
Annotated 3SS: [21042 25951 26148 31793 33125 39568 40173 48623 57667]
SMsplice 5SS: [  461 21129 26171 33271 39859 40327]
SMsplice 3SS: [21042 25951 33125 39568 40173 57667]
top_k =  100
Partition function (log Z): -50.037464766202305

Sorted 5' Splice Sites (High to Low Probability):
Position 461: 0.9999980387043543
Position 21129: 0.9988582611177574
Position 26171: 0.534058624492606
Position 26048: 0.3708741403428507
Position 2340: 0.0001455745623627731
Position 1914: 0.00012694719773461753
Position 730: 1.8866226510365842e-05
Position 473: 8.726200708806339e-07
Position 284: 2.7948440616612207e-07
Position 971: 2.6694055343233766e-07
Position 104: 2.58640063713309e-07
Position 98: 1.3764568323576584e-08
Position 445: 1.3564116357716644e-08
Position 94: 8.577726669264084e-09
Position 108: 3.326187274036287e-09
Position 484: 2.4786440484419756e-09
Position 432: 1.7459539291160195e-09
Position 434: 1.2912020845757359e-09
Position 4132: 6.944161087526484e-13
Position 3247: 3.2283321618800444e-13
Position 1340: 6.849882306845536e-16
Position 182: 3.0015878399050095e-17
Position 298: 6.607064321888681e-18
Position 288: 6.358992977456675e-18
Position 209: 4.07256785824109e-18
Position 100: 3.673899683766593e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 21042: 0.9999999965037144
Position 25951: 0.9966118831049493
Position 26540: 0.9049327648354567
Position 23077: 0.0022463780128085665
Position 2233: 7.29143573280474e-05
Position 2194: 5.2941992693420324e-05
Position 541: 3.30306738724107e-05
Position 1758: 2.6150118887970857e-05
Position 1809: 2.1697180981264882e-05
Position 1639: 1.4988258255213313e-05
Position 2072: 1.146117553364818e-05
Position 520: 9.566622246321514e-06
Position 1812: 9.476581961257022e-06
Position 646: 8.590823100605263e-06
Position 1041: 8.40803793457696e-06
Position 1968: 8.25703672584007e-06
Position 1572: 6.60991555301021e-06
Position 1400: 4.3742532902663355e-06
Position 908: 2.633703219784093e-06
Position 811: 4.8393163535046464e-08
Position 12251: 3.3388718077292015e-09
Position 8875: 1.258709665417231e-10
Position 7468: 1.6459802024222646e-11
Position 7391: 6.273326401285098e-12
Position 6168: 3.1202093776777005e-12
Position 3794: 1.7001958967256958e-12
Position 6133: 1.6659392807122202e-12
Position 3087: 9.743479592494611e-13
Position 5041: 7.167977859478993e-13
Position 4190: 6.944161087526447e-13
Position 2423: 5.852407400285701e-13
Position 2427: 3.177644820493087e-14
Position 2107: 2.7358801601126396e-14
Position 1974: 1.1179827637394475e-14
Position 232: 3.823691450889041e-16
Position 372: 2.926371710271592e-16
Position 339: 2.405366202647828e-16
Position 182: 1.9519161631465746e-16
Position 264: 1.7058729039863052e-16
Position 349: 1.6829105377982807e-16
Position 346: 4.682046991453765e-17
Position 221: 1.2549124282600801e-17
Position 276: 1.2260227526674179e-17
Position 352: 9.103144958594334e-18
Position 167: 5.288307495666893e-18
Position 149: 4.72770609312168e-18
Position 163: 4.488396468172159e-18
Position 699: 4.44614379494081e-18
Position 432: 3.6469151656449395e-18
Position 401: 3.3236391099582423e-18
Position 321: 3.1291853787908024e-18
Position 188: 1.7298296591809594e-18
