Gene = del
index = 1668
Annotated 5SS: [ 346 1607]
Annotated 3SS: [ 409 1660]
SMsplice 5SS: [ 346  600 1607]
SMsplice 3SS: [ 409  722 1660]
top_k =  100
Partition function (log Z): -4.76589173350197

Sorted 5' Splice Sites (High to Low Probability):
Position 346: 0.9840054972784048
Position 1607: 0.6051677366889555
Position 600: 0.6009646594829177
Position 1859: 0.35965934544036904
Position 657: 0.2543710577303932
Position 2739: 0.12695098890537618
Position 1598: 0.10750054477289497
Position 588: 0.04552317594722877
Position 2452: 0.036549224024194846
Position 579: 0.021671928585180803
Position 927: 0.017800784521158394
Position 140: 0.011840923338849441
Position 1262: 0.009618870300965135
Position 1563: 0.008220307689426469
Position 643: 0.007336043358562606
Position 2748: 0.006725768135521301
Position 2378: 0.006662802857735957
Position 1506: 0.005602508153603148
Position 621: 0.0024654145400957845
Position 1724: 0.0017802923429229766
Position 329: 0.0013017133972242714
Position 24: 0.0011334546625855232
Position 1415: 0.0009683623880828734
Position 963: 0.0006530471851707786
Position 311: 0.0005857983078498752
Position 756: 0.0005347290156924893
Position 1055: 0.0005298410544519643
Position 690: 0.00046791873418546313
Position 623: 0.00044246625284114226
Position 101: 0.0003795584595790278
Position 819: 0.000267981728099816
Position 155: 0.00024586293931574087
Position 565: 0.00021699944251307992
Position 300: 0.00017628860116724877
Position 192: 7.859887905624039e-05
Position 52: 5.7403629263780507e-05
Position 57: 4.193007527870857e-05
Position 149: 3.630230614057188e-05
Position 12: 2.8749350163387278e-05
Position 260: 9.327830391922048e-06
Position 178: 6.850405201082302e-06
Position 591: 4.921361301209053e-06
Position 543: 3.90119886459158e-06
Position 443: 3.2265614073294548e-06
Position 249: 1.817590858052231e-06
Position 959: 1.097656336071026e-06
Position 1464: 9.437078844111015e-07
Position 131: 7.84104367715653e-08
Position 487: 2.1999063349269633e-08
Position 555: 2.1539584337182848e-08
Position 222: 1.0589774529099703e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 409: 0.9986306268367664
Position 1660: 0.8236728469384467
Position 722: 0.7439886697908237
Position 2957: 0.19310454752948508
Position 2605: 0.17660872292413998
Position 2146: 0.06266767091824621
Position 741: 0.04765127327260423
Position 2511: 0.044451582627907625
Position 1463: 0.04321620035000069
Position 2656: 0.04001997894732552
Position 3048: 0.013613513009603506
Position 1349: 0.011528110459214223
Position 1918: 0.009728482590794075
Position 2243: 0.00656229974080191
Position 2140: 0.005775603634499518
Position 2804: 0.004340604983017796
Position 1178: 0.0007628574152233211
Position 91: 0.0005672115392170818
Position 918: 0.0005093442726527524
Position 927: 0.00039147756611688893
Position 234: 0.00022272854284898871
Position 155: 0.00016468837656402008
Position 297: 0.00011125545441514845
Position 206: 9.301385388354595e-05
Position 80: 5.6968420558049405e-05
Position 1751: 4.830434216842375e-05
Position 192: 3.831250707558567e-05
Position 643: 2.6154966300023332e-05
Position 500: 2.263955458259681e-05
Position 447: 7.94070097594926e-06
Position 167: 6.897082298217077e-06
Position 436: 3.814431116776103e-06
Position 341: 2.7451606088050534e-06
Position 453: 1.977787787481344e-11
Position 433: 1.527589006928061e-11
