Gene = aos
index = 1610
Annotated 5SS: [  970 11830 12071]
Annotated 3SS: [11275 11898 12138]
SMsplice 5SS: [  970 11830 12071]
SMsplice 3SS: [11275 11898 12138]
top_k =  100
Partition function (log Z): 6.0606774536281085

Sorted 5' Splice Sites (High to Low Probability):
Position 970: 0.999994285888821
Position 12071: 0.9993191252348846
Position 11830: 0.9991682763039114
Position 11449: 0.16896172143105706
Position 12783: 0.15609512986826068
Position 12935: 0.05358959792065178
Position 12329: 0.05074429124926277
Position 12759: 0.041451931555390044
Position 14: 0.041421479781041826
Position 5512: 0.038347512494084135
Position 335: 0.009743498845009168
Position 12634: 0.008547953875872595
Position 228: 0.0038548140208911493
Position 785: 0.003597881253859973
Position 13055: 0.0020714292022853153
Position 12280: 0.0016237702249083108
Position 178: 0.001522614818381772
Position 361: 0.0013419916745830583
Position 12418: 0.000802453263615955
Position 820: 0.0006144933628442024
Position 53: 0.0005984911983105953
Position 790: 0.0005208458408653974
Position 169: 0.00044869450852515116
Position 12352: 0.00036517569904301426
Position 176: 0.0002798818629787793
Position 183: 0.00025903466697503916
Position 12075: 0.0002083184474956602
Position 101: 0.000154452230538775
Position 254: 5.1388854893820465e-05
Position 18: 5.100808066465378e-05
Position 12181: 4.610781671230727e-05
Position 12403: 3.818918364704907e-05
Position 11505: 3.777108379503396e-05
Position 12211: 1.8085175525059145e-05
Position 2985: 1.3852065230080791e-05
Position 12479: 1.3579620990880278e-05
Position 12700: 1.1477503372712057e-05
Position 12049: 5.083652551963915e-06
Position 8170: 4.3871204467995234e-06
Position 1794: 4.0515573441064675e-06
Position 11990: 8.400677333321171e-07
Position 12909: 7.566511816643297e-07
Position 12469: 1.9959169034781935e-07
Position 11970: 4.7975983987096764e-08
Position 964: 1.2426211677072507e-08
Position 12030: 1.052116761219215e-08
Position 11948: 1.2267256645528468e-10
Position 2122: 3.2480623776301415e-12
Position 11974: 2.719913452979785e-12
Position 11963: 7.702110429125919e-13
Position 12108: 1.5000723887182826e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 11898: 0.9998775162732698
Position 11275: 0.9992660006216767
Position 12138: 0.9953582919771793
Position 12837: 0.2415667927408083
Position 11515: 0.16890664430826252
Position 5259: 0.03544256438889196
Position 838: 0.02701892403411085
Position 12997: 0.02603221253472692
Position 85: 0.019204164573497932
Position 13006: 0.01497850230060013
Position 12392: 0.011945249410353138
Position 13031: 0.010869773007738705
Position 305: 0.008589570598620018
Position 12408: 0.006980375856801486
Position 5374: 0.0029049481051921736
Position 13165: 0.0028424750028092204
Position 113: 0.0027446745997093186
Position 894: 0.0026769172592420163
Position 466: 0.002034199852561197
Position 12412: 0.0013335137015617633
Position 12555: 0.0010321097931129703
Position 13108: 0.0009380642770620412
Position 228: 0.0007735555507785162
Position 697: 0.0007382518483178011
Position 12153: 0.0006977586144758481
Position 543: 0.0006746109985603683
Position 12963: 0.00036743946955872665
Position 11933: 7.229711007009681e-05
Position 11936: 3.0631167936016986e-05
Position 11959: 1.4668060586660244e-05
Position 12656: 9.599026734241293e-06
Position 2760: 8.856686585252214e-06
Position 8032: 4.3871204467995234e-06
Position 1604: 3.955233035236699e-06
Position 1500: 2.4556141935441763e-06
Position 2344: 1.287431922510255e-06
Position 2283: 7.01390185977518e-07
Position 12159: 6.930748336500381e-07
Position 1646: 6.472691893908401e-07
Position 12234: 5.192435823166212e-07
Position 12244: 1.051993311544038e-07
Position 12189: 9.047409625704181e-08
Position 1988: 7.103379461630189e-13
