Gene = Papss
index = 1359
Annotated 5SS: [ 2311  3106 13200 15048]
Annotated 3SS: [ 2876 13084 13521 15111]
SMsplice 5SS: [  338 13200 15048]
SMsplice 3SS: [13084 13521 15111]
top_k =  100
Partition function (log Z): -1.7547384567131707

Sorted 5' Splice Sites (High to Low Probability):
Position 338: 0.9975062098889852
Position 15048: 0.9943181161380175
Position 2311: 0.669448357562977
Position 3106: 0.5241293403306585
Position 10030: 0.3726740224690729
Position 2984: 0.13624467250497735
Position 994: 0.09007881738901378
Position 2502: 0.0870981088120074
Position 3655: 0.05008209593701492
Position 2353: 0.043584043589691285
Position 2735: 0.03931596189478934
Position 136: 0.037534757874188224
Position 2979: 0.017301410949764024
Position 151: 0.012388425669032449
Position 1654: 0.012219461865335882
Position 2658: 0.008531858706623787
Position 3519: 0.007811913208013256
Position 1348: 0.00771312767183064
Position 12: 0.007418458180811924
Position 3305: 0.005844308316308967
Position 3532: 0.004077297315405125
Position 20: 0.0028320544806760277
Position 259: 0.0007657882526574635
Position 353: 0.00042074584628561373
Position 455: 0.0003161916474463773
Position 203: 0.00012526618537676276
Position 4: 8.011672692741623e-05
Position 37: 6.155825734659898e-05
Position 6: 4.325179551710983e-05
Position 419: 2.791161324533767e-05
Position 54: 2.7511209206934943e-05
Position 160: 1.3476351741740865e-05
Position 342: 5.289751468805726e-08
Position 327: 3.6778461450346896e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 13521: 0.9999950049433595
Position 15111: 0.9943181161380176
Position 2876: 0.5321688096079951
Position 9852: 0.3726790123579966
Position 2246: 0.2978053188447463
Position 413: 0.1964450532472119
Position 2595: 0.18603521386437202
Position 516: 0.12734350572049744
Position 2408: 0.08039439833635353
Position 1402: 0.06739764486568975
Position 218: 0.03901081890079795
Position 3347: 0.03658501040785064
Position 3172: 0.031230608107559423
Position 2005: 0.02564142853550363
Position 1516: 0.023569803163756696
Position 1469: 0.017886201130396816
Position 1967: 0.012651509830150998
Position 710: 0.01212715326206605
Position 1056: 0.010054244280972374
Position 74: 0.009107223382797415
Position 1848: 0.008072682735977053
Position 1236: 0.007697740536658278
Position 482: 0.00719278753994132
Position 241: 0.006896402964814285
Position 1712: 0.006683023223928778
Position 1707: 0.005536438641407106
Position 1021: 0.0038453089452003503
Position 203: 0.003023270102946162
Position 859: 0.0017885210008159558
Position 524: 0.001435216642417161
Position 443: 0.0014072088998867967
Position 761: 0.0009428972299120778
Position 862: 0.0009317688349951503
Position 921: 0.0008575734835822281
Position 90: 0.00045297467121849363
Position 136: 0.0003008644448983746
Position 272: 0.00024528951200254517
Position 82: 9.963076464283075e-05
Position 98: 8.789087611495536e-05
Position 244: 4.777588070023155e-05
Position 803: 3.387444454673606e-05
Position 103: 4.779019298889199e-06
Position 282: 2.9863369849393155e-06
Position 140: 1.2361854804063492e-06
Position 318: 5.06470461282483e-07
