Gene = mtgo
index = 1803
Annotated 5SS: [   423  14929 107897 112937]
Annotated 3SS: [ 12862 107726 112482 113007]
SMsplice 5SS: [   423 107897 112937]
SMsplice 3SS: [107726 112482 113007]
top_k =  100
Partition function (log Z): -143.37650752705562

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.7015061641046019
Position 74: 0.298479041363479
Position 143: 7.308759619342254e-06
Position 4081: 6.4362639933619065e-06
Position 327: 6.383095049851106e-06
Position 305: 6.327681760248477e-06
Position 3807: 5.465852605941853e-06
Position 1998: 3.959977386370362e-06
Position 1329: 2.293186878963931e-06
Position 120: 2.1357480638420957e-06
Position 178: 9.017174237665463e-07
Position 2282: 4.0893501829471886e-07
Position 961: 3.438115388811163e-07
Position 897: 3.1032973470343454e-07
Position 309: 2.8228739413769404e-07
Position 1008: 2.610064349954969e-07
Position 323: 1.2799737506217565e-07
Position 82: 5.081691263709638e-08
Position 152: 2.1535192811074733e-08
Position 1036: 1.3657754681444198e-08
Position 1085: 1.1377762394319335e-08
Position 644: 1.1338167409207676e-08
Position 159: 9.754045746042387e-09
Position 1029: 8.045375180137439e-09
Position 648: 7.345532305356573e-09
Position 311: 5.097841869885518e-09
Position 53: 4.806061188944914e-09
Position 185: 2.1096362891589145e-09
Position 188: 1.7913814343809491e-09
Position 101: 1.744019572934056e-09
Position 20: 2.7075386176284432e-11
Position 113: 1.6323109857512805e-11
Position 89: 1.5547699000589075e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 12862: 0.9918283056661739
Position 9341: 0.0043219818077364774
Position 8321: 0.003438132793594611
Position 7770: 0.0002802743395069909
Position 3674: 4.915129576154378e-05
Position 1470: 4.505202849161896e-05
Position 4544: 2.1165417378896694e-05
Position 2871: 1.972633445101527e-05
Position 203: 1.2476415850361057e-05
Position 3365: 3.2251560984416767e-06
Position 3730: 2.607175159467668e-06
Position 477: 2.300748257714033e-06
Position 2200: 1.4562114371409116e-06
Position 119: 8.323273611742329e-07
Position 2346: 4.0893501829471886e-07
Position 2296: 3.406592601573332e-07
Position 553: 1.6810934038847163e-07
Position 255: 1.5136793972858494e-07
Position 838: 1.4354105846749223e-07
Position 407: 1.1403672202019352e-07
Position 301: 9.89730666657613e-08
Position 602: 9.420328316476172e-08
Position 1216: 7.029561026046389e-08
Position 327: 1.613229054240671e-08
Position 374: 6.408285422085921e-09
Position 252: 4.1965185922168726e-10
Position 356: 4.0755216487975113e-10
Position 131: 1.4702816220174151e-10
Position 384: 1.2346908890818062e-10
Position 336: 1.0614482580526782e-10
