Gene = bbg
index = 1624
Annotated 5SS: [   238   2716  25373  28663 121510 121707 122197 122702]
Annotated 3SS: [  2553  23005  26356 119080 121577 121781 122560 122765]
SMsplice 5SS: [   795   2716  16179  16388 121510 121707 122197 122702]
SMsplice 3SS: [  1596  15609  16249 119080 121577 121781 122560 122765]
top_k =  100
Partition function (log Z): -141.24666616234077

Sorted 5' Splice Sites (High to Low Probability):
Position 16179: 0.9947796953731818
Position 2716: 0.8013128483581637
Position 795: 0.7268716575205727
Position 1734: 0.14435319105703592
Position 2503: 0.07455159762279077
Position 545: 0.06940720638228336
Position 238: 0.05825204220829209
Position 1019: 0.049662499434814544
Position 2431: 0.037387429666458104
Position 154: 0.028345522300858832
Position 1727: 0.017905274998756427
Position 844: 0.014595862751985645
Position 437: 0.010437463023123804
Position 1920: 0.00999233855731752
Position 1824: 0.009070764836206608
Position 539: 0.008706762321933863
Position 16763: 0.007928133279668882
Position 12: 0.006816474714175891
Position 16449: 0.0067913467248635565
Position 502: 0.006262324374726747
Position 1419: 0.004938052035172104
Position 222: 0.004645085202059483
Position 269: 0.00405686078606704
Position 529: 0.003911353353995401
Position 1493: 0.0038747018643350414
Position 747: 0.0035328656224600918
Position 883: 0.0032836147952239685
Position 1390: 0.003081066024657906
Position 479: 0.0029121906466136557
Position 340: 0.0008186107663911114
Position 662: 0.000810633970836028
Position 190: 0.0007682919860930799
Position 964: 0.0004178113736313988
Position 147: 0.000370370202353546
Position 1172: 0.00021157473200035968
Position 650: 0.00015617447285344802
Position 40: 2.0472846595889773e-05
Position 859: 1.600267142745767e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 15609: 0.9999947797761046
Position 16249: 0.9947796953731818
Position 1596: 0.7746758800122668
Position 1791: 0.16877708813390957
Position 2553: 0.07455159762279077
Position 2493: 0.037387429666458104
Position 1999: 0.01910908280174168
Position 2035: 0.009079630594567557
Position 603: 0.008579408492375972
Position 16944: 0.007928133279668882
Position 16547: 0.006791346724863749
Position 725: 0.003867834785761178
Position 650: 0.002986695189264111
Position 1104: 0.0029432027768928385
Position 1240: 0.002487570875210172
Position 655: 0.0015983375844235584
Position 926: 0.0013671164043450926
Position 617: 0.0012245425464738184
Position 883: 0.0012172356899578312
Position 901: 0.0011870399832475962
Position 968: 0.0005453803844460307
Position 303: 0.00017192408418591722
Position 10827: 5.0713422715139895e-06
Position 5695: 7.154664823521134e-08
Position 5203: 2.229036574744859e-08
Position 5179: 2.0911398007785525e-08
Position 4341: 1.5556331243594576e-08
Position 5537: 7.325353569530865e-09
Position 3008: 3.111316412519637e-09
Position 2924: 1.905645238607874e-09
Position 2896: 1.4066669102577893e-09
Position 3082: 6.818570965610116e-10
