Gene = mEFTs
index = 1761
Annotated 5SS: [ 615 1072]
Annotated 3SS: [ 822 1176]
SMsplice 5SS: [ 615 1072]
SMsplice 3SS: [ 822 1176]
top_k =  100
Partition function (log Z): 1.3383253062867557

Sorted 5' Splice Sites (High to Low Probability):
Position 1072: 0.9933629131727665
Position 615: 0.895796561391223
Position 653: 0.05628701484914594
Position 619: 0.0411561778518814
Position 1384: 0.040428122055033426
Position 412: 0.024385860628627423
Position 1392: 0.013867166842531342
Position 1096: 0.0026047426894164724
Position 999: 0.0018837566737575364
Position 304: 0.00130059724181585
Position 606: 0.0011724917161629997
Position 730: 0.0011595033733106047
Position 648: 0.0009037693482971042
Position 1327: 0.0005848694116749946
Position 1405: 0.0003986647678775255
Position 633: 0.00032872531943986706
Position 1121: 0.00021444350290123227
Position 47: 0.00014736974957052013
Position 30: 0.00013515647789215282
Position 220: 0.00010384580423846211
Position 452: 8.494915547004643e-05
Position 60: 7.817102020613805e-05
Position 622: 4.043557563118214e-05
Position 256: 3.1174412486226894e-05
Position 905: 8.082725082555849e-06
Position 526: 7.843381448142654e-06
Position 946: 3.5221502420680795e-06
Position 259: 2.400854548745138e-06
Position 880: 1.6731993557405073e-06
Position 336: 8.783974344250143e-07
Position 130: 6.964339427425689e-07
Position 973: 4.658182790544524e-07
Position 1025: 3.977651333630944e-07
Position 1065: 2.12756991416555e-07
Position 127: 1.4587406469404455e-07
Position 1012: 7.813914950179602e-08
Position 1023: 6.437017869999037e-08
Position 511: 1.6325879445050092e-09
Position 1003: 5.124007917252453e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 822: 0.9972755740576935
Position 1176: 0.9710574752381484
Position 1464: 0.04156840610139567
Position 485: 0.023967500612758177
Position 1202: 0.018154558492396822
Position 1141: 0.0072923985640693054
Position 1452: 0.006577719549769171
Position 1443: 0.0026977386382817585
Position 1557: 0.0019269054342417246
Position 1157: 0.0015536541413109677
Position 742: 0.001428517210287435
Position 1482: 0.0010790265238390371
Position 1491: 0.00041034287312480597
Position 1383: 0.00036148827991277864
Position 1748: 0.0002389048805228345
Position 1560: 0.00017598339846873674
Position 1515: 0.00014306244494517324
Position 1602: 0.00010379612421616393
Position 1581: 7.716670490888327e-05
Position 86: 7.58550076704102e-05
Position 127: 7.396492688557693e-05
Position 846: 3.732878229564132e-05
Position 247: 3.479302722162167e-05
Position 1819: 3.251727075305425e-05
Position 303: 2.503514296601241e-05
Position 451: 2.3515167720440517e-05
Position 264: 1.680498726432891e-05
Position 412: 1.1592506273616168e-05
Position 93: 1.0304430477807734e-05
Position 352: 1.021829633465819e-05
Position 297: 9.993582448229984e-06
Position 831: 9.831316125290207e-06
Position 976: 6.156158268334549e-06
Position 843: 4.108086494495781e-06
Position 524: 3.2881740611453826e-06
Position 392: 2.3555572850818737e-06
Position 996: 1.5158681047874534e-06
Position 672: 1.243438415291906e-06
Position 204: 1.145663504695209e-06
Position 1305: 6.783665661186758e-07
Position 1115: 4.80196006462628e-07
Position 98: 9.486202109975396e-10
Position 143: 8.701418616511812e-10
