Gene = ect
index = 1691
Annotated 5SS: [  435  5630  6019  6395  6941 10265 11176]
Annotated 3SS: [ 5393  5841  6127  6841 10029 10559 11244]
SMsplice 5SS: [  180  5630  6019  6395  6941 10265 11176]
SMsplice 3SS: [ 5393  5865  6127  6841 10029 10559 11244]
top_k =  100
Partition function (log Z): 13.006823539154356

Sorted 5' Splice Sites (High to Low Probability):
Position 6019: 0.9994824813481487
Position 5630: 0.9966952162386996
Position 11176: 0.9960338212264827
Position 10265: 0.9672159654470445
Position 6941: 0.9386576004460183
Position 6395: 0.5542467095057573
Position 180: 0.48077676007585995
Position 435: 0.2722126868367008
Position 227: 0.113091720622261
Position 193: 0.07013904538233282
Position 6439: 0.04140192495727796
Position 1114: 0.03189758379083
Position 6701: 0.027293390630100712
Position 1029: 0.022972752293942283
Position 6244: 0.014225848995356867
Position 15: 0.01356995712140817
Position 355: 0.009970270213709477
Position 897: 0.009050549009138133
Position 388: 0.008174587900783958
Position 10245: 0.007840234328900185
Position 6430: 0.007351694098676849
Position 6254: 0.006834224284885191
Position 2643: 0.005179945077007806
Position 6437: 0.004572635010752925
Position 6455: 0.004014105191367148
Position 491: 0.0026725848367018024
Position 415: 0.0026559067668543435
Position 5764: 0.001928294243365329
Position 11323: 0.0018407913503184223
Position 5634: 0.0014404151973995217
Position 2669: 0.0013657366206621386
Position 366: 0.0012424019941971556
Position 6662: 0.001224055621188415
Position 697: 0.001180319681601914
Position 6333: 0.0010621651201542979
Position 11409: 0.0009712328277483842
Position 564: 0.0009315680196602757
Position 6406: 0.0008859743779694111
Position 1091: 0.0008134654394192785
Position 11158: 0.0006093925853018194
Position 6049: 0.00030451967898313957
Position 11290: 0.00023772828368593627
Position 5539: 0.00016360167393649126
Position 846: 0.00011508815986408401
Position 239: 0.00010123324343859082
Position 6078: 8.054364811305341e-05
Position 6044: 6.967959997668504e-05
Position 6025: 3.5302517084541616e-05
Position 5527: 3.5036107076553524e-05
Position 6023: 1.2591896986855323e-05
Position 6051: 6.583923586104363e-06
Position 5999: 4.109685525407918e-06
Position 205: 3.7181509986982005e-06
Position 5920: 2.5079460538367617e-06
Position 32: 2.081543909248434e-06
Position 6220: 2.070551174766955e-06
Position 37: 1.41268850319557e-06
Position 6028: 4.49632103667028e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 5393: 0.9990462779078295
Position 5865: 0.9980489427105513
Position 11244: 0.9723397198914743
Position 6127: 0.9692117271277817
Position 10559: 0.8660432752172322
Position 10029: 0.8337036861817722
Position 6841: 0.41614949383767835
Position 6492: 0.15261682188599981
Position 9578: 0.13274770367185695
Position 10366: 0.03537714226675754
Position 6579: 0.027483966687512275
Position 11370: 0.02703966092686229
Position 10338: 0.023791515279380334
Position 10653: 0.020319691223150756
Position 302: 0.014934475312868931
Position 6558: 0.01289162588587217
Position 10602: 0.012546957286786767
Position 6508: 0.01230531369018974
Position 10472: 0.01095542940503161
Position 926: 0.01070148425110633
Position 8835: 0.008553744228389181
Position 10440: 0.00812785761223893
Position 1004: 0.006693596851776464
Position 8793: 0.004726550401563695
Position 6700: 0.0045217518037076136
Position 10495: 0.004060210833482318
Position 299: 0.004017884265938446
Position 10355: 0.003919963958650032
Position 2410: 0.0035065271270029764
Position 2310: 0.003039154570666975
Position 8503: 0.002429668755357724
Position 6522: 0.002289900815700981
Position 253: 0.0022286719203307853
Position 10315: 0.0018258905863860362
Position 5841: 0.0017764982326277901
Position 265: 0.0016079026013671575
Position 6651: 0.0015828908096626286
Position 8998: 0.0015540961933474963
Position 10499: 0.0012597720239661697
Position 1094: 0.0010276712682524868
Position 10375: 0.0009388712447993506
Position 5511: 0.0009384432302820216
Position 11455: 0.0008998134991604252
Position 6525: 0.0008425746970840464
Position 10304: 0.0007721561544925433
Position 6691: 0.0006843020977411391
Position 8676: 0.0005515674238326583
Position 6303: 0.0004195524567219916
Position 305: 0.00036400730047908726
Position 6082: 0.0003277855640170759
Position 6180: 0.0002939188725144704
Position 5681: 0.00020677130280972954
Position 11212: 0.00014289146823076053
Position 6177: 0.00013379613448213844
Position 5686: 0.00012283456935882443
Position 5876: 7.366432875620911e-05
Position 11461: 7.141932858795958e-05
Position 8085: 4.8204272483911304e-05
Position 5879: 2.8509743358795638e-05
Position 5924: 1.4480870957715127e-05
Position 6136: 1.1061232538782626e-05
Position 6094: 7.621905677516927e-06
Position 5918: 3.5078930114555e-06
Position 5995: 1.4025474963120034e-06
