Gene = melt
index = 1787
Annotated 5SS: [ 712 4812 5122 5986 6791 7087 7363 7557 7903]
Annotated 3SS: [4656 4869 5183 6041 6848 7192 7427 7620 7961]
SMsplice 5SS: [ 712 4812 5122 5986 6791 7087 7363 7557 7903]
SMsplice 3SS: [4656 4869 5183 6041 6848 7210 7427 7620 7961]
top_k =  100
Partition function (log Z): 30.334085595929004

Sorted 5' Splice Sites (High to Low Probability):
Position 712: 0.9999999999999964
Position 5122: 0.9993980302627974
Position 7087: 0.9970226143336381
Position 7903: 0.9968796893354747
Position 5986: 0.9967649277328474
Position 7557: 0.9927810516760953
Position 7363: 0.9838738656532677
Position 6791: 0.9693478174987726
Position 4812: 0.9654958121950208
Position 4809: 0.03160879365161884
Position 6760: 0.026989036134699707
Position 6632: 0.01777250934421438
Position 6545: 0.012575968954999893
Position 5333: 0.008955238228167146
Position 7351: 0.0064671619356920515
Position 7551: 0.005857719346754288
Position 6604: 0.005482720418511104
Position 6495: 0.003948053198347094
Position 8254: 0.003475357454758702
Position 7969: 0.002618706069297245
Position 7907: 0.0020333797186460555
Position 6593: 0.0016396340090841992
Position 5400: 0.0013096787815519552
Position 5337: 0.0012492053042096204
Position 5393: 0.0011896435063169775
Position 8007: 0.0011625746970531483
Position 7537: 0.001108874960840694
Position 5391: 0.000968751416331557
Position 5523: 0.0008091306351297173
Position 8001: 0.0007864252799223891
Position 5254: 0.0006847032096287559
Position 5415: 0.0006476498040159573
Position 5368: 0.0005319267813952656
Position 8105: 0.000491462286933901
Position 6855: 0.0004527503479701287
Position 8130: 0.00030770584845230697
Position 5456: 0.00028707290711480653
Position 8485: 0.0002718601901892944
Position 7728: 0.00020658943500493759
Position 7044: 0.0001751016744842771
Position 7561: 0.00012472723152975916
Position 7137: 8.077231288578368e-05
Position 8428: 7.672445306217264e-05
Position 8266: 6.127507938914474e-05
Position 7716: 5.716143952003238e-05
Position 6206: 5.6340852725339585e-05
Position 8272: 4.7534002775602653e-05
Position 7367: 4.683117664704304e-05
Position 7678: 4.134878374041531e-05
Position 6750: 4.1073011507742294e-05
Position 6764: 3.4935950243979406e-05
Position 8127: 2.669400371316772e-05
Position 7695: 2.379953241945282e-05
Position 7439: 2.0986575979312275e-05
Position 6934: 1.9850994121352703e-05
Position 6701: 1.927177300211759e-05
Position 8109: 1.8170605582870624e-05
Position 6234: 1.7895169257405106e-05
Position 8469: 1.3056005828915823e-05
Position 7502: 1.0455775659656282e-05
Position 8023: 6.918700263705803e-06
Position 7541: 4.631802510679718e-06
Position 7530: 2.307317031413591e-06
Position 7671: 1.6525779824008548e-06
Position 5968: 7.144806384605414e-07
Position 7765: 1.6999118909494337e-07
