Gene = l(2)SH0834
index = 1746
Annotated 5SS: [201]
Annotated 3SS: [314]
SMsplice 5SS: [201]
SMsplice 3SS: [314]
top_k =  100
Partition function (log Z): -3.956934835914707

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.7630487803083115
Position 245: 0.10963849611376096
Position 220: 0.08447015645126238
Position 234: 0.02065945864921639
Position 259: 0.011167033109977024
Position 651: 0.011050728719145083
Position 181: 0.00988652935023282
Position 681: 0.005385457054358989
Position 418: 0.003779699832185944
Position 790: 0.0033708839122363354
Position 698: 0.0031479803864785942
Position 353: 0.0018023068830528403
Position 643: 0.0014969510955779599
Position 598: 0.0014208353465615462
Position 446: 0.0012488527210377629
Position 676: 0.0010855295373252206
Position 761: 0.0008608613953412004
Position 232: 0.000506633497298267
Position 921: 0.0004907797608204747
Position 707: 0.00048729043011371546
Position 926: 0.00035224977048981974
Position 175: 0.0003244999720947875
Position 955: 0.0002280641637641821
Position 48: 0.00019450260334666518
Position 607: 0.000180181763445651
Position 20: 0.00014030481441974668
Position 8: 0.00011527143921333001
Position 136: 0.00010798529695151506
Position 670: 8.719335383233574e-05
Position 378: 8.281967575416238e-05
Position 530: 7.661799330438794e-05
Position 29: 7.205471420259788e-06
Position 31: 5.731667305239887e-06
Position 271: 1.145772299541866e-06
Position 318: 8.687510967277801e-07
Position 711: 1.6973518259343703e-07
Position 269: 1.4974031767215085e-07
Position 88: 8.018147828422076e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 314: 0.9917818195667365
Position 539: 0.013319259120763073
Position 741: 0.012426731509386146
Position 852: 0.009112190213716948
Position 787: 0.0045178202203991005
Position 716: 0.002512974936074731
Position 670: 0.0009203040845433463
Position 988: 0.0007717698219764357
Position 858: 0.0004680390682195339
Position 1015: 0.00029932387309804064
Position 556: 0.00028630832671034333
Position 826: 0.00014136319888700434
Position 88: 0.00012393407417879684
Position 902: 7.667593914248046e-05
Position 68: 7.293002365500563e-05
Position 65: 5.8799002305980294e-05
Position 59: 1.1091550487802682e-05
Position 117: 8.706883276629615e-06
Position 121: 6.933060495623718e-08
Position 187: 4.938093994394208e-08
Position 165: 1.4227523097853716e-08
Position 168: 1.3171746906815994e-08
Position 142: 1.2538635743182193e-08
Position 134: 7.277339959024308e-09
