Gene = mtDNA-helicase
index = 1801
Annotated 5SS: [319 815]
Annotated 3SS: [376 983]
SMsplice 5SS: [319 815]
SMsplice 3SS: [376 983]
top_k =  100
Partition function (log Z): -4.7546923033632815

Sorted 5' Splice Sites (High to Low Probability):
Position 319: 0.9712749018710526
Position 815: 0.7968267019447451
Position 734: 0.11922632585858692
Position 303: 0.009269199795478359
Position 880: 0.0051431591519181105
Position 2099: 0.0031972284591010656
Position 152: 0.0027922967904190008
Position 353: 0.0022353262895478654
Position 1322: 0.002058075272830187
Position 763: 0.0012706581469116936
Position 1669: 0.0009040626181285534
Position 757: 0.0007207174236658504
Position 652: 0.0006877244202815829
Position 594: 0.0006218015778434256
Position 664: 0.0003614209219462026
Position 936: 0.000337054825807104
Position 356: 0.00032490376575253324
Position 520: 0.00011679014707491565
Position 258: 5.754916675352033e-05
Position 40: 2.249919654778873e-05
Position 61: 1.3459356577501771e-05
Position 111: 1.1263409624652112e-05
Position 82: 4.73653730289841e-06
Position 864: 2.0415487818468323e-06
Position 84: 1.3916160812779104e-06
Position 212: 9.68353785577667e-07
Position 819: 5.06847666292923e-07
Position 156: 3.9825177081073793e-07
Position 114: 3.3233426277394646e-07
Position 131: 2.4892606004358116e-07
Position 56: 2.3640068752846992e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.9057810323617357
Position 983: 0.6908058420202184
Position 859: 0.16742629065676468
Position 441: 0.06520273977395688
Position 801: 0.0497546290962886
Position 422: 0.0062742382891860455
Position 1397: 0.0053027210985838805
Position 1015: 0.004996112024111929
Position 878: 0.0036712042381169185
Position 1772: 0.0034007061322521084
Position 2150: 0.00307529499529899
Position 1028: 0.0025854686702052893
Position 221: 0.0021094026706550083
Position 1837: 0.0011379538159818818
Position 1630: 0.0011205400653529901
Position 864: 0.0008445084238905774
Position 1126: 0.0006984750253122594
Position 922: 0.0005324208094004229
Position 1058: 0.00037198131610049773
Position 477: 0.0003686420997682535
Position 2155: 0.00035828491993789415
Position 663: 0.0002977889676846846
Position 450: 0.00027125969773905245
Position 627: 0.00026615761285796657
Position 201: 0.00025026633324257705
Position 586: 0.00017446329473786365
Position 541: 0.00013083145380203093
Position 356: 7.311039098546502e-05
Position 465: 7.027548134317344e-05
Position 250: 6.135766055667151e-05
Position 111: 2.5880139794827718e-05
Position 227: 2.3338468633036124e-05
Position 128: 6.723218750256044e-06
Position 141: 4.020290183178157e-06
Position 173: 3.129972125928169e-06
Position 275: 2.861231293398788e-06
Position 254: 2.4056198565102572e-06
Position 167: 9.83718817560084e-07
Position 149: 3.957605870256601e-07
Position 152: 2.4341088243804394e-07
