Gene = Gart
index = 1181
Annotated 5SS: [ 370 4764 5468 5750 6354 7462]
Annotated 3SS: [4515 4817 5523 5931 6411 7523]
SMsplice 5SS: [ 370 4764 5468 5750 6354 7462]
SMsplice 3SS: [4515 4817 5523 5931 6411 7523]
top_k =  100
Partition function (log Z): 4.160883195625711

Sorted 5' Splice Sites (High to Low Probability):
Position 5468: 0.9982262556894266
Position 7462: 0.9943501974749589
Position 370: 0.9666346145217725
Position 4764: 0.9441440161596191
Position 6354: 0.8914060742630923
Position 5750: 0.6535533885537588
Position 1624: 0.37202650662381564
Position 5839: 0.07327272461763544
Position 6350: 0.061002002017540156
Position 6532: 0.031135265476083012
Position 374: 0.03031974321039732
Position 99: 0.029418713011580874
Position 1619: 0.021502948933501704
Position 6340: 0.021424840459658923
Position 5760: 0.016958754248153303
Position 652: 0.00843952273183213
Position 7905: 0.008263748549499121
Position 1163: 0.0056590654020635305
Position 103: 0.0034699889325906412
Position 5395: 0.0014393665811470188
Position 1002: 0.0007439503162932041
Position 5714: 0.0006474382052738058
Position 440: 0.0006172618520882878
Position 550: 0.0005687701580183375
Position 118: 0.00039343301068776594
Position 721: 0.00028478969561165034
Position 142: 0.00027190711349346056
Position 7014: 0.00022568700149732716
Position 455: 0.00020349541455563815
Position 5299: 0.0001983082983528451
Position 716: 0.00019404393377921272
Position 126: 0.00014617042344146488
Position 32: 8.177652197422866e-05
Position 5787: 4.191791334900545e-05
Position 113: 3.550488661326136e-05
Position 120: 3.4328124395636364e-05
Position 442: 3.186994284351283e-05
Position 418: 9.407171791188132e-06
Position 6175: 8.108315923267198e-06
Position 81: 5.955671720780828e-06
Position 19: 5.233837977714977e-06
Position 462: 3.3609294747147237e-06
Position 150: 2.0013902174351577e-06
Position 409: 1.5663039249768253e-06
Position 171: 1.08060787219863e-06
Position 211: 9.227067468505194e-07
Position 446: 8.096083121188901e-07
Position 271: 6.936190302636369e-07
Position 404: 6.69645241995495e-07
Position 159: 6.047858958107395e-07
Position 296: 4.912263480887382e-07
Position 432: 1.2822190357500069e-08
Position 227: 6.956275941192522e-09
Position 5741: 4.723753706843795e-09
Position 252: 4.400647884672419e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 7523: 0.9771446829933231
Position 4515: 0.973235722337019
Position 6411: 0.9648483707203085
Position 5523: 0.9526587473588317
Position 5931: 0.6819553465831816
Position 4817: 0.6253697765098304
Position 4831: 0.34540244788169583
Position 1266: 0.2137649331231261
Position 1478: 0.10203256582996034
Position 1492: 0.038082750465653806
Position 5566: 0.03691036746389126
Position 6599: 0.03254119667370909
Position 5838: 0.024078082352123244
Position 185: 0.023413272049894938
Position 5894: 0.02217337717212075
Position 1131: 0.019483525113446015
Position 5824: 0.01944903081410137
Position 516: 0.017435256022246107
Position 7533: 0.011611433897240004
Position 7973: 0.008553969258222655
Position 6527: 0.008369240427308083
Position 1338: 0.0074163395139026185
Position 159: 0.006992538310294901
Position 5937: 0.006436344141148735
Position 7564: 0.005109453470240702
Position 1304: 0.0028195797592277983
Position 1439: 0.002321796079010689
Position 1539: 0.0019582238214709445
Position 168: 0.0017604557233199378
Position 1214: 0.000800338811933354
Position 1396: 0.0007650197237384559
Position 221: 0.0007504962717130611
Position 1035: 0.00039650019508363007
Position 998: 0.0003336658114873946
Position 7601: 0.00025030786307748043
Position 150: 0.00023025219078183203
Position 834: 0.0001963577181565882
Position 7639: 0.00016978554385025987
Position 418: 8.300036912738999e-05
Position 677: 4.065306584212456e-05
Position 270: 3.1414444954887396e-05
Position 5591: 2.6769085267502342e-05
Position 5492: 3.646002230648501e-06
Position 458: 9.14649813494884e-07
Position 554: 8.451805800386027e-07
Position 299: 5.322002516081494e-07
