Gene = corn
index = 1655
Annotated 5SS: [ 1138 11107 11483 11843 12111 12337 13014]
Annotated 3SS: [ 9208 11172 11544 11900 12164 12791 13066]
SMsplice 5SS: [ 1138 11107 11483 11843 12111 12337 13014]
SMsplice 3SS: [ 9208 11172 11544 11900 12164 12791 13066]
top_k =  100
Partition function (log Z): 19.351548213214304

Sorted 5' Splice Sites (High to Low Probability):
Position 13014: 0.9953644135526443
Position 12111: 0.990492865800726
Position 11843: 0.9886910188227319
Position 11107: 0.9667566761246811
Position 11483: 0.9348245008197718
Position 1138: 0.9174452209673797
Position 12337: 0.855260250632044
Position 696: 0.22989019927398563
Position 12664: 0.1841455400070162
Position 180: 0.13581744049790156
Position 356: 0.06697334658531423
Position 11488: 0.05931926079678454
Position 12342: 0.050740925686669304
Position 700: 0.04582961476428949
Position 495: 0.017337740004708915
Position 702: 0.01277282965569518
Position 13313: 0.010280080095429408
Position 704: 0.009508642548144127
Position 11847: 0.009287514638719546
Position 515: 0.008225199868850007
Position 12103: 0.007392388542889066
Position 501: 0.005978348513953201
Position 12978: 0.00421480187853301
Position 13303: 0.0038391087874061
Position 206: 0.0032232941479037464
Position 191: 0.00274631716085337
Position 11625: 0.0024971969701952255
Position 13316: 0.0021458218963019905
Position 505: 0.0020863261713218637
Position 732: 0.0020685204938836166
Position 12013: 0.0012642548983637523
Position 1651: 0.0010965470236594865
Position 11459: 0.0007904836482341899
Position 1640: 0.0006315590944029679
Position 13301: 0.0005292517335922504
Position 1776: 0.0004728353176316174
Position 13006: 0.00041871092124503987
Position 13627: 0.0003568601668455022
Position 12064: 0.00029264713902261015
Position 11716: 0.00022857755719118148
Position 12034: 0.00020862163790490046
Position 12434: 0.00018196791220395726
Position 11622: 0.00016342158200812788
Position 11710: 0.00012830962129301474
Position 12052: 9.776687783310793e-05
Position 11982: 2.9251364037553345e-05
Position 11749: 1.4302864391124988e-05
Position 12115: 7.768265840013777e-06
Position 12004: 6.079529666842672e-06
Position 12684: 5.900241721677194e-06
Position 12022: 5.488997093131636e-06
Position 12692: 4.0113302940971725e-06
Position 12001: 3.826772318694838e-06
Position 323: 3.5203419271593385e-06
Position 555: 3.174036392469108e-06
Position 155: 2.9929667053687556e-06
Position 12121: 2.142256512365722e-06
Position 157: 8.768072519688992e-08
Position 11416: 7.723109043123848e-08
Position 11297: 6.650932032338085e-08
Position 150: 6.13062171173611e-08
Position 77: 4.1615256031844867e-08
Position 44: 3.108284316298648e-08
Position 344: 4.798271799569451e-09
Position 100: 2.02567544955442e-09
Position 11610: 1.8728004412621915e-09
Position 35: 8.972004311225507e-10
Position 255: 7.491197431168497e-13
Position 241: 1.0590473501832546e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 11172: 0.9999999999999964
Position 12164: 0.998960603907322
Position 11900: 0.9986824458825333
Position 11544: 0.9942614397829026
Position 9208: 0.966756676124682
Position 13066: 0.9503658090870926
Position 12791: 0.822520607434945
Position 757: 0.3212964469092802
Position 449: 0.07338073241113818
Position 12566: 0.07278259780888871
Position 12896: 0.06826683733811126
Position 12502: 0.043178116724272686
Position 13084: 0.04205400463007169
Position 12507: 0.030573682296810036
Position 255: 0.020114898002602164
Position 12438: 0.019451046627926686
Position 13367: 0.016075830889274546
Position 554: 0.014560557013774083
Position 406: 0.011530081898335312
Position 12402: 0.011457261461326874
Position 662: 0.009361661265252733
Position 12835: 0.009284342508049461
Position 13110: 0.006910143290158844
Position 12513: 0.0039836595641935145
Position 412: 0.00386847537757768
Position 12572: 0.0037670911910876
Position 12832: 0.002816047895885748
Position 12672: 0.0022552313108715714
Position 434: 0.0020366459812369156
Position 573: 0.0019648016606700234
Position 789: 0.001795193659595654
Position 1518: 0.0016890055473758124
Position 11768: 0.0012747236274696719
Position 11688: 0.0012613117787790816
Position 12177: 0.0007349221162915109
Position 13399: 0.0007184316234552098
Position 13567: 0.0006700429926788053
Position 1200: 0.0005119358883182608
Position 13692: 0.0003568601668455022
Position 11579: 0.00021124511194369806
Position 12180: 0.00017864596047395355
Position 11719: 0.00010165500331190221
Position 11780: 7.277977221652498e-05
Position 12069: 6.6814617491912545e-06
Position 363: 1.9432648477426897e-06
Position 276: 1.3027017416273172e-06
Position 12264: 7.27566741893134e-07
Position 12211: 3.5198590498271437e-07
Position 12240: 2.253468140205267e-07
Position 206: 1.509258970522612e-07
Position 12186: 7.169593171849603e-08
Position 128: 6.136418709784887e-08
Position 336: 4.970120247922649e-09
Position 12136: 4.01635567186074e-09
