Gene = Mip
index = 1279
Annotated 5SS: [287]
Annotated 3SS: [3610]
SMsplice 5SS: [100]
SMsplice 3SS: [3610]
top_k =  100
Partition function (log Z): -6.866266558638784

Sorted 5' Splice Sites (High to Low Probability):
Position 100: 0.551253458172227
Position 287: 0.4463842256640506
Position 3049: 0.05606102827509658
Position 4139: 0.04919187828527384
Position 3683: 0.02686890830832582
Position 134: 0.007317341792208214
Position 363: 0.007051034620273467
Position 3411: 0.004087629030689224
Position 294: 0.004004935141622682
Position 4266: 0.0038477719533459897
Position 1177: 0.0032915991753826755
Position 4527: 0.0022565378231099815
Position 376: 0.0012672808800451084
Position 26: 0.0008774772016646445
Position 939: 0.0007112157717315268
Position 373: 0.0001355269049795644
Position 388: 6.0741314819946256e-05
Position 3904: 2.99258140885113e-05
Position 876: 2.250353668754527e-05
Position 318: 6.7871312684928615e-06
Position 211: 4.809557992357555e-06
Position 254: 4.780923359397569e-06
Position 1222: 3.774911100735916e-06
Position 699: 3.76550912728162e-06
Position 884: 3.6122324999192575e-06
Position 95: 1.4791026282095417e-06
Position 185: 1.444509626338836e-06
Position 162: 8.032804066520707e-07
Position 84: 6.273120833872994e-07
Position 128: 5.686605542964832e-07
Position 14: 2.493459724500213e-08
Position 62: 1.3952651891599484e-08
Position 291: 2.5532089443925226e-10
Position 282: 6.428855946863703e-12
Position 228: 4.869028275470819e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 3610: 0.9946091103330013
Position 4376: 0.023564733921725877
Position 4322: 0.019720108152891068
Position 4359: 0.019092323324630477
Position 3733: 0.01593537990948355
Position 1968: 0.013573927316064677
Position 228: 0.013178779072840041
Position 2686: 0.012930785244780175
Position 439: 0.01154393834539105
Position 2390: 0.008697134759212398
Position 2192: 0.006622860738947758
Position 3165: 0.0054686019564272855
Position 183: 0.0052876751472063065
Position 2305: 0.0026520225296993785
Position 2285: 0.002503686550880753
Position 3009: 0.0024191215389770026
Position 4613: 0.0022565378231099776
Position 3756: 0.0022157895003754604
Position 192: 0.0005928619849654419
Position 3736: 0.0005828417870198055
Position 974: 0.0005491669023348265
Position 479: 0.00036171515182018373
Position 904: 0.0002418802345527812
Position 1508: 7.256190512279645e-05
Position 1425: 3.9111761803172504e-05
Position 3975: 2.99258140885113e-05
Position 476: 1.0665379390781725e-05
Position 271: 8.503500982731544e-08
Position 341: 8.440846292988077e-08
Position 347: 6.440464025287577e-08
Position 286: 1.5276472000173237e-08
Position 100: 8.723001268892833e-09
Position 185: 3.6661435809339574e-09
Position 282: 3.3452850922036186e-09
