Gene = Grasp65
index = 1201
Annotated 5SS: [164]
Annotated 3SS: [599]
SMsplice 5SS: [164]
SMsplice 3SS: [599]
top_k =  100
Partition function (log Z): -4.7374354110297245

Sorted 5' Splice Sites (High to Low Probability):
Position 164: 0.9735553266414068
Position 441: 0.01889905878233129
Position 265: 0.008950889708053422
Position 1042: 0.0060175941933971345
Position 375: 0.003872582501253986
Position 2091: 0.0026136023760005623
Position 1775: 0.0025600221014132757
Position 201: 0.0020467073439818574
Position 1596: 0.0018590552013154251
Position 788: 0.001389174698817981
Position 1079: 0.0013666233970287425
Position 1349: 0.0007873817574781155
Position 959: 0.0005735576458551998
Position 1529: 0.00026138614498707444
Position 503: 0.00021171755179596265
Position 274: 0.00019066315721845759
Position 445: 0.00012854117909690793
Position 2026: 9.313461934744619e-05
Position 168: 8.950923939088778e-05
Position 170: 7.811713235353599e-05
Position 470: 6.923028368362292e-05
Position 248: 5.1508633855477836e-06
Position 349: 2.1796023365516058e-07
Position 363: 7.145243541416053e-08
Position 70: 6.198995109822436e-08
Position 185: 1.8657170200144202e-09
Position 61: 3.146131571355669e-12
Position 3: 3.1009404278176782e-12
Position 50: 2.5354391528070954e-12
Position 142: 1.8894095736703915e-12
Position 29: 1.4924279973337723e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 599: 0.9859815056546095
Position 1657: 0.00819865071733063
Position 1168: 0.006444327391546994
Position 2162: 0.005254832103165815
Position 307: 0.0030002087966406964
Position 231: 0.002701669283756732
Position 1831: 0.002468879610895932
Position 432: 0.0018475866135455217
Position 349: 0.0013895296586641371
Position 542: 0.001271763185863864
Position 1856: 0.0010482081999060966
Position 562: 0.0005801645337159838
Position 622: 0.0005713036251040486
Position 1702: 0.0005681142249415513
Position 506: 0.0005519716333739424
Position 1027: 0.00042335666386373005
Position 264: 0.00040728949247459916
Position 2198: 0.00034947853564519055
Position 546: 0.0003364343050945077
Position 643: 0.0003172970623562257
Position 509: 0.0003135002888433806
Position 485: 0.00030325689012070063
Position 363: 0.0002505372936915352
Position 1450: 0.00022623597939909351
Position 565: 0.00021418747445696554
Position 923: 0.0002023649476544834
Position 616: 0.00016715405585869306
Position 774: 0.00011227437154390764
Position 274: 4.855329931038742e-05
Position 238: 3.6697514655123326e-05
Position 279: 3.2007628287304494e-05
Position 248: 3.8763778992682087e-08
