Gene = Eip78C
index = 1152
Annotated 5SS: [ 1783  4504  4702 37028 37379]
Annotated 3SS: [ 4270  4559 36386 37102 37436]
SMsplice 5SS: [ 1783  4504  4702 37028 37379]
SMsplice 3SS: [ 4270  4559 36386 37102 37436]
top_k =  100
Partition function (log Z): -37.906474789774684

Sorted 5' Splice Sites (High to Low Probability):
Position 4702: 0.9996365909690679
Position 4504: 0.999553480504444
Position 1783: 0.3834790600637018
Position 5003: 0.3619239754565048
Position 338: 0.22927594438896737
Position 1119: 0.20579848371323775
Position 198: 0.08526059765143278
Position 54: 0.05190980075693164
Position 361: 0.014438594605151086
Position 247: 0.010512786736717758
Position 455: 0.008312882722805767
Position 439: 0.005905565069470455
Position 272: 0.005612734043368998
Position 4785: 0.00020127873314683574
Position 4706: 0.00015717775369495512
Position 4972: 1.7965484688063673e-05
Position 5232: 1.6429628851946026e-05
Position 5245: 6.549044768400928e-06
Position 685: 2.6674469966355084e-06
Position 4965: 2.097725504322214e-06
Position 4983: 1.903873476817303e-06
Position 5049: 1.327612222156458e-06
Position 478: 8.597234162287041e-07
Position 725: 3.143338094415022e-07
Position 5043: 1.267912390508256e-07
Position 241: 1.1332234572548812e-07
Position 4969: 2.629526280749451e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 4270: 0.999581675248931
Position 15411: 0.9860692584350003
Position 4559: 0.7537911204180127
Position 4765: 0.31812790669073926
Position 4576: 0.24527242600557664
Position 4839: 0.03902207036954405
Position 11678: 0.008146872874192452
Position 11942: 0.005460135963639497
Position 4878: 0.004971274169315426
Position 3445: 0.00041832475106528904
Position 4583: 0.0002427608896144821
Position 4586: 0.00021209977609062822
Position 546: 0.00011298558932524849
Position 5094: 7.953460686433118e-05
Position 502: 7.890421697353139e-05
Position 1229: 6.734571820930212e-05
Position 648: 6.09675415847159e-05
Position 5374: 5.1699216468070087e-05
Position 1175: 4.5380574250471227e-05
Position 4655: 3.506401817011214e-05
Position 812: 2.8569618126572768e-05
Position 1325: 2.2009555974513863e-05
Position 785: 1.892122514212645e-05
Position 747: 1.63672179239443e-05
Position 1351: 1.6029409788378976e-05
Position 5287: 1.3572748753534375e-05
Position 882: 1.0807743541892268e-05
Position 6123: 9.434018624551488e-06
Position 654: 7.004085336888474e-06
Position 1201: 6.41334706483147e-06
Position 1380: 6.327163023519773e-06
Position 6424: 4.46642791903416e-06
Position 1213: 3.94747059458049e-06
Position 605: 3.5247272934243573e-06
Position 5149: 3.464723040618721e-06
Position 5176: 2.7283654463214704e-06
Position 394: 2.5524013132159035e-06
Position 591: 2.3026354789535972e-06
Position 5035: 1.4987672438473404e-06
Position 5398: 1.1970597053135993e-06
Position 4857: 2.0396587907219847e-07
Position 4785: 1.4036303691027025e-07
Position 773: 1.9882072834000064e-08
Position 554: 1.968455817110715e-08
Position 956: 4.7707749039709066e-09
